"Country","sciname","Abundance","FeedingType","Trophic.group","Water.column","Diel.Activity","Habitat","Trophic.Level","genus.x","species.x","sciname2","class","family","genus.y","infraclass","infraorder","kingdom","order","phylum","species.y","subclass","subfamily","suborder","subphylum","superclass","superfamily","superkingdom","superorder","tribe"
"Mexico (ICML)","Balistes vetula",1,"hunting macrofauna (predator)",NA,NA,NA,NA,3.82,"Balistes","vetula","Balistes vetula","Actinopteri","Balistidae","Balistes","Teleostei",NA,"Metazoa","Tetraodontiformes","Chordata","Balistes vetula","Neopterygii",NA,NA,"Craniata","Actinopterygii","Balistoidea","Eukaryota",NA,NA
"Mexico (ICML)","Canthidermis sufflamen",1,"selective plankton feeding",NA,NA,NA,NA,3.45,"Canthidermis","sufflamen","Canthidermis sufflamen","Actinopteri","Balistidae","Canthidermis","Teleostei",NA,"Metazoa","Tetraodontiformes","Chordata","Canthidermis sufflamen","Neopterygii",NA,NA,"Craniata","Actinopterygii","Balistoidea","Eukaryota",NA,NA
"Mexico (ICML)","Caranx ruber",5,"hunting macrofauna (predator)",NA,NA,NA,NA,4.28,"Caranx","ruber","Caranx ruber","Actinopteri","Carangidae","Carangoides","Teleostei",NA,"Metazoa","Carangiformes","Chordata","Carangoides ruber","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Gerres cinereus",1,"hunting macrofauna (predator)",NA,NA,NA,NA,3.47,"Gerres","cinereus","Gerres cinereus","Actinopteri","Gerreidae","Gerres","Teleostei",NA,"Metazoa","Gerreiformes","Chordata","Gerres cinereus","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Haemulon plumieri",29,NA,NA,NA,NA,NA,NA,"Haemulon","plumieri","Haemulon plumieri","Actinopteri","Haemulidae","Haemulon","Teleostei",NA,"Metazoa","Lutjaniformes","Chordata","Haemulon plumierii","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Haemulon sciurus",1,"hunting macrofauna (predator)",NA,NA,NA,NA,3.48,"Haemulon","sciurus","Haemulon sciurus","Actinopteri","Haemulidae","Haemulon","Teleostei",NA,"Metazoa","Lutjaniformes","Chordata","Haemulon sciurus","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Halichoeres bivittatus",24,"hunting macrofauna (predator)",NA,NA,NA,NA,3.82,"Halichoeres","bivittatus","Halichoeres bivittatus","Actinopteri","Labridae","Halichoeres","Teleostei",NA,"Metazoa","Labriformes","Chordata","Halichoeres bivittatus","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Halichoeres garnoti",1,"hunting macrofauna (predator)",NA,NA,NA,NA,3.7,"Halichoeres","garnoti","Halichoeres garnoti","Actinopteri","Labridae","Halichoeres","Teleostei",NA,"Metazoa","Labriformes","Chordata","Halichoeres garnoti","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Lactophrys trigonus",4,"variable",NA,NA,NA,NA,3.29,"Lactophrys","trigonus","Lactophrys trigonus","Actinopteri","Ostraciidae","Lactophrys","Teleostei",NA,"Metazoa","Tetraodontiformes","Chordata","Lactophrys trigonus","Neopterygii",NA,NA,"Craniata","Actinopterygii","Ostracioidea","Eukaryota",NA,NA
"Mexico (ICML)","Lutjanus analis",2,"hunting macrofauna (predator)",NA,NA,NA,NA,3.91,"Lutjanus","analis","Lutjanus analis","Actinopteri","Lutjanidae","Lutjanus","Teleostei",NA,"Metazoa","Lutjaniformes","Chordata","Lutjanus analis","Neopterygii","Lutjaninae",NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Lutjanus apodus",2,"hunting macrofauna (predator)",NA,NA,NA,NA,4.25,"Lutjanus","apodus","Lutjanus apodus","Actinopteri","Lutjanidae","Lutjanus","Teleostei",NA,"Metazoa","Lutjaniformes","Chordata","Lutjanus apodus","Neopterygii","Lutjaninae",NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Lutjanus griseus",2,"hunting macrofauna (predator)",NA,NA,NA,NA,4.23,"Lutjanus","griseus","Lutjanus griseus","Actinopteri","Lutjanidae","Lutjanus","Teleostei",NA,"Metazoa","Lutjaniformes","Chordata","Lutjanus griseus","Neopterygii","Lutjaninae",NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Mycteroperca tigris",1,"hunting macrofauna (predator)","Higher carnivore","Demersal","Day","coral",4.5,"Mycteroperca","tigris","Mycteroperca tigris","Actinopteri","Serranidae","Mycteroperca","Teleostei",NA,"Metazoa","Perciformes","Chordata","Mycteroperca tigris","Neopterygii","Epinephelinae","Serranoidei","Craniata","Actinopterygii",NA,"Eukaryota",NA,"Epinephelini"
"Mexico (ICML)","NA NA",1,NA,NA,NA,NA,NA,NA,"NA","NA","NA NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico (ICML)","Ocyurus chrysurus",5,"hunting macrofauna (predator)",NA,NA,NA,NA,4.03,"Ocyurus","chrysurus","Ocyurus chrysurus","Actinopteri","Lutjanidae","Ocyurus","Teleostei",NA,"Metazoa","Lutjaniformes","Chordata","Ocyurus chrysurus","Neopterygii","Lutjaninae",NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Sparisoma rubripinne",2,"browsing on substrate","Scraping herbivore","Demersal","Day","coral",2,"Sparisoma","rubripinne","Sparisoma rubripinne","Actinopteri","Labridae","Sparisoma","Teleostei",NA,"Metazoa","Labriformes","Chordata","Sparisoma rubripinne","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Sparisoma viridae",1,NA,NA,NA,NA,NA,NA,"Sparisoma","viridae","Sparisoma viridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico (ICML)","Thalassoma bifasciatum",4,"selective plankton feeding","Benthic invertivore","Demersal","Day","coral",3.3,"Thalassoma","bifasciatum","Thalassoma bifasciatum","Actinopteri","Labridae","Thalassoma","Teleostei",NA,"Metazoa","Labriformes","Chordata","Thalassoma bifasciatum","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Urobatis jamaicensis",1,"hunting macrofauna (predator)",NA,NA,NA,NA,3.55,"Urobatis","jamaicensis","Urobatis jamaicensis","Chondrichthyes","Urotrygonidae","Urobatis",NA,NA,"Metazoa","Myliobatiformes","Chordata","Urobatis jamaicensis","Elasmobranchii",NA,NA,"Craniata",NA,"Dasyatoidea","Eukaryota","Batoidea",NA
"Mexico (ICML2)","Caranx bartholomaei",2,NA,NA,NA,NA,NA,NA,"Caranx","bartholomaei","Caranx bartholomaei","Actinopteri","Carangidae","Carangoides","Teleostei",NA,"Metazoa","Carangiformes","Chordata","Carangoides bartholomaei","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML2)","Caranx ruber",6,"hunting macrofauna (predator)",NA,NA,NA,NA,4.28,"Caranx","ruber","Caranx ruber","Actinopteri","Carangidae","Carangoides","Teleostei",NA,"Metazoa","Carangiformes","Chordata","Carangoides ruber","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML2)","Diodon histrix",2,NA,NA,NA,NA,NA,NA,"Diodon","histrix","Diodon histrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico (ICML2)","Eucinostramus melanopterus",4,NA,NA,NA,NA,NA,NA,"Eucinostramus","melanopterus","Eucinostramus melanopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico (ICML2)","Halichoeres bivittatus",5,"hunting macrofauna (predator)",NA,NA,NA,NA,3.82,"Halichoeres","bivittatus","Halichoeres bivittatus","Actinopteri","Labridae","Halichoeres","Teleostei",NA,"Metazoa","Labriformes","Chordata","Halichoeres bivittatus","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML2)","Lactophris trigonus",1,NA,NA,NA,NA,NA,NA,"Lactophris","trigonus","Lactophris trigonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico (ICML2)","Lactophrys trigonus",2,"variable",NA,NA,NA,NA,3.29,"Lactophrys","trigonus","Lactophrys trigonus","Actinopteri","Ostraciidae","Lactophrys","Teleostei",NA,"Metazoa","Tetraodontiformes","Chordata","Lactophrys trigonus","Neopterygii",NA,NA,"Craniata","Actinopterygii","Ostracioidea","Eukaryota",NA,NA
"Mexico (ICML2)","Lactrophris trigonus",2,NA,NA,NA,NA,NA,NA,"Lactrophris","trigonus","Lactrophris trigonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico (ICML2)","Lutjanus analis",2,"hunting macrofauna (predator)",NA,NA,NA,NA,3.91,"Lutjanus","analis","Lutjanus analis","Actinopteri","Lutjanidae","Lutjanus","Teleostei",NA,"Metazoa","Lutjaniformes","Chordata","Lutjanus analis","Neopterygii","Lutjaninae",NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML2)","NO ID ",1,NA,NA,NA,NA,NA,NA,"NO","ID","NO ID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico (ICML2)","Sphoeroides testudineus",1,"hunting macrofauna (predator)",NA,NA,NA,NA,3.4,"Sphoeroides","testudineus","Sphoeroides testudineus","Actinopteri","Tetraodontidae","Sphoeroides","Teleostei",NA,"Metazoa","Tetraodontiformes","Chordata","Sphoeroides testudineus","Neopterygii",NA,"Tetraodontoidei","Craniata","Actinopterygii","Tetradontoidea","Eukaryota",NA,NA
"Mexico (ICML2)","Sphyraena barracuda",2,"hunting macrofauna (predator)",NA,NA,NA,NA,4.49,"Sphyraena","barracuda","Sphyraena barracuda","Actinopteri","Sphyraenidae","Sphyraena","Teleostei",NA,"Metazoa",NA,"Chordata","Sphyraena barracuda","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Norway","Carcinus Carcinus maenas",3,NA,NA,NA,NA,NA,NA,"Carcinus","Carcinus","Carcinus Carcinus","Malacostraca","Carcinidae","Carcinus",NA,"Brachyura","Metazoa","Decapoda","Arthropoda",NA,"Eumalacostraca",NA,"Pleocyemata","Crustacea",NA,"Portunoidea","Eukaryota","Eucarida",NA
"Norway","Gadus Gadus morhua",1,NA,NA,NA,NA,NA,NA,"Gadus","Gadus","Gadus Gadus","Actinopteri","Gadidae","Gadus","Teleostei",NA,"Metazoa","Gadiformes","Chordata",NA,"Neopterygii",NA,"Gadoidei","Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Norway","Pleuronectes Pleuronectes platessa",3,NA,NA,NA,NA,NA,NA,"Pleuronectes","Pleuronectes","Pleuronectes Pleuronectes","Actinopteri","Pleuronectidae","Pleuronectes","Teleostei",NA,"Metazoa","Pleuronectiformes","Chordata",NA,"Neopterygii",NA,"Pleuronectoidei","Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Norway","Pleuronectiformes ",1,NA,NA,NA,NA,NA,NA,"Pleuronectiformes",NA,"Pleuronectiformes NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway","Pollachius Pollachius virens",5,NA,NA,NA,NA,NA,NA,"Pollachius","Pollachius","Pollachius Pollachius","Actinopteri","Gadidae","Pollachius","Teleostei",NA,"Metazoa","Gadiformes","Chordata","Pollachius pollachius","Neopterygii",NA,"Gadoidei","Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Norway","Pomatoschistus Pomatoschistus sp.",2,NA,NA,NA,NA,NA,NA,"Pomatoschistus","Pomatoschistus","Pomatoschistus Pomatoschistus","Actinopteri","Gobiidae","Pomatoschistus","Teleostei",NA,"Metazoa","Gobiiformes","Chordata",NA,"Neopterygii","Gobiinae","Gobioidei","Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Norway","Salmo Salmo trutta trutta",1,NA,NA,NA,NA,NA,NA,"Salmo","Salmo","Salmo Salmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA (FL)","Archosargus probatocephalus",37,"hunting macrofauna (predator)",NA,NA,NA,NA,3.53,"Archosargus","probatocephalus","Archosargus probatocephalus","Actinopteri","Sparidae","Archosargus","Teleostei",NA,"Metazoa","Spariformes","Chordata","Archosargus probatocephalus","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"USA (FL)","Ariopsis felis",164,"hunting macrofauna (predator)",NA,NA,NA,NA,3.23,"Ariopsis","felis","Ariopsis felis","Actinopteri","Ariidae","Ariopsis","Teleostei",NA,"Metazoa","Siluriformes","Chordata","Ariopsis felis","Neopterygii",NA,"Siluroidei","Craniata","Actinopterygii",NA,"Eukaryota","Characiphysae",NA
"USA (FL)","Chilomycterus schoepfi",1,NA,NA,NA,NA,NA,NA,"Chilomycterus","schoepfi","Chilomycterus schoepfi","Actinopteri","Diodontidae","Chilomycterus","Teleostei",NA,"Metazoa","Tetraodontiformes","Chordata","Chilomycterus schoepfii","Neopterygii",NA,"Tetraodontoidei","Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"USA (FL)","Mugil cephalus",169,"variable",NA,NA,NA,NA,2.48,"Mugil","cephalus","Mugil cephalus","Actinopteri","Mugilidae","Mugil","Teleostei",NA,"Metazoa","Mugiliformes","Chordata","Mugil cephalus","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"USA (FL)","Mugil curema",8,"grazing on aquatic plants",NA,NA,NA,NA,2.01,"Mugil","curema","Mugil curema","Actinopteri","Mugilidae","Mugil","Teleostei",NA,"Metazoa","Mugiliformes","Chordata","Mugil curema","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"USA (FL)","Sphoeroides nephelus",2,"variable",NA,NA,NA,NA,3.5,"Sphoeroides","nephelus","Sphoeroides nephelus","Actinopteri","Tetraodontidae","Sphoeroides","Teleostei",NA,"Metazoa","Tetraodontiformes","Chordata","Sphoeroides nephelus","Neopterygii",NA,"Tetraodontoidei","Craniata","Actinopterygii","Tetradontoidea","Eukaryota",NA,NA
