(Intercept),factor(habitat),scale(act.ratio),scale(ENSPIEfish),scale(log.catch.rda),scale(log.mass.rda),scale(logchl),scale(logpop),scale(MDS1),scale(richness.fish),scale(sstmean),scale(temp),df,logLik,AICc,delta,weight
-2.55320863191029,NA,NA,NA,NA,NA,NA,NA,1.9129844886630707,0.4313191314647091,NA,0.08816606094937061,5,-31.318803433776537,72.9317245146119,2.4924319809010598,0.0161966177662008
-2.5443212625850617,NA,NA,0.06267906940240034,NA,NA,NA,NA,1.957381583979831,0.40148939271238115,NA,NA,5,-31.319807224682357,72.93373209642354,2.4944395627126994,0.0161803679056776
-2.5509373417290404,NA,NA,NA,NA,NA,NA,NA,1.8368298740117222,NA,0.22394709580125743,NA,4,-32.37940858364343,72.95393911850638,2.5146465847955426,0.0160177124591045
-2.5443346177464887,NA,NA,NA,NA,NA,NA,NA,1.9487831297398701,0.4397103768122351,0.026665368314299,NA,5,-31.333126580185265,72.96037080742936,2.5210782737185156,0.0159662847233275
-2.5418772228744917,NA,0.010828290284960539,NA,NA,NA,NA,NA,1.9594021417296137,0.4441749024154272,NA,NA,5,-31.33400635785387,72.96213036276656,2.5228378290557174,0.0159522441197878
-2.5161712654651422,NA,-0.15834078170088373,NA,NA,NA,NA,NA,2.0476971154345125,NA,NA,NA,4,-32.40849063460482,73.01210322042914,2.5728106867182987,0.0155585929559818
-2.5270435853532236,NA,NA,NA,NA,NA,NA,0.006857513247269108,1.9706104630059715,NA,NA,NA,4,-32.45724160389032,73.10960515900015,2.670312625289313,0.014818288366836
-2.55281643283938,NA,NA,0.3301948609530302,NA,NA,0.26145933760177864,NA,2.068541753943654,NA,NA,NA,5,-31.6244174529523,73.54295255296343,3.1036600192525867,0.011931577074753
-2.4095457770498556,+,NA,0.26715072496089887,NA,NA,NA,NA,1.9371759527573216,NA,NA,NA,5,-31.69991366056078,73.69394496818039,3.2546524344695484,0.011063951533479
-2.5901179940562904,NA,NA,0.3026263200434368,NA,NA,NA,NA,1.7942026150006878,NA,NA,0.25276856359033245,5,-31.734994985989395,73.76410761903762,3.324815085326776,0.0106825427282453
-2.561297196621677,NA,NA,0.29654277342442403,NA,NA,NA,NA,1.8976593010655347,NA,0.07238841336530313,NA,5,-31.854401430012505,74.00292050708383,3.563627973372988,0.00948019081605949
-2.551177577726211,NA,-0.02978051284110946,0.3015038675649525,NA,NA,NA,NA,1.9552118004606234,NA,NA,NA,5,-31.860191103178746,74.01449985341631,3.57520731970547,0.00942546219297779
-2.5579781545174507,NA,NA,0.30653109522883415,NA,NA,NA,0.026287036482856425,1.9443341487315555,NA,NA,NA,5,-31.860314062200853,74.01474577146053,3.5754532377496844,0.00942430331861212
-2.366392561308426,+,NA,NA,NA,NA,NA,NA,1.7999402499068107,NA,NA,0.28951098520430574,5,-31.94455655793445,74.18323076292772,3.74393822921688,0.00866289806750313
-2.333536868508538,+,NA,NA,NA,NA,0.20296797255251672,NA,2.071233208583849,NA,NA,NA,5,-31.969167519085044,74.2324526852289,3.793160151518066,0.00845229798485987
-2.4980075727375892,NA,-0.47199106764782667,NA,NA,NA,0.4155059597679026,NA,2.424418795536906,NA,NA,NA,5,-31.98978926492817,74.27369617691517,3.8344036432043254,0.00827978175058694
-2.3572530800516436,+,NA,NA,NA,NA,NA,NA,1.8127011422209538,NA,0.2554181801971357,NA,5,-32.0156950709873,74.32550778903342,3.8862152553225826,0.00806804181876232
-2.337067925173084,+,-0.08243387480754287,NA,NA,NA,NA,NA,2.005658548712104,NA,NA,NA,5,-32.10523726179973,74.50459217065828,4.065299636947444,0.0073770115129335
-2.3349297349555473,+,NA,NA,NA,NA,NA,-0.0058585469326949274,1.9651053301271553,NA,NA,NA,5,-32.117485129193305,74.52908790544544,4.089795371734596,0.00728720991578293
-2.557304134912715,NA,-0.28856854509611274,NA,NA,NA,NA,NA,1.913837112150257,NA,NA,0.34731623414973667,5,-32.18624119371531,74.66660003448945,4.227307500778608,0.00680300673004077
-2.545175033787282,NA,NA,NA,NA,NA,0.20106944545520739,NA,1.9476910402780265,NA,0.2055800517010242,NA,5,-32.24121642259641,74.77655049225164,4.337257958540803,0.00643910433325472
-2.5481272173057183,NA,NA,NA,NA,NA,0.15824242285072404,NA,1.9454029814170823,NA,NA,0.17877407613277158,5,-32.24828432806812,74.79068630319506,4.351393769484218,0.00639375380790932
-2.6995195351864245,NA,1.02101795561049,NA,1.8249634650586652,NA,NA,NA,NA,NA,NA,NA,4,-33.30371291439163,74.80254778000278,4.363255246291942,0.0063559463505444
-2.545940930650863,NA,-0.24157403752100998,NA,NA,NA,NA,NA,1.915999890798544,NA,0.2951395420185189,NA,5,-32.281297796165966,74.85671323939076,4.417420705679916,0.00618612003384049
-2.5187260612519857,NA,NA,NA,NA,NA,0.20679037825834157,-0.022526184932855554,2.07031031170491,NA,NA,NA,5,-32.30680094981596,74.90771954669074,4.468427012979902,0.00603034923031523
-2.565259156756059,NA,NA,NA,NA,NA,NA,0.021817857597294703,1.8265794821033596,NA,NA,0.2548741891499208,5,-32.32530787096481,74.94473338898844,4.505440855277598,0.00591977240697034
-2.569141025771078,NA,NA,NA,NA,NA,NA,0.0837803620389991,1.8326531682018454,NA,0.25664780502818435,NA,5,-32.36745719139259,75.029032029844,4.589739496133163,0.00567544334600775
