Lat,Long,Institution,Site.Name,Seagrass.Unveg,
44.20264,15.47251,NA,CR-B-SvetiDuh,Unveg,
44.202902,15.475608,University of Zadar,NA,NA,
44.20323,15.47232,NA,CR-B-SvetiDuh,Unveg,
44.20603,15.47262,NA,CR-B-SvetiDuh,Seagrass,
44.20607,15.472477,University of Zadar,NA,NA,
44.20628,15.47166,NA,CR-B-SvetiDuh,Seagrass,
44.20671,15.47138,NA,CR-B-SvetiDuh,Seagrass,
47.3457,-122.329,NA,Redondo S-5,Unveg,
47.346,-122.33,Seattle University,NA,NA,
47.346,-122.329,Seattle University,Redondo S-6,Seagrass,
47.349,-122.324,NA,Redondo N-4,Unveg,
47.349,-122.32,Seattle University,NA,NA,
47.3497,-122.324,NA,Redondo N-3,Unveg,
47.35,-122.32,Seattle University,Redondo N1,Seagrass,
47.3503,-122.324,Seattle University,Redondo N2,Seagrass,
47.351,-122.324,Seattle University,NA,NA,
48.48532472,-123.07541,Cornell University / Friday Harbor Labs,False Bay,Unveg,
48.48532472,-123.07541,Cornell University / Friday Harbor Labs,False Bay,Seagrass,
49.08779,-68.32173,UQAC,NA,NA,
49.08802,-68.32182,UQAC,NA,NA,
49.0891,-68.32311,NA,QC_Baie St-Ludger,Unveg,
49.0891,-68.32311,NA,QC_Baie St-Ludger,Seagrass,
51.67617,-128.12361,Hakai Institute,NA,NA,
51.676307,-128.123624,Hakai Institute,NA,NA,
51.676595,-128.123782,NA,Choked Pocket,Seagrass,
51.681297,-128.114385,NA,Choked Sandspit,Unveg,
51.681421,-128.113965,Hakai Institute,NA,NA,
51.68157,-128.1138,Hakai Institute,NA,NA,
52.94046,-4.56424,Project Seagrass,"Porthdinllaen, UK",Unveg,
52.9425,-4.56553,Project Seagrass,"Porthdinllaen, UK",Seagrass,
52.94251,-4.56562,Project Seagrass,"Porthdinllaen, UK",Seagrass,
52.9426,-4.56519,Project Seagrass,"Porthdinllaen, UK",Seagrass,
54.5265,-5.5752,Trinity College Dublin,NA,NA,no seine
54.530033,-5.571583,Trinity College Dublin,NA,NA,
58.60853,-134.93083,University of Alaska Fairbanks,Sunshine Cove,Unveg,
58.60859,-134.93278,University of Alaska Fairbanks,Sunshine Cove,Seagrass,
67.214334,15.007534,NA,NN_Juvika,Seagrass,no squid pops
67.214334,15.007534,NA,NN_Juvika,Unveg,
