"Country","Site.Name","Distance","Date","Time","Lat","Long","habitat","Total","TotalFish","Total.std","TotalFish.std","ENSPIE","ENSPIEfish","biomass","biomass.std"
"Chile","Puerto Aldea (Chile)",25,20170308,1445,-30.292541,-71.608146,"Seagrass",25,2,1,0.08,1.5281173594132,1,0.151263097459188,0.00605052389836753
"Chile","Puerto Aldea (Chile)",29,20170309,1425,-30.292541,-71.608146,"Seagrass",23,0,0.793103448275862,0,1.62769230769231,NA,0,0
"Chile","Puerto Aldea (Chile)",30,20170310,1400,-30.292541,-71.608146,"Seagrass",5,1,0.166666666666667,0.0333333333333333,1.47058823529412,1,0.000104433441375958,3.48111471253193e-06
"Brazil","Praia do Engenho",32,20170308,915,-23.78863,-45.36364,"Seagrass",39,35,1.21875,1.09375,1.73828571428571,1.42607683352736,0.35132546618251,0.0109789208182035
"Brazil","Praia do Engenho",35,20170309,930,-23.78863,-45.36364,"Seagrass",20,19,0.571428571428571,0.542857142857143,2.40963855421687,2.18787878787879,0.315961927839131,0.0090274836525466
"Brazil","Praia do Engenho",30,20170310,845,-23.78863,-45.36364,"Seagrass",26,17,0.866666666666667,0.566666666666667,2,1.12451361867704,0.0890504780710177,0.00296834926903392
"Brazil","Praia do Barreiro",25,20170308,1100,-23.76199,-45.34991,"Unveg",5,4,0.2,0.16,1.47058823529412,1,0.0491940842297247,0.00196776336918899
"Brazil","Praia do Barreiro",30,20170309,1030,-23.76199,-45.34991,"Unveg",5,2,0.166666666666667,0.0666666666666667,2.77777777777778,1,0.0248325114963957,0.00082775038321319
"Brazil","Praia do Barreiro",37,20170310,1030,-23.76199,-45.34991,"Unveg",6,4,0.162162162162162,0.108108108108108,3.6,2.66666666666667,0.0997264345409844,0.00269530904164823
"Australia (QLD)","Bowen",25,20161202,1000,-20.02034,148.24826,"Unveg",20,20,0.8,0.8,1.51515151515151,1.51515151515151,0.00567089557736555,0.000226835823094622
"Australia (QLD)","Bowen",26,20161203,1030,-20.02034,148.24826,"Unveg",150,150,5.76923076923077,5.76923076923077,1.02711585866886,1.02711585866886,0.00979298145517883,0.000376653132891494
"Australia (QLD)","Bowen",26,20161204,1130,-20.02034,148.24826,"Unveg",98,98,3.76923076923077,3.76923076923077,1,1,0.00704162130899598,0.000270831588807538
"Australia (QLD)","Bowen",25,20161202,900,-20.01734,148.25191,"Seagrass",123,123,4.92,4.92,3.40820004505519,3.40820004505519,0.140239720012674,0.00560958880050696
"Australia (QLD)","Bowen",25,20161203,940,-20.01734,148.25191,"Seagrass",72,72,2.88,2.88,3.7134670487106,3.7134670487106,0.156494786054067,0.00625979144216266
"Australia (QLD)","Bowen",25,20161204,1030,-20.01734,148.25191,"Seagrass",123,123,4.92,4.92,2.98225901833235,2.98225901833235,0.228054127010886,0.00912216508043545
"USA (TX)","Laguna Madre",20,20160727,815,27.6325167,-97.2879667,"Seagrass",8,3,0.4,0.15,2.46153846153846,1,0.00740235341169533,0.000370117670584767
"USA (TX)","Laguna Madre",20,20160803,756,27.6325167,-97.2879667,"Seagrass",51,26,2.55,1.3,2.62992922143579,1.25650557620818,0.0798721168484719,0.0039936058424236
"USA (TX)","Laguna Madre",20,20160727,805,27.6330167,-97.2881333,"Unveg",1,1,0.05,0.05,1,1,0.00316866655043538,0.000158433327521769
"USA (TX)","Laguna Madre",20,20160810,810,27.6330667,-97.2881333,"Unveg",6,3,0.3,0.15,2.57142857142857,1.8,0.0251316982100263,0.00125658491050132
"USA (TX)","Laguna Madre",20,20160810,835,27.6330833,-97.28805,"Seagrass",22,5,1.1,0.25,2.01666666666667,2.27272727272727,0.0121074735789183,0.000605373678945913
"USA (TX)","Oso Bay",20,20160707,816,27.7073833,-97.3241167,"Unveg",140,28,7,1.4,4.18624519436138,2.68493150684932,0.116686463324808,0.00583432316624038
"USA (TX)","Oso Bay",20,20160714,803,27.7073833,-97.3241167,"Unveg",348,20,17.4,1,1.99394099051633,3.92156862745098,0.437873512376102,0.0218936756188051
"USA (TX)","Oso Bay",20,20160720,830,27.7073833,-97.3241167,"Unveg",35,9,1.75,0.45,4.01639344262295,1.58823529411765,0.149835659997302,0.00749178299986508
"USA (TX)","Oso Bay",20,20160707,930,27.7074333,-97.3222833,"Seagrass",1136,31,56.8,1.55,1.17752861480962,3.09003215434084,0.107362636538808,0.0053681318269404
"USA (TX)","Oso Bay",20,20160714,847,27.7074333,-97.32295,"Seagrass",768,31,38.4,1.55,1.33197235897204,3.0702875399361,0.117271371452063,0.00586356857260316
"USA (TX)","Oso Bay",20,20160720,855,27.7074333,-97.32295,"Seagrass",59,26,2.95,1.3,5.00863309352518,2.29931972789116,0.0384280040403688,0.00192140020201844
"USA (TX)","Aransas Pass",20,20160823,730,27.8911167,-97.1116167,"Seagrass",242,78,12.1,3.9,3.44372574385511,1.49778434268833,0.299693151913648,0.0149846575956824
"USA (TX)","Aransas Pass",20,20160902,750,27.8911167,-97.1116167,"Seagrass",134,73,6.7,3.65,4.2630579297246,2.47285382830627,0.211074750853411,0.0105537375426706
"USA (TX)","Aransas Pass",20,20160909,730,27.8911167,-97.1116167,"Seagrass",107,107,5.35,5.35,1.46725618351916,1.46725618351916,0.184146485197221,0.00920732425986106
"USA (TX)","Aransas Pass",20,20160823,800,27.8912833,-97.1112167,"Unveg",98,10,4.9,0.5,2.74556889651229,3.57142857142857,0.023663192854112,0.0011831596427056
"USA (TX)","Aransas Pass",20,20160902,832,27.8912833,-97.1112167,"Unveg",112,51,5.6,2.55,4.48,2.68976215098242,0.241254357243693,0.0120627178621847
"USA (TX)","Aransas Pass",20,20160909,830,27.8912833,-97.1112167,"Unveg",100,60,5,3,4.43655723158829,2.4896265560166,0.480478464550431,0.0240239232275216
"Mexico (BN)","Punta Banda Estuary",34,20160625,1040,31.75303,-116.62586,"Seagrass",28,25,0.823529411764706,0.735294117647059,1.24444444444444,1,0.00410021111342929,0.000120594444512626
"Mexico (BN)","Punta Banda Estuary",35,20160626,930,31.75303,-116.62586,"Seagrass",44,38,1.25714285714286,1.08571428571429,1.54140127388535,1.1739837398374,0.24098984901049,0.00688542425744258
"Mexico (BN)","Punta Banda Estuary",38,20160627,1010,31.75303,-116.62586,"Seagrass",32,15,0.842105263157895,0.394736842105263,3.63120567375887,1.99115044247788,0.926768856927623,0.0243886541296743
"Mexico (BN)","Punta Banda Estuary",36,20160625,907,31.75311,-116.62514,"Unveg",3,3,0.0833333333333333,0.0833333333333333,1.8,1.8,0.086992185489435,0.00241644959692875
"Mexico (BN)","Punta Banda Estuary",38,20160626,820,31.75311,-116.62514,"Unveg",1,0,0.0263157894736842,0,1,NA,0,0
"Mexico (BN)","Punta Banda Estuary",33,20160627,910,31.75311,-116.62514,"Unveg",14,14,0.424242424242424,0.424242424242424,1.34246575342466,1.34246575342466,0.383004672377281,0.011606202193251
"USA (CA)","San Diego",38,20160701,1315,32.765211,-117.246564,"Unveg",6,3,0.157894736842105,0.0789473684210526,2.57142857142857,1.8,0.0484548357389813,0.00127512725628898
"USA (CA)","San Diego",40,20160624,800,32.765211,-117.246564,"Seagrass",155,146,3.875,3.65,1.64273504273504,1.46200274348422,0.717731610660946,0.0179432902665236
"USA (CA)","San Diego",60,20160624,900,32.765211,-117.246564,"Unveg",15,10,0.25,0.166666666666667,3,2,0.244966398434889,0.00408277330724815
"USA (CA)","San Diego",41,20160701,1215,32.765211,-117.246564,"Seagrass",51,35,1.24390243902439,0.853658536585366,3.25531914893617,1.97262479871175,0.624452515529307,0.0152305491592514
"USA (CA)","San Diego",44,20160628,900,32.765211,-117.246564,"Seagrass",51,42,1.15909090909091,0.954545454545455,2.14781172584641,1.56106194690265,0.652209470032638,0.0148229425007418
"USA (CA)","San Diego",35,20160628,1000,32.765211,-117.246564,"Unveg",14,11,0.4,0.314285714285714,3.62962962962963,2.68888888888889,0.256101237980926,0.00731717822802645
"USA (NC)","NC",37,20160816,1344,34.69051,-76.62245,"Unveg",20,17,0.540540540540541,0.459459459459459,3.63636363636364,2.86138613861386,0.101287366604235,0.00273749639470906
"USA (NC)","NC",36,20160817,1433,34.69051,-76.62245,"Unveg",20,18,0.555555555555556,0.5,2.40963855421687,2,0.141841862143569,0.00394005172621026
"USA (NC)","NC",24.36,20160815,1454,34.69051,-76.62245,"Unveg",5,4,0.205254515599343,0.164203612479475,2.27272727272727,1.6,0.0438368145695312,0.00179954082797747
"USA (NC)","NC",39,20160815,1410,34.69099,-76.62199,"Seagrass",103,92,2.64102564102564,2.35897435897436,2.09457058242843,1.69144684252598,0.324099379448573,0.00831024049868135
"USA (NC)","NC",44.5,20160816,1352,34.69099,-76.62199,"Seagrass",155,114,3.48314606741573,2.56179775280899,2.95692307692308,1.79304635761589,0.354948590416594,0.00797637281835042
"USA (NC)","NC",44,20160817,1420,34.69099,-76.62199,"Seagrass",179,167,4.06818181818182,3.79545454545455,1.82393123470143,1.59356608193817,0.309338609619824,0.0070304229459051
"USA (NC2)","Pine Knoll Shores",10,20161030,1525,34.7004,-76.8335,"Seagrass",7,7,0.7,0.7,1,1,0.0505283390095395,0.00505283390095395
"USA (NC2)","Pine Knoll Shores",10,20161031,1530,34.7004,-76.8335,"Seagrass",18,18,1.8,1.8,1.11724137931034,1.11724137931034,0.124116287542638,0.0124116287542638
"Korea","Koje-Korea",28.7,20160620,1430,34.7282,128.6047,"Seagrass",57,57,1.98606271777003,1.98606271777003,1.45629762438368,1.45629762438368,0.156686435609075,0.00545945768672735
"Korea","Koje-Korea",28,20160622,1530,34.7282,128.6047,"Seagrass",70,70,2.5,2.5,1.93065405831363,1.93065405831363,0.216501806289658,0.00773220736748777
"Korea","Koje-Korea",30.3,20160620,1340,34.7288,128.6047,"Unveg",38,38,1.25412541254125,1.25412541254125,2.52447552447552,2.52447552447552,0.163633174094308,0.00540043478859103
"Korea","Koje-Korea",28.1,20160622,1550,34.7288,128.6047,"Unveg",25,25,0.889679715302491,0.889679715302491,3.65497076023392,3.65497076023392,0.0968344639741536,0.00344606633359977
"USA (CA2)","Windy Cove",34,20160727,1045,35.348999,-120.8442,"Unveg",6,6,0.176470588235294,0.176470588235294,2.57142857142857,2.57142857142857,0.0868544820868218,0.00255454359078888
"USA (CA2)","Windy Cove",23.4,20160711,1030,35.349622,-120.844105,"Unveg",27,27,1.15384615384615,1.15384615384615,1.15898251192369,1.15898251192369,0.0332057397392299,0.0014190487068047
"USA (CA2)","Windy Cove",26,20160713,1130,35.349722,-120.843889,"Unveg",9,9,0.346153846153846,0.346153846153846,1.24615384615385,1.24615384615385,0.050495739418774,0.001942143823799
"USA (CA2)","Windy Cove",23.5,20160711,930,35.35009,-120.844383,"Seagrass",42,42,1.78723404255319,1.78723404255319,1,1,2.84e-06,1.20851063829787e-07
"USA (CA2)","Windy Cove",16.5,20160713,1026,35.350758,-120.844688,"Seagrass",25,25,1.51515151515152,1.51515151515152,1,1,2.84e-06,1.72121212121212e-07
"USA (CA3)","Elkhorn Slough",25,20160623,1130,36.809236,-121.783232,"Unveg",1,0,0.04,0,1,NA,0,0
"USA (CA3)","Elkhorn Slough",25,20160624,1135,36.809236,-121.783232,"Unveg",1,0,0.04,0,1,NA,0,0
"USA (CA3)","Elkhorn Slough",25,20160623,1100,36.810708,-121.782105,"Seagrass",11,9,0.44,0.36,1.80597014925373,1.24615384615385,0.144093778741395,0.00576375114965579
"USA (CA3)","Elkhorn Slough",25,20160624,1113,36.810708,-121.782105,"Seagrass",3,2,0.12,0.08,3,2,0.0142717127655947,0.000570868510623789
"USA (VA)","Goodwin Island",20,20160812,1000,37.215796,-76.392675,"Seagrass",5,3,0.25,0.15,1.92307692307692,1,0.00569960483657665,0.000284980241828832
"USA (DE)","UD Lewes, DE",10,20160621,1500,38.472539,-75.9491,"Unveg",31,2,3.1,0.2,1.39477503628447,1,0.00785716676258981,0.000785716676258981
"USA (MA)","Dorothy Cove",14,20160608,830,42.42035,-70.91564,"Seagrass",2,2,0.142857142857143,0.142857142857143,2,2,0.0161099673525762,0.00115071195375544
"USA (MA)","Dorothy Cove",27.7,20160610,925,42.42044,-70.91594,"Unveg",1,1,0.036101083032491,0.036101083032491,1,1,0.021336492099298,0.000770270472898846
"USA (MA)","Dorothy Cove",26.2,20160623,735,42.42049,-70.91531,"Unveg",1,1,0.0381679389312977,0.0381679389312977,1,1,0.00792614051758558,0.000302524447236091
"USA (MA)","Dorothy Cove",7,20160623,815,42.42059,-70.91541,"Seagrass",2,2,0.285714285714286,0.285714285714286,2,2,0.000838884357460127,0.000119840622494304
"USA (OR)","OIMB-Valino-SSNERR",30,20160719,1045,43.315013,-124.320361,"Seagrass",9,7,0.3,0.233333333333333,1.58823529411765,1,0.100222121713462,0.00334073739044873
"USA (OR)","OIMB-Valino-SSNERR",30,20160720,1045,43.315013,-124.320361,"Seagrass",3,2,0.1,0.0666666666666667,1.8,1,0.0199793851635791,0.000665979505452637
"USA (OR)","OIMB-Valino-SSNERR",30,20160721,1115,43.315013,-124.320361,"Seagrass",10,0,0.333333333333333,0,1.92307692307692,NA,0,0
"USA (OR)","OIMB-Valino-SSNERR",30,20160719,945,43.315383,-124.320926,"Unveg",66,11,2.2,0.366666666666667,2.3495145631068,1,0.107574722261771,0.00358582407539238
"USA (OR)","OIMB-Valino-SSNERR",30,20160720,950,43.315383,-124.320926,"Unveg",45,22,1.5,0.733333333333333,2.61966364812419,1,0.280493325411724,0.00934977751372413
"USA (OR)","OIMB-Valino-SSNERR",30,20160721,1045,43.315383,-124.320926,"Unveg",47,19,1.56666666666667,0.633333333333333,3.14224751066856,1.38314176245211,0.27148835301578,0.00904961176719268
"Croatia","CR-B-SvetiDuh",52,20160701,1000,44.20182,15.47361,"Unveg",19,1,0.365384615384615,0.0192307692307692,1.11076923076923,1,0,0
"Croatia","CR-B-SvetiDuh",60,20160701,900,44.20264,15.47251,"Unveg",2,2,0.0333333333333333,0.0333333333333333,2,2,0.016128278087695,0.000268804634794916
"Croatia","CR-B-SvetiDuh",70,20160701,800,44.20323,15.47232,"Unveg",4,0,0.0571428571428571,0,1,NA,0,0
"Croatia","CR-B-SvetiDuh",60,20160701,1100,44.20603,15.47262,"Seagrass",39,33,0.65,0.55,3.75555555555556,2.95121951219512,0.104009238324448,0.00173348730540746
"Croatia","CR-B-SvetiDuh",70,20160701,1200,44.20628,15.47166,"Seagrass",36,25,0.514285714285714,0.357142857142857,2.5511811023622,1.61498708010336,0.148665374506877,0.00212379106438396
"Croatia","CR-B-SvetiDuh",86,20160701,1300,44.20671,15.47138,"Seagrass",80,62,0.930232558139535,0.720930232558139,1.58180919426594,1.03277807630306,0.120230395185557,0.00139802785099485
"USA (WA)","Redondo S-6",12,20160707,1330,47.346,-122.329,"Seagrass",2,1,0.166666666666667,0.0833333333333333,2,1,0.085534577547731,0.00712788146231091
"USA (WA)","Redondo N1",12,20160706,1116,47.35,-122.32,"Seagrass",1,0,0.0833333333333333,0,1,NA,0,0
"USA (WA)","Redondo N2",13.5,20160706,1130,47.3503,-122.324,"Seagrass",1,0,0.0740740740740741,0,1,NA,0,0
"USA (WA2)","False Bay",52,20160721,1145,48.48532472,-123.07541,"Unveg",23,23,0.442307692307692,0.442307692307692,1,1,1.42117460213496,0.0273302808102876
"USA (WA2)","False Bay",35,20160721,1230,48.48532472,-123.07541,"Seagrass",4,4,0.114285714285714,0.114285714285714,1,1,0.349354819337164,0.00998156626677612
"USA (WA2)","False Bay",16,20160722,1205,48.48532472,-123.07541,"Unveg",2,2,0.125,0.125,1,1,0.112482949717798,0.00703018435736236
"USA (WA2)","False Bay",25.5,20160722,1240,48.48532472,-123.07541,"Seagrass",2,2,0.0784313725490196,0.0784313725490196,1,1,0.200703605296211,0.00787072961945927
"USA (WA2)","False Bay",28,20160723,1300,48.48532472,-123.07541,"Unveg",10,10,0.357142857142857,0.357142857142857,1,1,0.40437046100654,0.014441802178805
"USA (WA2)","False Bay",26,20160723,1225,48.48532472,-123.07541,"Seagrass",1,1,0.0384615384615385,0.0384615384615385,1,1,0.0495845330822191,0.0019070974262392
"Canada (QC)","QC_Baie St-Ludger",25,42556,802,49.0891,-68.32311,"Unveg",108,0,4.32,0,1.11724137931034,NA,0,0
"Canada (QC)","QC_Baie St-Ludger",25,42557,802,49.0891,-68.32311,"Unveg",1,0,0.04,0,1,NA,0,0
"Canada (QC)","QC_Baie St-Ludger",25,42556,818,49.0891,-68.32311,"Seagrass",25,0,1,0,1.57430730478589,NA,0,0
"Canada (QC)","QC_Baie St-Ludger",25,42557,812,49.0891,-68.32311,"Unveg",3,0,0.12,0,1,NA,0,0
"Canada (QC)","QC_Baie St-Ludger",25,42557,825,49.0891,-68.32311,"Seagrass",25,0,1,0,1.36761487964989,NA,0,0
"Canada (QC)","QC_Baie St-Ludger",25,42558,835,49.0891,-68.32311,"Unveg",50,0,2,0,1,NA,0,0
"Canada (QC)","QC_Baie St-Ludger",25,42558,920,49.0891,-68.32311,"Seagrass",139,0,5.56,0,1.30892215974527,NA,0,0
"Canada (BC)","Choked Pocket",20,20160707,1020,51.676595,-128.123782,"Seagrass",113,113,5.65,5.65,1.11451514358034,1.11451514358034,0.281688162922197,0.0140844081461099
"Canada (BC)","Choked Pocket",25,20160706,956,51.676595,-128.123782,"Seagrass",33,33,1.32,1.32,1.70422535211268,1.70422535211268,0.0979354866343431,0.00391741946537373
"Canada (BC)","Choked Pocket",20,20160708,1007,51.676595,-128.123782,"Seagrass",179,179,8.95,8.95,1.10780347820074,1.10780347820074,0.0978774547687245,0.00489387273843623
"Wales","Porthdinllaen, UK",30,20160903,1900,52.94046,-4.56424,"Unveg",24,1,0.8,0.0333333333333333,1.18518518518519,1,0.00264076960222179,8.80256534073929e-05
"Wales","Porthdinllaen, UK",40,20160904,1645,52.94046,-4.56424,"Unveg",57,4,1.425,0.1,2.73254835996636,1.6,0.0193489548748484,0.00048372387187121
"Wales","Porthdinllaen, UK",40,20160904,1825,52.9425,-4.56553,"Seagrass",133,31,3.325,0.775,1.58802405961038,1.30748299319728,0.0572487558144084,0.00143121889536021
"Wales","Porthdinllaen, UK",30,20160903,1830,52.94251,-4.56562,"Seagrass",30,13,1,0.433333333333333,2.35602094240838,1.352,0.0213816058785365,0.000712720195951217
"Wales","Porthdinllaen, UK",20,20160902,1830,52.9426,-4.56519,"Seagrass",76,5,3.8,0.25,1.14285714285714,1.92307692307692,0.0202696296840148,0.00101348148420074
"USA (AK)","Sunshine Cove",10,20160821,955,58.60853,-134.93083,"Unveg",1,1,0.1,0.1,1,1,0.0603247488819693,0.00603247488819693
"USA (AK)","Sunshine Cove",10,20160822,1045,58.60853,-134.93083,"Unveg",2,2,0.2,0.2,1,1,0.216209883772733,0.0216209883772733
"USA (AK)","Sunshine Cove",10,20160823,1146,58.60853,-134.93083,"Unveg",1,1,0.1,0.1,1,1,0.166329566744927,0.0166329566744927
"USA (AK)","Sunshine Cove",10,20160821,945,58.60859,-134.93278,"Seagrass",6,6,0.6,0.6,2.57142857142857,2.57142857142857,0.0606123986127827,0.00606123986127827
"USA (AK)","Sunshine Cove",10,20160822,950,58.60859,-134.93278,"Seagrass",1,1,0.1,0.1,1,1,0.000879528435090452,8.79528435090452e-05
"USA (AK)","Sunshine Cove",10,20160823,1200,58.60859,-134.93278,"Seagrass",7,7,0.7,0.7,1.32432432432432,1.32432432432432,1.66015457096463,0.166015457096463
"Norway","NN_Juvika",35,20160721,1200,67.214334,15.007534,"Seagrass",56,53,1.6,1.51428571428571,1.24741447891806,1.12135728542914,0.0173116277382477,0.000494617935378504
"Norway","NN_Juvika",58,20160721,1240,67.214334,15.007534,"Unveg",10,3,0.172413793103448,0.0517241379310345,2.17391304347826,1,0.0052827737548519,9.10823061181361e-05
"Norway","NN_Juvika",31,20160723,1200,67.214334,15.007534,"Seagrass",15,4,0.483870967741935,0.129032258064516,1.64233576642336,1,0.00354506046008672,0.000114356789035055
"Norway","NN_Juvika",48,20160723,1130,67.214334,15.007534,"Unveg",4,0,0.0833333333333333,0,1,NA,0,0
"Norway","NN_Juvika",33,20160722,1130,67.214334,15.007534,"Seagrass",26,20,0.787878787878788,0.606060606060606,1.55045871559633,1,0.0189553955092863,0.000574405924523826
"Norway","NN_Juvika",45,20160722,1050,67.214334,15.007534,"Unveg",4,0,0.0888888888888889,0,1,NA,0,0
"Australia (NSW2)","Urunga Lagoon 1",25,20170223,1409,-30.50648,153.02373,"Seagrass",1074,28,42.96,1.12,1.05403997667997,3.53153153153153,0.340842694504079,0.0136337077801631
"Australia (NSW2)","Urunga Lagoon 2",25,20170223,1458,-30.5042,153.02395,"Unveg",20,16,0.8,0.64,2.46913580246914,1.75342465753425,0.220012553363652,0.00880050213454609
"Australia (NSW2)","Urunga Lagoon 1",25,20170224,1405,-30.50648,153.02373,"Seagrass",349,34,13.96,1.36,1.22102593405712,2.18939393939394,0.17983097655097,0.00719323906203879
"Australia (NSW2)","Urunga Lagoon 2",25,20170224,1510,-30.5042,153.02395,"Unveg",30,29,1.2,1.16,1.86721991701245,1.74844074844075,0.184063515546163,0.00736254062184652
"Australia (QLD2)","Noosa river",20,20170131,1300,-26.393508,153.055206,"Seagrass",4,4,0.2,0.2,2.66666666666667,2.66666666666667,0.380525187603515,0.0190262593801757
"Australia (QLD2)","Noosa river",20,20170201,1400,-26.393508,153.055206,"Seagrass",25,25,1.25,1.25,1.26774847870183,1.26774847870183,0.083893643558908,0.0041946821779454
"Australia (QLD2)","Noosa river",20,20170202,1500,-26.393508,153.055206,"Seagrass",13,11,0.65,0.55,1.60952380952381,1.1980198019802,0.0363664721759661,0.0018183236087983
"Australia (QLD2)","Noosa river",20,20170131,1330,-26.393508,153.055206,"Unveg",1,1,0.05,0.05,1,1,0.00123875,6.19375e-05
"Australia (QLD2)","Noosa river",20,20170201,1430,-26.393508,153.055206,"Unveg",17,17,0.85,0.85,2.24031007751938,2.24031007751938,0.286850955851289,0.0143425477925645
"Australia (QLD2)","Noosa river",20,20170202,1530,-26.393508,153.055206,"Unveg",2,2,0.1,0.1,2,2,0.0193278976444369,0.000966394882221844
"Australia (QLD2)","Hervey Bay",20,20170222,1400,-25.307906,152.909319,"Seagrass",7,7,0.35,0.35,1.96,1.96,0.0587624202070066,0.00293812101035033
"Australia (QLD2)","Hervey Bay",20,20170223,1500,-25.307906,152.909319,"Seagrass",13,13,0.65,0.65,1.16551724137931,1.16551724137931,0.092021418135014,0.0046010709067507
"Australia (QLD2)","Hervey Bay",20,20170224,1600,-25.307906,152.909319,"Seagrass",4,4,0.2,0.2,1,1,0.0577259645541309,0.00288629822770655
