sciname,FeedingType,Trophic.group,Water.column,Diel.Activity,Habitat,Trophic.Level,genus.x,species.x,sciname2,class,cohort,family,genus.y,infraclass,infraorder,kingdom,order,phylum,species.y,subclass,subfamily,subgenus,suborder,subphylum,subtribe,superclass,superfamily,superkingdom,superorder,tribe
Cyprinodon variegatus,NA,NA,NA,NA,NA,2.9,Cyprinodon,variegatus,Cyprinodon variegatus,Actinopteri,NA,Cyprinodontidae,Cyprinodon,Teleostei,NA,Metazoa,Cyprinodontiformes,Chordata,Cyprinodon variegatus,Neopterygii,Cyprinodontinae,NA,Cyprinodontoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Atherinomorphae,Cyprinodontini
Dicentrarchus labrax,hunting macrofauna (predator),NA,NA,NA,NA,3.47,Dicentrarchus,labrax,Dicentrarchus labrax,Actinopteri,NA,Moronidae,Dicentrarchus,Teleostei,NA,Metazoa,NA,Chordata,Dicentrarchus labrax,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Diplodus holbrookii,grazing on aquatic plants,NA,NA,NA,NA,2.32,Diplodus,holbrookii,Diplodus holbrookii,Actinopteri,NA,Sparidae,Diplodus,Teleostei,NA,Metazoa,Spariformes,Chordata,Diplodus holbrookii,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Diplodus sargus,NA,NA,NA,NA,NA,NA,Diplodus,sargus,Diplodus sargus,Actinopteri,NA,Sparidae,Diplodus,Teleostei,NA,Metazoa,Spariformes,Chordata,Diplodus sargus,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Ditrema temminckii,NA,NA,NA,NA,NA,3.7,Ditrema,temminckii,Ditrema temminckii,Actinopteri,NA,Embiotocidae,Ditrema,Teleostei,NA,Metazoa,NA,Chordata,Ditrema temminckii,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Echiichthys vipera,hunting macrofauna (predator),NA,NA,NA,NA,4.41,Echiichthys,vipera,Echiichthys vipera,Actinopteri,NA,Trachinidae,Echiichthys,Teleostei,NA,Metazoa,Perciformes,Chordata,Echiichthys vipera,Neopterygii,NA,NA,Percoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Elops saurus,hunting macrofauna (predator),NA,NA,NA,NA,3.49,Elops,saurus,Elops saurus,Actinopteri,NA,Elopidae,Elops,Teleostei,NA,Metazoa,Elopiformes,Chordata,Elops saurus,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Embiotoca sp.,NA,NA,NA,NA,NA,NA,Embiotoca,,Embiotoca ,Actinopteri,NA,Embiotocidae,Embiotoca,Teleostei,NA,Metazoa,NA,Chordata,NA,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Embiotoca jacksoni,hunting macrofauna (predator),NA,NA,NA,NA,3.31,Embiotoca,jacksoni,Embiotoca jacksoni,Actinopteri,NA,Embiotocidae,Embiotoca,Teleostei,NA,Metazoa,NA,Chordata,Embiotoca jacksoni,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Embiotoca lateralis,hunting macrofauna (predator),NA,NA,NA,NA,3.33,Embiotoca,lateralis,Embiotoca lateralis,Actinopteri,NA,Embiotocidae,Embiotoca,Teleostei,NA,Metazoa,NA,Chordata,Embiotoca lateralis,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Embiotocidae sp.,NA,NA,NA,NA,NA,NA,Embiotocidae,,Embiotocidae ,Actinopteri,NA,Embiotocidae,NA,Teleostei,NA,Metazoa,NA,Chordata,NA,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Engraulis ringens,filtering plankton,NA,NA,NA,NA,2.859999895,Engraulis,ringens,Engraulis ringens,Actinopteri,NA,Engraulidae,Engraulis,Teleostei,NA,Metazoa,Clupeiformes,Chordata,Engraulis ringens,Neopterygii,Engraulinae,NA,Clupeoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Enophrys bison,hunting macrofauna (predator),NA,NA,NA,NA,3.34,Enophrys,bison,Enophrys bison,Actinopteri,NA,Cottidae,Enophrys,Teleostei,Cottales,Metazoa,Perciformes,Chordata,Enophrys bison,Neopterygii,NA,NA,Cottioidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Entelurus aequoreus,variable,NA,NA,NA,NA,3.539999962,Entelurus,aequoreus,Entelurus aequoreus,Actinopteri,NA,Syngnathidae,Entelurus,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,Entelurus aequoreus,Neopterygii,Syngnathinae,NA,Syngnathoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Epinephelus sp.,NA,NA,NA,NA,NA,NA,Epinephelus,,Epinephelus ,Actinopteri,NA,Serranidae,Epinephelus,Teleostei,NA,Metazoa,Perciformes,Chordata,NA,Neopterygii,Epinephelinae,NA,Serranoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,Epinephelini
Epinephelus coioides,hunting macrofauna (predator),NA,NA,NA,NA,4,Epinephelus,coioides,Epinephelus coioides,Actinopteri,NA,Serranidae,Epinephelus,Teleostei,NA,Metazoa,Perciformes,Chordata,Epinephelus coioides,Neopterygii,Epinephelinae,NA,Serranoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,Epinephelini
Ethmidium maculatum,filtering plankton,NA,NA,NA,NA,2.07,Ethmidium,maculatum,Ethmidium maculatum,Actinopteri,NA,Clupeidae,Ethmidium,Teleostei,NA,Metazoa,Clupeiformes,Chordata,Ethmidium maculatum,Neopterygii,Clupeinae,NA,Clupeoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Etropus longimanus,NA,NA,NA,NA,NA,3.44,Etropus,longimanus,Etropus longimanus,Actinopteri,NA,Paralichthyidae,Etropus,Teleostei,NA,Metazoa,Pleuronectiformes,Chordata,Etropus longimanus,Neopterygii,NA,NA,Pleuronectoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Eucinostomus argenteus,hunting macrofauna (predator),NA,NA,NA,NA,3.24,Eucinostomus,argenteus,Eucinostomus argenteus,Actinopteri,NA,Gerreidae,Eucinostomus,Teleostei,NA,Metazoa,Gerreiformes,Chordata,Eucinostomus argenteus,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Eucinostomus harengulus,hunting macrofauna (predator),NA,NA,NA,NA,3.26,Eucinostomus,harengulus,Eucinostomus harengulus,Actinopteri,NA,Gerreidae,Eucinostomus,Teleostei,NA,Metazoa,Gerreiformes,Chordata,Eucinostomus harengulus,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
