"Country","meanLat","meanLong","calcite","chlomax","chlomean","chlomin","chlorange","cloudmax","cloudmean","cloudmin","dissox","nitrate","parmax","parmean","ph","phosphate","salinity","silicate","sstmax","sstmean","sstmin","sstrange","hemi"
"Canada (BC)",51.6788933333333,-128.118861,0.000282666666666667,21.025,10.4198333333333,4.45066666666667,16.5743333333333,0.825666666666667,0.766,0.684166666666667,6.9615,4.75933333333333,44.1706666666667,29.0873333333333,8.145,0.922633333333333,30.342,14.553,14.3165,9.531,6.00733333333333,8.30916666666667,"North"
"Canada (QC)",49.0885025,-68.3224425,0.003275,39.8818,16.5746,2.1942,37.6876,0.794,0.6794,0.6032,7.568,5.1036,47.8784,35.2966,7.7064,0.90292,26.872,13.6594,14.0512,5.32,-0.8074,14.8586,"North"
"Chile",-30.2959268,-71.6067784,0.00028875,5.48675,2.54075,0.6765,4.81025,0.72825,0.63925,0.57675,5.57125,3.36475,58.53475,38.94875,8.222,0.605625,34.42925,3.7655,17.87125,15.105,13.23475,4.6365,"South"
"Croatia",44.20446025,15.472773125,0.000477,0.734,0.613,0.539,0.1950001,0.802,0.656,0.444,5.586,0.606,56.752,33.143,8.247,0.0348,38.434,3.551,24.837,15.777,8.196,16.641,"North"
"France",41.6242304666667,-48.1150795333333,0.0001624,1.0878,0.4452,0.2102,0.8776,0.9522,0.8548,0.6968,6.0416,1.011,50.3712,30.3822,8.216,0.21548,34.7378,1.284,22.2756,17.0618,13.0786,9.197,"North"
"India",10.06845,73.63358,0.00145766666666667,0.794333333333333,0.331333333333333,0.153333333333333,0.641,0.874,0.669333333333333,0.426,4.53433333333333,0.928666666666667,52.3966666666667,44.317,8.15733333333333,0.275533333333333,35.0863333333333,3.86166666666667,30.5746666666667,29.082,27.669,2.90566666666667,"North"
"Ireland",54.5282665,-5.5733915,0.00602616666666667,3.52166666666667,2.58816666666667,1.95,1.57166663333333,0.818833333333333,0.761166666666667,0.696,6.55083333333333,5.99666666666667,40.7893333333333,28.6868333333333,8.20616666666667,0.573283333333333,34.1131666666667,4.10266666666667,15.8126666666667,10.6796666666667,6.42066666666667,9.392,"North"
"Italy",43.06767175,9.8312325,0.00012075,0.33675,0.2085,0.095,0.24175,0.70675,0.5755,0.34475,5.427,0.5895,57.1875,34.40175,8.2505,0.163675,38.11875,1.81725,25.48625,18.842,13.38575,12.1005,"North"
"Korea",34.7286333333333,128.6047,0.004345,3.9408,1.9896,0.9982,2.9426,0.7114,0.533,0.4016,5.6708,1.2862,45.7514,34.0946,8.1102,0.30454,32.9458,11.989,26.1562,17.6826,11.6558,14.5004,"North"
"Mexico (BN)",31.75306775,-116.62549875,0.000745,12.4323333333333,5.229,2.08733333333333,10.3450003333333,0.539666666666667,0.408666666666667,0.288333333333333,5.83366666666667,0.0553333333333333,55.839,41.984,8.22466666666667,0.368333333333333,33.5203333333333,2.526,21.606,17.8143333333333,15.03,6.576,"North"
"Mexico (ICML)",20.834515,-86.876505,8.325e-05,0.15,0.12175,0.0945,0.0555,0.7105,0.615,0.544,4.5755,1.022,54.712,43.77425,8.16225,0.0961,36.208,1.96875,29.90175,27.9805,26.2365,3.66525,"North"
"Mexico (ICML2)",19.82714,-87.45461,0.0165308,1.2044,0.9468,0.7434,0.461,0.739,0.5704,0.4512,4.5996,1.1084,53.12,43.4004,8.141,0.0932,36.1898,2.0698,30.2318,28.1342,26.3406,3.8912,"North"
"Norway",67.214334,15.007534,0.000372125,3.771625,1.755875,1.042375,2.7292499875,0.822375,0.763125,0.693625,6.92925,4.362,40.188125,29.17725,8.212,0.5482375,32.176,7.50825,14.1625,7.1895,2.43525,11.72725,"North"
"Panama",9.351713,-82.257695,0.00121325,6.11,2.057,0.58325,5.52675,0.8895,0.8175,0.70775,4.6645,1.70725,45.87125,39.51425,7.96725,0.07545,35.914,4.19975,30.66025,29.66475,28.183,2.47725,"North"
"USA (AK)",58.60856,-134.931805,0.0024434,8.3394,2.7768,0.7768,7.5626002,0.8712,0.8192,0.7728,7.6608,4.5572,36.1504,26.1992,8.2104,1.00144,26.74,20.2562,14.2894,7.8062,3.2144,11.075,"North"
"USA (CA)",32.76524175,-117.2465335,0.000646333333333333,3.691,2.25166666666667,1.6,2.091,0.559333333333333,0.468333333333333,0.383666666666667,5.761,0.103666666666667,54.995,40.803,8.21866666666667,0.356033333333333,33.4886666666667,2.52966666666667,21.8593333333333,17.25,14.117,7.74233333333333,"North"
"USA (CA2)",35.3498195,-120.8443089,0.0005375,6.3615,3.254,1.0965,5.265,0.5265,0.416,0.3255,5.947,2.7585,55.8775,38.621,8.202,0.59225,33.4975,5.338,15.6435,13.4355,11.5605,4.083,"North"
"USA (CA3)",36.809972,-121.7826685,0.0017025,20.0905,11.9135,2.6195,17.471,0.606,0.506,0.4095,6.476,4.729,56.6855,37.421,8.209,0.7444,33.587,7.9545,15.2325,13.071,11.4265,3.806,"North"
"USA (DE)",38.472539,-75.9491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North"
"USA (FL)",27.536026,-80.348148,0.0071845,3.503,1.974,0.906,2.597,0.7555,0.571,0.45,4.708,0.3715,54.35,41.445,8.2125,0.09345,36.145,1.38,30.8995,25.581,21.0495,9.85,"North"
"USA (MA)",42.420327,-70.915676,0.0060875,11.134,6.37975,2.46225,8.67175025,0.72775,0.62825,0.5005,6.81525,3.7135,48.91225,31.26825,8.044,0.728375,31.1965,4.61675,18.97325,10.316,2.225,16.74825,"North"
"USA (NC)",34.69075,-76.62222,0.01353625,6.01875,4.1365,2.6575,3.36125,0.58125,0.48675,0.40775,5.128,0.30875,53.306,35.68825,8.2865,0.115625,34.8905,0.93475,28.57875,21.2455,13.6495,14.92925,"North"
"USA (NC2)",34.7004,-76.8335,0.00361075,3.44875,2.31425,1.227,2.22175,0.59625,0.488,0.40475,5.1585,0.3065,53.0985,36.34275,8.2885,0.1166,34.916,0.93875,28.11625,21.05275,13.30825,14.808,"North"
"USA (OR)",43.3152596666667,-124.320737666667,0.0017885,9.6415,3.8135,1.447,8.1945,0.75,0.6555,0.532,6.4375,3.8365,53.4,32.274,8.1995,0.6459,32.4915,12.8905,13.6995,11.2035,9.4495,4.25,"North"
"USA (TX)",27.5701580684211,-97.2009440368421,0.0088276,6.083,3.3458,1.1,4.983,0.6688,0.5674,0.4292,5.0568,1.1568,55.7674,39.6538,8.1366,0.24632,30.1114,1.7728,30.1206,24.2454,16.9508,13.1698,"North"
"USA (VA)",37.215796,-76.392675,0.008717,23.5325,15.491,10.4115,13.121,0.58425,0.5045,0.43925,5.55725,1.0745,50.6105,34.0405,8.3045,0.3476,16.97625,1.547,27.52225,16.06725,4.896,22.62625,"North"
"USA (VA2)",37.6839766666667,-75.866725,0.0087705,26.3605,18.5135,11.379,14.9815,0.612,0.5165,0.435,6.3215,0.601,51.7775,34.5165,8.2745,0.2643,22.7145,1.0625,27.0425,15.4375,4.0125,23.03,"North"
"USA (WA)",47.3485222222222,-122.324888888889,0.008843,7.9435,7.7665,7.5875,0.35599995,0.8595,0.6865,0.5005,6.08,10.6185,55.216,33.155,7.834,2.26505,28.8055,33.8925,16.1265,10.951,7.0535,9.073,"North"
"USA (WA2)",48.48532472,-123.07541,0.00098725,5.06625,2.479,1.567,3.49925,0.82575,0.66675,0.445,5.71375,8.64775,53.63775,33.55925,7.8875,1.894675,30.30675,39.41,12.27125,9.5155,7.20825,5.063,"North"
"Wales",52.9420175,-4.565145,0.0099378,4.8758,3.3124,2.3756,2.5002,0.7858,0.7352,0.6532,6.332,8.9522,46.299,30.4476,8.2078,0.62844,34.282,4.8194,16.3834,11.6828,7.6382,8.7452,"North"
