"Country","meanLat","meanLong","calcite","chlomax","chlomean","chlomin","chlorange","cloudmax","cloudmean","cloudmin","damax","damean","damin","dissox","nitrate","parmax","parmean","ph","phos","phosphate","salinity","silicate","sstmax","sstmean","sstmin","sstrange","hemi","Site","basin","coast","Scold","Swarm"
"Croatia",44.20446025,15.472773125,0.00047699999413453,0.734000027179718,0.612999975681305,0.538999974727631,0.195000097155571,0.801999986171722,0.656000018119812,0.444000005722046,0.101999998092651,0.0900000035762787,0.0810000002384186,5.58599996566772,0.606000006198883,56.7519989013672,33.1430015563965,8.24699974060059,0.0348000004887581,0.0348000004887581,38.4339981079102,3.55100011825562,24.8369998931885,15.7770004272461,8.19600009918213,16.6410007476807,"North","Croatia","Mediterranean","East",0,5
"France",43.447124,3.666644,0.00384500009628634,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,0.220000003774961,0.143999998768171,0.0869999999801318,5.56333351135254,1.84100000063578,56.1839993794759,33.7876663208008,8.27233346303304,0.242866665124893,0.242866665124893,37.3333333333333,1.48133333524068,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,"North","France","Mediterranean","East",0,6
"India",10.06845,73.63358,0.00145766664597128,0.794333318869273,0.331333334247271,0.15333333114783,0.641000002622604,0.874000012874603,0.669333338737488,0.425999989112218,0.10399999966224,0.0603333326677481,0.0396666663388411,4.53433338801066,0.928666671117147,52.3966674804688,44.3170000712077,8.157333056132,0.275533338387807,0.275533338387807,35.0863342285156,3.86166667938232,30.5746663411458,29.0820007324219,27.6689993540446,2.9056666692098,"North","India","Indian","East",NA,NA
"Ireland",54.5282665,-5.5733915,0.00602616656882067,3.52166668574015,2.58816667397817,1.94999996821086,1.57166664799054,0.818833331267039,0.761166661977768,0.695999999841054,0.218999996781349,0.197333330909411,0.174500000973543,6.5508333047231,5.99666659037272,40.789332707723,28.6868333816528,8.2061669031779,0.57328333457311,0.57328333457311,34.113166809082,4.10266669591268,15.8126667340597,10.679666519165,6.42066661516825,9.39199995994568,"North","Ireland","Atlantic","East",NA,NA
"Italy",43.06767175,9.8312325,0.000120750000860426,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,0.0592499990016222,0.0445000007748604,0.0305000012740493,5.42700004577637,0.589499980211258,57.1875,34.4017505645752,8.25050020217896,0.163674999028444,0.163674999028444,38.1187496185303,1.81725004315376,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,"North","Italy","Mediterranean","East",0,12
"Korea",34.7286333333333,128.6047,0.00434499992989004,3.94079999923706,1.98960001468658,0.998200011253357,2.94259996414185,0.71139999628067,0.533000004291534,0.401599997282028,0.2283999979496,0.170200002193451,0.122600001096725,5.67080001831055,1.28619997501373,45.751399230957,34.0945999145508,8.11019992828369,0.304540002346039,0.304540002346039,32.94580078125,11.9889999389648,26.1562000274658,17.6826000213623,11.6558000564575,14.5003999710083,"North","Korea","Pacific","West",2,3
"Mexico (BN)",31.75306775,-116.62549875,0.000745000007251898,12.4323333104452,5.22900001207987,2.08733332157135,10.3450002670288,0.539666672547658,0.408666660388311,0.288333331545194,0.355333338181178,0.243000005682309,0.170333335796992,5.83366664250692,0.0553333337108294,55.8390007019043,41.984001159668,8.22466691335042,0.368333339691162,0.368333339691162,33.5203336079915,2.52599994341532,21.6060002644857,17.8143329620361,15.0300000508626,6.57600005467733,"North","Baja","Pacific","East",0,3
"Mexico (ICML)",20.834515,-86.876505,8.32500008982606e-05,0.150000002235174,0.121750000864267,0.0945000015199184,0.0554999997839332,0.710500001907349,0.614999994635582,0.543999999761581,0.0360000003129244,0.0327499997802079,0.0285000000149012,4.57550001144409,1.02199998497963,54.7119998931885,43.7742500305176,8.16225004196167,0.0961000025272369,0.0961000025272369,36.2080001831055,1.96875002980232,29.901750087738,27.9804997444153,26.236499786377,3.66525000333786,"North","Yuca2","Atlantic","West",0,8
"Mexico (ICML2)",19.82714,-87.45461,0.016530799875909,1.20440004169941,0.946800005435944,0.743399977684021,0.460999985039234,0.738999998569489,0.57039999961853,0.451200008392334,0.0987999990582466,0.0853999979794025,0.0732000008225441,4.5996000289917,1.10839998722076,53.1200004577637,43.4004005432129,8.14100017547607,0.0931999996304512,0.0931999996304512,36.1898002624512,2.06979999542236,30.231799697876,28.1341999053955,26.340599822998,3.89119997024536,"North","Yuca1","Atlantic","West",0,3
"Norway",67.214334,15.007534,0.000372124999557855,3.77162499725819,1.75587499141693,1.04237500578165,2.72924998030066,0.822374992072582,0.763125009834766,0.693624995648861,0.202624997124076,0.159874999895692,0.139499999582767,6.92924988269806,4.36199998855591,40.1881237030029,29.1772499084473,8.21199989318848,0.548237510025501,0.548237510025501,32.1760001182556,7.50824999809265,14.1624999046326,7.18950003385544,2.4352500140667,11.7272499799728,"North","Norway","Atlantic","East",1,1
"Panama",9.351713,-82.257695,0.00121325001236983,6.10999995470047,2.05699998140335,0.583250001072884,5.52674996852875,0.889500007033348,0.81750001013279,0.707750007510185,0.25450000539422,0.155999997630715,0.0877499990165234,4.66449999809265,1.70724999904633,45.8712501525879,39.5142507553101,7.96724998950958,0.0754499994218349,0.0754499994218349,35.9139995574951,4.19975006580353,30.660249710083,29.6647500991821,28.1829996109009,2.47724997997284,"North","Panama","Atlantic","West",NA,NA
"USA (AK)",58.60856,-134.931805,0.00244339999044314,8.33940010070801,2.77679996490478,0.776800012588501,7.56260018348694,0.871199989318848,0.819199991226196,0.77279999256134,0.275,0.190399995446205,0.116999998688698,7.66079988479614,4.55719995498657,36.1504005432129,26.1992004394531,8.21040019989014,1.00143998861313,1.00143998861313,26.7399997711182,20.2562004089355,14.2893999099731,7.80620002746582,3.21440000534058,11.0749998092651,"North","AK","Pacific","East",3,0
"USA (CA)",32.76524175,-117.2465335,0.000646333326585591,3.69099998474121,2.25166670481364,1.60000004371007,2.09100000063578,0.559333324432373,0.468333333730698,0.383666664361954,0.203333333134651,0.167666668693225,0.139333335061868,5.76099999745687,0.103666668136915,54.9950002034505,40.8030001322428,8.21866671244303,0.356033325195312,0.356033325195312,33.4886665344238,2.52966666221619,21.859333674113,17.25,14.1169996261597,7.74233325322469,"North","CA","Pacific","East",1,2
"USA (CA2)",35.3498195,-120.8443089,0.000537499989150092,6.36150002479553,3.25399994850159,1.09650000929832,5.26500010490417,0.526500001549721,0.416000008583069,0.325500011444092,0.26350000500679,0.192499995231628,0.125499997287989,5.9469997882843,2.75850009918213,55.8775005340576,38.621000289917,8.20199966430664,0.592249989509583,0.592249989509583,33.4974994659424,5.33799982070923,15.6434998512268,13.4354996681213,11.5604996681213,4.08300006389618,"North","CA2","Pacific","East",3,0
"USA (CA3)",36.809972,-121.7826685,0.00170249998336658,20.0904998779297,11.9135003089905,2.619500041008,17.4710006713867,0.606000006198883,0.505999997258186,0.409500002861023,0.421499997377396,0.322999998927116,0.175999999046326,6.4760000705719,4.72900009155273,56.6855010986328,37.4209995269775,8.20899963378906,0.74439999461174,0.74439999461174,33.5869998931885,7.95449995994568,15.2325000762939,13.0710000991821,11.4264998435974,3.80600011348724,"North","CA3","Pacific","East",5,0
"USA (DE)",38.472539,-75.9491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North","DE","Atlantic","West",1,1
"USA (FL)",27.536026,-80.348148,0.00718450010754168,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,0.218000002205372,0.165500000119209,0.11600000038743,4.70799994468689,0.371500000357628,54.3500003814697,41.4449996948242,8.21250009536743,0.0934499986469746,0.0934499986469746,36.1450004577637,1.37999999523163,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,"North","FL","Atlantic","West",0,2
"USA (MA)",42.420327,-70.915676,0.00608749984530732,11.1339999437332,6.37975001335144,2.4622500538826,8.67175024747849,0.727749988436699,0.628250002861023,0.500499993562698,0.350249998271465,0.282500006258488,0.190000001341105,6.81524991989136,3.71350002288818,48.9122495651245,31.2682495117188,8.04400014877319,0.728375017642975,0.728375017642975,31.1964998245239,4.61675000190735,18.973249912262,10.3159999847412,2.22499999403954,16.7482500076294,"North","MA","Atlantic","West",1,0
"USA (NC)",34.69075,-76.62222,0.013536250218749,6.01875001192093,4.13650006055832,2.65749999880791,3.3612499833107,0.581249997019768,0.486749991774559,0.407749995589256,0.280500002205372,0.232749998569489,0.17400000244379,5.12800002098083,0.308749996125698,53.3060007095337,35.6882495880127,8.28649997711182,0.115624999627471,0.115624999627471,34.8905000686646,0.934750005602837,28.5787501335144,21.2454996109009,13.6494998931885,14.9292502403259,"North","NC","Atlantic","West",0,8
"USA (NC2)",34.7004,-76.8335,0.00361075002001598,3.44875001907349,2.31425002217293,1.22699996829033,2.22174999117851,0.596249997615814,0.488000005483627,0.404749996960163,0.212750002741814,0.177250001579523,0.136499999091029,5.15849995613098,0.306499995291233,53.0984992980957,36.3427495956421,8.28849983215332,0.116599999368191,0.116599999368191,34.9159994125366,0.938750013709068,28.116250038147,21.0527501106262,13.3082499504089,14.808000087738,"North","NC2","Atlantic","West",0,3
"USA (OR)",43.315198,-124.3206435,0.00178849993972108,9.6414999961853,3.81350004673004,1.44700002670288,8.19449996948242,0.75,0.655499994754791,0.532000005245209,0.275000005960464,0.19650000333786,0.145000003278255,6.4375,3.83650004863739,53.4000015258789,32.273998260498,8.19950008392334,0.645900011062622,0.645900011062622,32.4915008544922,12.8905000686646,13.6995000839233,11.2034997940063,9.44950008392334,4.25,"North","OR","Pacific","East",4,0
"USA (TX)",27.57701933,-97.20710267,0.0102209998294711,6.61566662788391,3.78416665395101,1.40833333134651,5.20733348528544,0.680666665236155,0.576833337545395,0.440000002582868,0.275333335002263,0.218499998251597,0.138666667044163,5.05966663360596,1.15683329105377,55.9351666768392,39.7611668904622,8.13666661580404,0.246583330134551,0.246583330134551,30.0056664148966,1.77283334732056,30.2846666971842,24.4569997787476,17.3116664886475,12.9729998906453,"North","TX","Atlantic","West",0,16
"USA (VA)",37.215796,-76.392675,0.00871699978597462,23.5325002670288,15.4910001754761,10.4115000963211,13.1210000514984,0.584250003099442,0.504500016570091,0.439249999821186,0.505500003695488,0.430249996483326,0.358749993145466,5.55725002288818,1.0745000243187,50.6105003356934,34.0404996871948,8.30450010299683,0.347599998116493,0.347599998116493,16.9762499332428,1.54699999094009,27.5222496986389,16.06725025177,4.89600002765656,22.6262497901917,"North","VA","Atlantic","West",0,2
"USA (VA2)",37.6839766666667,-75.866725,0.00877049984410405,26.3605003356934,18.513500213623,11.3790001869202,14.9815001487732,0.612000018358231,0.516499996185303,0.435000002384186,0.526500016450882,0.458999991416931,0.377000004053116,6.3215000629425,0.600999996066093,51.7775001525879,34.5165004730225,8.27449989318848,0.264299996197224,0.264299996197224,22.7144994735718,1.06249997019768,27.0424995422363,15.4375,4.01250004768372,23.0300006866455,"North","VA2","Atlantic","West",0,3
"USA (WA)",47.3485222222222,-122.324888888889,0.00884300004690886,7.94349980354309,7.7664999961853,7.58749985694885,0.355999946594238,0.859499990940094,0.686499983072281,0.500499993562698,0.332000002264977,0.329500004649162,0.327000007033348,6.07999992370605,10.6184997558594,55.2159996032715,33.1550006866455,7.83400011062622,2.2650500535965,2.2650500535965,28.8055000305176,33.8924999237061,16.1265001296997,10.951000213623,7.0534999370575,9.07299995422363,"North","WA","Pacific","East",4,0
"USA (WA2)",48.48532472,-123.07541,0.000987250008620322,5.0662499666214,2.47900003194809,1.56700000166893,3.49924999475479,0.825750008225441,0.666750013828278,0.444999992847443,0.236000001430511,0.187250003218651,0.155999999493361,5.71375000476837,8.64775013923645,53.6377506256104,33.5592498779297,7.88750004768372,1.89467498660088,1.89467498660088,30.3067502975464,39.4099998474121,12.2712500095367,9.51550030708313,7.20825004577637,5.06299996376038,"North","WA2","Pacific","East",1,0
"Wales",52.9420175,-4.565145,0.00993780009448528,4.87580003738403,3.31239995956421,2.37560002803802,2.50019998550415,0.785800004005432,0.735199975967407,0.653199994564056,0.257000005245209,0.218199995160103,0.188400003314018,6.33199996948242,8.95220031738281,46.2990005493164,30.4476001739502,8.20780029296875,0.628439998626709,0.628439998626709,34.281999206543,4.81940002441406,16.3833999633789,11.682799911499,7.63819999694824,8.74520015716553,"North","Wales","Atlantic","East",2,2
