Site Name,Country,Lat,Long,habitat,Date,Deployment Type,Time Started,Time Ended,Q/PA,Genus,Species,Length,Number Of Strikes,Bait Removed,Notes
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Spondyliosoma,cantharus,10,17,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,8,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Serranus,scriba,13,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Serranus,scriba,15,2,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,10,2,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Serranus,scriba,15,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,8,2,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Spondyliosoma,cantharus,10,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Spondyliosoma,cantharus,10,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,8,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Muraena,helena,40,2,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,10,6,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Spondyliosoma,cantharus,10,4,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,2,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Diplodus, annularis,10,43,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Spondyliosoma,cantharus,10,15,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,13,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Serranus,scriba,13,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,9,15,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Spondyliosoma,cantharus,10,16,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,9,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,9,3,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Diplodus, annularis,10,14,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Spondyliosoma,cantharus,10,11,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Serranus,scriba,15,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Serranus,scriba,13,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,8,3,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,12,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Diplodus, annularis,10,27,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Spondyliosoma,cantharus,10,6,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Diplodus, annularis,10,14,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,10,3,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,5,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Diplodus, annularis,10,48,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,5,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,12,3,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Diplodus, annularis,10,17,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,3,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Spondyliosoma,cantharus,10,12,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,4,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,8,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Coris,julis,12,2,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,38,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,44,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Serranus,scriba,13,2,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Diplodus, annularis,10,15,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160727,Squidpop,11:05,11:36,Q,Oblada ,melanura,6,9,no,
Mortola S1,Italy,43.0677,10.831,Seagrass,20160727,Squidpop,11:05,11:36,PA,Diplodus,vulgaris,,,,
Mortola S1,Italy,43.0677,11.831,Seagrass,20160727,Squidpop,11:05,11:36,PA,Chromis ,chromis,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,12,18,no,the squidpop flies up at 11:01
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,14,13,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,15,11,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,14,74,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,12,70,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,15,62,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,16,17,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,12,14,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,15,4,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,15,1,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,15,2,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,14,1,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,Q,Oblada ,melanura,14,6,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,PA,Spondyliosoma,cantharus,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,PA,Mullus ,surmuletus,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,PA,Diplodus,vulgaris,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,PA,Diplodus,sargus,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,PA,Solea,sp.,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,PA,Atherina,boyeri,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,PA,Mugil ,sp.,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160727,Squidpop,11:20,12:16,PA,Sparus,aurata,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160728,Squidpop,12:05,12:38,Q,Coris,julis,9,9,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160728,Squidpop,12:05,12:38,Q,Coris,julis,15,2,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160728,Squidpop,12:05,12:38,Q,Serranus,scriba,20,4,yes,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160728,Squidpop,12:05,12:38,PA,Spondyliosoma,cantharus,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160728,Squidpop,12:05,12:38,PA,Oblada ,melanura,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160728,Squidpop,12:05,12:38,PA,Chromis ,chromis,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160728,Squidpop,12:05,12:38,PA,Diplodus,vulgaris,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160728,Squidpop,12:05,12:38,PA,Diplodus,annularis,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160728,Squidpop,12:05,12:38,PA,Symphodus,tinca,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160728,Squidpop,12:05,12:38,PA,Symphodus,ocellatus,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160728,Squidpop,12:20,13:17,Q,Oblada ,melanura,12,1,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160728,Squidpop,12:20,13:17,Q,Oblada ,melanura,22,1,no,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160728,Squidpop,12:20,13:17,Q,Oblada ,melanura,15,1,yes,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160728,Squidpop,12:20,13:17,PA,Diplodus,vulgaris,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160728,Squidpop,12:20,13:17,PA,Solea,sp.,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Oblada ,melanura,8,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Oblada ,melanura,8,8,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Serranus,scriba,6,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Oblada ,melanura,8,5,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Oblada ,melanura,8,5,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Coris,julis,5,2,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Coris,julis,12,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Oblada ,melanura,12,4,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Oblada ,melanura,13,2,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Spondyliosoma,cantharus,9,3,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Oblada ,melanura,5,4,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Coris,julis,10,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Oblada ,melanura,6,4,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Spondyliosoma,cantharus,9,1,no,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,Q,Oblada ,melanura,12,2,yes,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,PA,Chromis ,chromis,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,PA,Boops,boops,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,PA,Symphodus,tinca,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,PA,Diplodus,vulgaris,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,PA,Diplodus,puntazzo,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,PA,Diplodus,annularis,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,PA,Symphodus,ocellatus,,,,
Mortola S1,Italy,43.0677,9.831,Seagrass,20160729,Squidpop,13:48,14:48,PA,Sarpa,salpa,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160729,Squidpop,13:59,14:55,Q,Oblada ,melanura,20,1,yes,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160729,Squidpop,13:59,14:55,PA,Diplodus,vulgaris,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160729,Squidpop,13:59,14:55,PA,Atherina,boyeri,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160729,Squidpop,13:59,14:55,PA,Mugil ,sp.,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160729,Squidpop,13:59,14:55,PA,Solea,sp.,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160729,Squidpop,13:59,14:55,PA,Diplodus,sargus,,,,
Mortola U1,Italy,43.0679,9.8324,Unveg,20160729,Squidpop,13:59,14:55,PA,Sparus,aurata,,,,
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161030,Squidpop,1510,1610,Q,Lagodon ,rhomboides,14,1,no,
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161030,Squidpop,1510,1610,PA,Lagodon ,rhomboides,11,0,no,
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161030,Squidpop,1510,1610,Q,Lagodon ,rhomboides,14,1,no,
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161030,Squidpop,1510,1610,PA,Lagodon ,rhomboides,10,0,no,
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161030,Squidpop,1510,1610,Q,Lagodon ,rhomboides,14,1,yes,
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161030,Squidpop,1510,1610,PA,Lagodon ,rhomboides,11,0,no,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160702,baitbag,700,800,PA,Pomatoschistus,marmoratus,,,,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160702,baitbag,700,800,PA,Mugil,cephalus,,,,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160702,baitbag,700,800,PA,Sparus,aurata,,,,"Within the first 60 minutes, Sparus aurata came by the baitbag (without intercation) 27 times and once, after 12 minutes, one individual stopped at and faced the bait without touching it, then after 78 minutes six (6) Sparus aurata all the sudden came to the bait bag and started to frequently strike the bait bag and removed half of the bait within 90 seconds until  I interrupted them by picking up the bait. There lengths were between 15 and 25 cm. "
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160702,baitbag,700,800,PA,Atherina,hepsetus,,,,
CR-B-SvetiDuh,Croatia,44.205867,"15, 472358",seagrass,20160702,baitbag,615,715,PA,Atherina,hepsetus,,,,
CR-B-SvetiDuh,Croatia,45.205867,"15, 472359",seagrass,20160702,baitbag,615,715,PA,Syngnathus,typhle,,,,
CR-B-SvetiDuh,Croatia,46.205867,"15, 472360",seagrass,20160702,baitbag,615,715,PA,Mugil,cephalus,,,,
CR-B-SvetiDuh,Croatia,47.205867,"15, 472361",seagrass,20160702,baitbag,615,715,PA,Symphodus,ocellatus,,,,
CR-B-SvetiDuh,Croatia,48.205867,"15, 472362",seagrass,20160702,baitbag,615,715,PA,Zosterisessor,ophiocephalus,,,,
CR-B-SvetiDuh,Croatia,49.205867,"15, 472363",seagrass,20160725,squidpop ,9:15,10:15,PA,Atherina,hepsetus,,,,
CR-B-SvetiDuh,Croatia,50.205867,"15, 472364",seagrass,20160725,squidpop ,9:15,10:15,PA,Mugil,cephalus,,,,
CR-B-SvetiDuh,Croatia,51.205867,"15, 472365",seagrass,20160725,squidpop ,9:15,10:15,PA,Salaria,pavo,,,,
CR-B-SvetiDuh,Croatia,52.205867,"15, 472366",seagrass,20160726,squidpop ,10:10,11:10,PA,Mugil,cephalus,,,,
CR-B-SvetiDuh,Croatia,53.205867,"15, 472367",seagrass,20160726,squidpop ,10:10,11:10,PA,Atherina,hepsetus,,,,
CR-B-SvetiDuh,Croatia,54.205867,"15, 472368",seagrass,20160726,squidpop ,10:10,11:10,PA,Sparus,aurata,5,,,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160725,squidpop ,9:50,10:50,PA,Pomatoschistus,marmoratus,,,,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160725,squidpop ,9:50,10:50,PA,Mugil,cephalus,,,,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160725,squidpop ,9:50,10:50,PA,Sparus,aurata,,,,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160726,squidpop ,9:30,10:30,PA,Mugil,cephalus,,,,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160726,squidpop ,9:30,10:30,PA,Pomatoschistus,marmoratus,,,,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160727,squidpop ,10:45,11:45,PA,Sparus,aurata,,,,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160727,squidpop ,10:45,11:45,PA,Atherina,hepsetus,,,,
CR-B-SvetiDuh,Croatia,44.203476,15.472744,Unveg,20160727,squidpop ,10:45,11:45,PA,Mugil,cephalus,,,,
CR-B-SvetiDuh,Croatia,54.205867,"15, 472368",seagrass,20160727,squidpop ,9:45,10:45,PA,Gobius,niger,,,,
CR-B-SvetiDuh,Croatia,54.205867,"15, 472368",seagrass,20160727,squidpop ,9:45,10:45,PA,Atherina,hepsetus,,,,
CR-B-SvetiDuh,Croatia,54.205867,"15, 472368",seagrass,20160727,squidpop ,9:45,10:45,PA,Zosterisessor,offiocephalus,,,,
CR-B-SvetiDuh,Croatia,54.205867,"15, 472368",seagrass,20160727,squidpop ,9:45,10:45,PA,Symphodus,ocellatus,,,,
CR-B-SvetiDuh,Croatia,54.205867,"15, 472368",seagrass,20160727,squidpop ,9:45,10:45,PA,Mugil,cephalus,,,,
CR-B-SvetiDuh,Croatia,54.205867,"15, 472368",seagrass,20160727,squidpop ,9:45,10:45,PA,Symphodus,cinereus,,,,
CR-B-SvetiDuh,Croatia,54.205867,"15, 472368",seagrass,20160727,squidpop ,9:45,10:45,PA,Diplodus,annularis,,,,
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,10:20:00,11:22:00,PA,Symphodus,tinca,,0,no,I counted 41 fish during the movie
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,10:20:00,11:22:00,PA,Sparus ,aurata,,0,no,I counted 17 fish during the movie
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,10:20:00,11:22:00,PA,Liza,sp,,0,no,
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,10:20:00,11:22:00,PA,Diplodus,sargus,,0,no,
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Seagrass,20160705,squidpop,10:40:00,11:44:00,PA,Symphodus,tinca,,0,no,
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,10:37:00,11:40:00,PA,Salaria,pavo,,0,no,GOPRO ERROR. ONLY 17 min recorded
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,10:37:00,11:40:00,PA,Sparus ,aurata,,0,no,Counted 11 individuals
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,10:37:00,11:40:00,PA,Symphodus,tinca,,0,no,
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Seagrass,20160705,squidpop,11:49:00,12:53:00,,,,,,,No FISH. ONLY 17 Minutes recorded
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,9:22:00,10:42:00,PA,Liza,aurata,,0,no,RECORDED AFTER 24h bcause of gopro troubles
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,9:22:00,10:42:00,PA,Athrina ,boyeri,,0,no,5 individuals
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,9:22:00,10:42:00,PA,Sparus ,aurata,22,1,no,
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,9:22:00,10:42:00,PA,Sparus ,aurata,,0,no,19 individuals
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,9:22:00,10:42:00,PA,Symphodus,tinca,,0,no,54 individuals
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Unveg,20160705,squidpop,9:22:00,10:42:00,PA,Diplodus,sargus,,0,no,
Bouzigues (Site A of ZEN),France,40.7127837,-74.0059413,Seagrass,20160705,squidpop,9:42:00,10:40:00,PA,Atherina,boyeri,,0,no,
Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,20161115,Baitbag,1000,1100,PA,Trichechus,manatus,na,0,n,Manatee sat on bait bag and broke it about half way in the video
Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,20161115,Baitbag,1000,1100,PA,Archosargus,probatocephalus,na,0,n,
Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,20161115,Baitbag,1000,1100,PA,Archosargus,probatocephalus,na,0,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,38,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,38,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,38,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,38,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,38,2,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,38,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,34,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,34,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,33,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,31,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,48,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,38,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,42,3,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,33,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,33,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,41,1,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,54,10,partial,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,41,2,n,
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,Baitbag,1030,1130,Q,Ariopsis,felis,38,1,n,
