CAP1,MDS1,family,dir,angle
-0.17858881678147345,0.33651000899704786,Cottidae,62.04471517323133,152.04471517323134
-0.00847038811657193,0.01557491726129088,Acropomatidae,61.460528446136166,151.46052844613615
-0.00847038811657193,0.01557491726129088,Lateolabracidae,61.460528446136166,151.46052844613615
-0.0748321180524638,0.12439612984533789,Gasterosteidae,58.97043781255563,148.97043781255564
-0.027769091568174736,0.04565257143464338,Phycidae,58.689103601331425,148.68910360133142
-0.006482573045748678,0.009821111064496868,Lysmatidae,56.57258912945523,146.57258912945522
-0.006482573045748678,0.009821111064496868,Rhinobatidae,56.57258912945523,146.57258912945522
-0.013335101293375362,0.019720295437852624,Trachinidae,55.9329687730275,145.93296877302748
-0.02794192189852838,0.03928511142257399,Salmonidae,54.577285684305004,144.577285684305
-0.17120897094147902,0.23583288537390829,Embiotocidae,54.021257826311846,144.02125782631185
