Country,meanLat,meanLong,calcite,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,damax,damean,damin,dissox,nitrate,parmax,parmean,ph,phos,phosphate,salinity,silicate,sstmax,sstmean,sstmin,sstrange,hemi,Site,basin,coast
USA (FL),27.536026,-80.348148,0.0071845,3.502999902,1.974000037,0.906000018,2.597000003,0.755500019,0.57100001,0.450000003,0.218000002,0.1655,0.116,4.707999945,0.3715,54.35000038,41.44499969,8.212500095,0.093449999,0.093449999,36.14500046,1.379999995,30.89949989,25.58099937,21.04950047,9.849999905,North,FL,Atlantic,West
USA (MA),42.420327,-70.915676,0.0060875,11.13399994,6.379750013,2.462250054,8.671750247,0.727749988,0.628250003,0.500499994,0.350249998,0.282500006,0.190000001,6.81524992,3.713500023,48.91224957,31.26824951,8.044000149,0.728375018,0.728375018,31.19649982,4.616750002,18.97324991,10.31599998,2.224999994,16.74825001,North,MA,Atlantic,West
USA (NC),34.69075,-76.62222,0.01353625,6.018750012,4.136500061,2.657499999,3.361249983,0.581249997,0.486749992,0.407749996,0.280500002,0.232749999,0.174000002,5.128000021,0.308749996,53.30600071,35.68824959,8.286499977,0.115625,0.115625,34.89050007,0.934750006,28.57875013,21.24549961,13.64949989,14.92925024,North,NC,Atlantic,West
USA (NC2),34.7004,-76.8335,0.00361075,3.448750019,2.314250022,1.226999968,2.221749991,0.596249998,0.488000005,0.404749997,0.212750003,0.177250002,0.136499999,5.158499956,0.306499995,53.0984993,36.3427496,8.288499832,0.116599999,0.116599999,34.91599941,0.938750014,28.11625004,21.05275011,13.30824995,14.80800009,North,NC2,Atlantic,West
USA (OR),43.315198,-124.3206435,0.0017885,9.641499996,3.813500047,1.447000027,8.194499969,0.75,0.655499995,0.532000005,0.275000006,0.196500003,0.145000003,6.4375,3.836500049,53.40000153,32.27399826,8.199500084,0.645900011,0.645900011,32.49150085,12.89050007,13.69950008,11.20349979,9.449500084,4.25,North,OR,Pacific,East
USA (TX),27.57701933,-97.20710267,0.010221,6.615666628,3.784166654,1.408333331,5.207333485,0.680666665,0.576833338,0.440000003,0.275333335,0.218499998,0.138666667,5.059666634,1.156833291,55.93516668,39.76116689,8.136666616,0.24658333,0.24658333,30.00566641,1.772833347,30.2846667,24.45699978,17.31166649,12.97299989,North,TX,Atlantic,West
USA (VA),37.215796,-76.392675,0.008717,23.53250027,15.49100018,10.4115001,13.12100005,0.584250003,0.504500017,0.43925,0.505500004,0.430249996,0.358749993,5.557250023,1.074500024,50.61050034,34.04049969,8.304500103,0.347599998,0.347599998,16.97624993,1.546999991,27.5222497,16.06725025,4.896000028,22.62624979,North,VA,Atlantic,West
USA (VA2),37.68397667,-75.866725,0.0087705,26.36050034,18.51350021,11.37900019,14.98150015,0.612000018,0.516499996,0.435000002,0.526500016,0.458999991,0.377000004,6.321500063,0.600999996,51.77750015,34.51650047,8.274499893,0.264299996,0.264299996,22.71449947,1.06249997,27.04249954,15.4375,4.012500048,23.03000069,North,VA2,Atlantic,West
USA (WA),47.34852222,-122.3248889,0.008843,7.943499804,7.766499996,7.587499857,0.355999947,0.859499991,0.686499983,0.500499994,0.332000002,0.329500005,0.327000007,6.079999924,10.61849976,55.2159996,33.15500069,7.834000111,2.265050054,2.265050054,28.80550003,33.89249992,16.12650013,10.95100021,7.053499937,9.072999954,North,WA,Pacific,East
USA (WA2),48.48532472,-123.07541,0.00098725,5.066249967,2.479000032,1.567000002,3.499249995,0.825750008,0.666750014,0.444999993,0.236000001,0.187250003,0.155999999,5.713750005,8.647750139,53.63775063,33.55924988,7.887500048,1.894674987,1.894674987,30.3067503,39.40999985,12.27125001,9.515500307,7.208250046,5.062999964,North,WA2,Pacific,East
Wales,52.9420175,-4.565145,0.0099378,4.875800037,3.31239996,2.375600028,2.500199986,0.785800004,0.735199976,0.653199995,0.257000005,0.218199995,0.188400003,6.331999969,8.952200317,46.29900055,30.44760017,8.207800293,0.628439999,0.628439999,34.28199921,4.819400024,16.38339996,11.68279991,7.638199997,8.745200157,North,Wales,Atlantic,East
