SPECIES_NAME,A,B
Hypoplectrodes nigroruber,0.0152,3.0063
Achoerodus gouldii,0.0134,2.939
Siphonognathus tanyourus,7e-4,3.498
Sardinops neopilchardus,0.0076,3.15
Siphamia cephalotes,0.0127,3.161
Meuschenia venusta,0.0556,2.877
Platycephalus bassensis,0.0102,2.95
Parapriacanthus elongatus,0.0078,3.127
Engraulis australis,0.0047,3.05
Gymnothorax prasinus,4e-4,3.254
Omegophora armilla,0.0294,2.82
Scobinichthys granulatus,0.0556,2.877
Stigmatopora nigra,2e-4,2.749
Urolophus gigas,0.0072,3.083
Thalassoma amblycephalum,0.0139,3
Chromis margaritifer,0.0315,2.916
Pseudanthias squamipinnis,0.0137,3.149
Suezichthys devisi,0.0134,2.939
Dasyatis thetidis,0.0203,3
Sillago ciliata,0.0028,3.396
Aptychotrema rostrata,0.0031,3
Halichoeres nebulosus,0.0095,3.131
Trachinocephalus myops,4e-4,3.972
Pentapodus vitta,0.0106,3.073
Scarus ghobban,0.0165,3.041
Threpterius maculosus,0.0058,3.18
Clinid spp.,0.0139,2.846
Trygonorrhina fasciata,0.0031,3
Hyporhamphus australis,0.0015,3.199
Scorpaena cardinalis,0.0155,3.298
Trachinops taeniatus,0.0097,2.964
Pelates sexlineatus,0.0134,2.958
Apogon limenus,0.009,3.46
Upeneichthys lineatus,0.0097,3.144
Schuettea scalaripinnis,0.0367,2.8947
Pempheris compressa,0.0119,3.026
Chelmonops truncatus,0.0278,2.973
Parma unifasciata,0.0179,3.126
Pomacentrus coelestis,0.037,2.63
Mecaenichthys immaculatus,0.0243,2.9586
Cheilodactylus fuscus,0.016,2.989
Achoerodus viridis,0.0134,2.939
Eupetrichthys angustipes,0.0134,2.939
Notolabrus gymnogenis,0.0047,3.227
Plagiotremus rhinorhynchos,0.0012,3.792
Prionurus microlepidotus,0.198,2.504
Acanthurus olivaceus,0.0384,3.055
Nelusetta ayraudi,0.0556,2.877
Meuschenia trachylepis,0.0556,2.877
Trachurus novaezelandiae,0.0478,2.77
Cnidoglanis macrocephalus,0.003,3.223
Aulopus purpurissatus,0.008342857,3.145571429
Orectolobus maculatus,0.0017,3.145
Naso unicornis,0.0179,3.035
Plagiotremus tapeinosoma,0.0057,2.908
Coris picta,0.0124,2.946
Rhabdosargus sarba,0.0179,2.973
Gerres subfasciatus,0.0168,3.0436
Chironemus marmoratus,0.0058,3.18
Scomber australasicus,0.005,3.247
Dicotylichthys punctulatus,0.254,2.38
Canthigaster callisterna,0.0323,2.953
Acanthistius ocellatus,0.0152,3.0063
Aspasmogaster costata,0.0088,3.059
Trygonoptera testacea,0.0072,3.083
Unidentified fish,0.014850099,3.048667987
Thyrsites atun,0.0048,3
Cochleoceps bicolor,0.0088,3.059
Urolophus sufflavus,0.0073,3.0415
Aspidontus taeniatus,0.0105,3.13
Sillaginodes punctatus,0.003,3.2
Pempheris spp.,0.0119,3.026
Foetorepus calauropomus,0.014,2.709
Cristiceps argyropleura,0.002,3.675
Centropyge bicolor,0.0492,2.795
Chrysiptera flavipinnis,0.0377,2.702
Aldrichetta forsteri,0.0151,2.87
Sphyraena obtusata,0.0257,2.588
Chromis westaustralis,0.0144,3.351
Petroscirtes lupus,0.0105,3.13
Torquigener squamicauda,0.0294,2.82
Chromis flavomaculata,0.0144,3.351
Brachaelurus waddi,0.0017,3.145
Acanthurus nigrofuscus,0.0089,3.278
Cirrhitichthys aprinus,0.0138,3.117
Macropharyngodon negrosensis,0.0134,2.939
Suezichthys arquatus,0.0134,2.939
Chaetodon auriga,0.0404,2.829
Chromis nitida,0.0258,2.943
Seriola hippos,0.0064,3.17
Parupeneus chrysopleuron,0.0192,3.022
Anampses caeruleopunctatus,0.0134,2.939
Stethojulis interrupta,0.011,3.06
Parapercis ramsayi,0.0068,3.157
Synodus jaculum,0.0067,3.201
Pseudocoris yamashiroi,0.0134,2.939
Gobiid spp.,0.013,2.882
Canthigaster valentini,0.0367,2.943
Carangoides orthogrammus,0.0156,3.026
Istigobius hoesei,0.0106,3.086
Heteroclinus spp.,0.0168,2.775
Acanthaluteres brownii,0.0556,2.877
Orectolobus ornatus,0.0017,3.145
Heraldia nocturna,2e-4,2.749
Parupeneus pleurostigma,0.0192,3.022
Squatina australis,0.004,3.16
Leptojulis cyanopleura,0.0134,2.939
Cheilodactylus vestitus,0.016,2.989
Notolabrus inscriptus,0.0047,3.227
Ptereleotris evides,0.0167,2.863
Parachaetodon ocellatus,0.0278,2.973
Chaetodon kleinii,0.0318,2.984
Aploactisoma milesii,0.0189375,3.0385
Trachichthys australis,0.0203,2.9807
Eubalichthys bucephalus,0.0556,2.877
Cristiceps aurantiacus,0.002,3.675
Paracaesio xanthura,0.0106,3.135
Eubalichthys mosaicus,0.0556,2.877
Myxus elongatus,0.0109,3.089
Anoplocapros inermis,0.101,2.588
Synodus variegatus,0.0026,3.431
Pempheris affinis,0.0119,3.026
Paraplesiops bleekeri,0.0097,2.964
Microcanthus strigatus,0.0526,2.818
Hypoplectrodes annulatus,0.0152,3.0063
Ostracion cubicus,0.101,2.588
Austrolabrus maculatus,0.0134,2.939
Zanclus cornutus,0.0147,3.37
Pseudolabrus luculentus,0.0134,2.939
Ptereleotris spp.,0.0167,2.863
Glyptauchen panduratus,0.0155,3.298
Labroides dimidiatus,0.0059,3.231
Pterocaesio digramma,0.0069,3.341
Maxillicosta scabriceps,0.0155,3.298
Othos dentex,0.0152,3.0063
Trachinops noarlungae,0.0097,2.964
Trachinops brauni,0.0097,2.964
Pelsartia humeralis,0.0134,2.958
Monodactylus argenteus,0.0303,2.964
Pempheris klunzingeri,0.0119,3.026
Dotalabrus alleni,0.0134,2.939
Neatypus obliquus,0.0526,2.818
Tilodon sexfasciatus,0.0135,3.03
Parma mccullochi,0.0179,3.126
Chromis klunzingeri,0.0315,2.916
Nemadactylus valenciennesi,0.0111,2.997
Coris auricularis,0.0124,2.946
Pseudolabrus biserialis,0.0134,2.939
Monacanthus chinensis,0.0704,2.447
Meuschenia galii,0.0556,2.877
Omegophora cyanopunctata,0.0294,2.82
Girella tephraeops,0.0163,3.022
Cheilodactylus rubrolabiatus,0.016,2.989
Anoplocapros lenticularis,0.101,2.588
Aplodactylus westralis,0.0053,3.207
Siphonognathus radiatus,0.0134,2.939
Chelmonops curiosus,0.0278,2.973
Schuettea woodwardi,0.0367,2.8947
Chironemus georgianus,0.0058,3.18
Pictilabrus viridis,0.0134,2.939
Paraplesiops meleagris,0.0097,2.964
Epinephelides armatus,0.0148,3.0187
Sillago schomburgkii,0.0028,3.396
Trygonoptera ovalis,0.0072,3.083
Centroberyx lineatus,0.0077,3.325
Seriola lalandi,0.0246,2.845
Anoplocapros amygdaloides,0.101,2.588
Caesioscorpis theagenes,0.0132,3.031
Pomatomus saltatrix,0.0136,2.899
Callanthias australis,0.0978,2.643
Notolabrus parilus,0.0047,3.227
Plectorhinchus flavomaculatus,0.0209,2.9474
Torquigener pleurogramma,0.0294,2.82
Scorpis georgiana,0.0076,3.136
Parma occidentalis,0.0179,3.126
Apogon victoriae,0.009,3.46
Kyphosus cornelii,0.0226,3.055
Siphonognathus spp.,0.0134,2.939
Orectolobus spp.,0.0017,3.145
Leviprora inops,0.0041,3.205
Platycephalid spp.,0.0041,3.205
Platycephalus speculator,0.0102,2.95
Scorpaenid spp.,0.0155,3.298
Thalassoma lunare,0.0211,2.832
Thalassoma lutescens,0.013,3.042
Glaucosoma hebraicum,0.0477,2.707
Anampses geographicus,0.0134,2.939
Suezichthys cyanolaemus,0.0134,2.939
Chaetodon assarius,0.0318,2.984
Choerodon rubescens,0.0145,3.125
Cirripectes spp.,0.0147,3.099
Pterois volitans,0.0155,3.298
Stegastes obreptus,0.0275,2.973
Pomacentrus milleri,0.037,2.63
Abudefduf vaigiensis,0.0249,3.11
Arothron hispidus,0.0634,2.756
Aspidontus dussumieri,0.0105,3.13
Chaetodon flavirostris,0.0251,3.113
Cleidopus gloriamaris,0.1284,2.558
Nesogobius pulchellus,0.013,2.882
Parma polylepis,0.0179,3.126
Pseudojuloides elongatus,0.0134,2.939
Ptereleotris microlepis,0.0167,2.863
Scarus chameleon,0.0186,3.0455
Suezichthys aylingi,0.0134,2.939
Anampses femininus,0.0134,2.939
Lactoria cornuta,0.0275,2.709
Amphichaetodon howensis,0.0278,2.973
Leptatherina presbyteroides,0.0075,2.975
Sarda australis,0.01169,3.03
Petroscirtes fallax,0.0105,3.13
Thalassoma hardwicke,0.0178,2.978
Ptereleotris heteroptera,0.016,3
Acanthistius pardalotus,0.0152,3.0063
Conger wilsoni,2e-4,3.41
Helcogramma decurrens,0.0064,3.09
Phycodurus eques,2e-4,2.749
Favonigobius lateralis,0.0152,3.18
Heniochus acuminatus,0.0271,3.061
Parapercis haackei,0.0068,3.157
Pempheris ornata,0.0119,3.026
Callionymid spp.,0.014,2.709
Labrid spp.,0.0134,2.939
Fistularia commersonii,6e-4,3
Stethojulis strigiventer,0.0191,2.876
Ptereleotris monoptera,0.0167,2.863
Mugil cephalus,0.0109,3.089
Chromis weberi,0.0144,3.351
Cirripectes hutchinsi,0.0147,3.099
Pelates octolineatus,0.0134,2.958
Urolophus spp.,0.0072,3.083
Blenniid spp.,0.0105,3.13
Gobiesocid spp.,0.0088,3.059
Tripterygiid spp.,0.0066,3.1255
Heteroclinus kuiteri,0.0168,2.775
Brachynectes fasciatus,0.0064,3.09
Stethojulis trilineata,0.0072,3.257
Pomacentrus chrysurus,0.0264,3.083
Caesio caerulaurea,0.02,2.991
Abudefduf sexfasciatus,0.0249,3.11
Stegastes gascoynei,0.0275,2.973
Aulostomus chinensis,2e-4,3.514
Urolophus kapalensis,0.0073,3.0415
Halichoeres margaritaceus,0.0095,3.131
Pomacentrus australis,0.037,2.63
Centroberyx gerrardi,0.0077,3.325
Paramonacanthus otisensis,0.0557,2.474
Carcharodon carcharias,0.0077,3.15
Decapterus muroadsi,0.01,3.015
Eubalichthys cyanoura,0.0556,2.877
Gymnothorax woodwardi,4e-4,3.324
Plotosus lineatus,0.008,2.95
Eviota bimaculata,0.013,2.882
Acanthistius serratus,0.0152,3.0063
Novaculichthys taeniourus,0.0134,2.939
Parascyllium spp.,0.0091,3
Abalistes stellatus,0.0603,2.692
Abudefduf bengalensis,0.0249,3.11
Abudefduf sordidus,0.0249,3.11
Acanthistius cinctus,0.0152,3.0063
Acanthurid spp.,0.0426,2.8683
Acanthurus blochii,0.0251,3.032
Acanthurus dussumieri,0.0426,2.8683
Acanthurus lineatus,0.0251,3.03
Acanthurus mata,0.027,2.945
Acanthurus triostegus,0.0213,3.081
Aetobatus narinari,8e-4,3.34
Aluterus scriptus,0.0022,3
Amblygobius phalaena,0.0184,2.834
Amphiprion clarkii,0.0316,2.93
Amphiprion ocellaris,0.0316,2.93
Amphiprion sandaracinos,0.0316,2.93
Anampses elegans,0.0134,2.939
Anampses meleagrides,0.0134,2.939
Anampses neoguinaicus,0.0134,2.939
Aplodactylus etheridgii,0.0053,3.207
Aplodactylus lophodon,0.0053,3.207
Apogon doederleini,0.009,3.46
Apogon semiornatus,0.011,3.24
Arothron manilensis,0.0469,2.704
Arothron stellatus,0.0947,2.664
Arripis trutta,0.0136,2.899
Arripis truttaceus,0.0136,2.899
Asymbolus vincenti,0.0027,3.0477
Atule mate,0.0166,2.949
Atypichthys latus,0.0526,2.818
Aulohalaelurus labiosus,0.0017,3.145
Balistapus undulatus,0.0281,2.875
Balistoides viridescens,0.0244,3.018
Bodianus axillaris,0.0446,2.76
Bodianus bilunulatus,0.0119,3.149
Bolbometopon muricatum,0.0134,2.939
Canthigaster coronata,0.0323,2.953
Caranx ignobilis,0.0164,3.059
Caranx sexfasciatus,0.0262,3.005
Carcharhinus galapagensis,0.0136,3
Carcharhinus melanopterus,3e-4,3.649
Carcharhinus obscurus,0.0324,2.786
Centropyge tibicen,0.0492,2.795
Cephalopholis argus,0.0093,3.181
Cephalopholis miniata,0.0107,3.114
Cephalopholis sonnerati,0.0145,3.058
Cetoscarus bicolor,0.0134,2.939
Chaetodon aureofasciatus,0.0318,2.984
Chaetodon citrinellus,0.0353,2.834
Chaetodon ephippium,0.0225,3.061
Chaetodon lineolatus,0.0693,2.622
Chaetodon lunula,0.0318,2.984
Chaetodon lunulatus,0.0318,2.984
Chaetodon melannotus,0.0267,3.049
Chaetodon mertensii,0.0042,3.808
Chaetodon meyeri,0.0318,2.984
Chaetodon pelewensis,0.0385,2.872
Chaetodon plebeius,0.0606,2.628
Chaetodon speculum,0.0664,2.693
Chaetodon tricinctus,0.0318,2.984
Chaetodon trifascialis,0.0468,2.758
Chaetodon trifasciatus,0.0311,2.976
Chaetodontoplus duboulayi,0.0344,2.968
Cheilinus chlorourus,0.0293,2.849
Cheilio inermis,0.004,3.01
Cheilodactylus ephippium,0.016,2.989
Cheilodactylus gibbosus,0.016,2.989
Cheilodactylus vittatus,0.016,2.989
Cheilodipterus quinquelineatus,0.0161,2.999
Chelmon marginalis,0.0091,3.208
Chlorurus sordidus,0.0243,2.969
Choerodon cyanodus,0.0145,3.125
Choerodon fasciatus,0.0145,3.125
Choerodon jordani,0.0145,3.125
Choerodon spp.,0.0145,3.125
Chromileptes altivelis,0.0962,2.4893
Chromis atripectoralis,0.0179,3.291
Chromis cyanea,0.022,3.001
Chromis viridis,0.0351,2.9
Chrysiptera notialis,0.0377,2.702
Cirrhilabrus temminckii,0.0134,2.939
Cirrhitichthys oxycephalus,0.0138,3.117
Cirripectes alboapicalis,0.0147,3.099
Cirripectes chelomatus,0.0147,3.099
Clupeid spp.,0.0093,3
Cochleoceps orientalis,0.0088,3.059
Coradion chrysozonus,0.0278,2.973
Coris aygula,0.0027,3.489
Coris bulbifrons,0.0124,2.946
Coris gaimard,0.0124,2.946
Coris pictoides,0.0124,2.946
Cyclichthys orbicularis,0.254,2.38
Cyprinocirrhites polyactis,0.0026,3.427
Dactylopus dactylopus,0.014,2.709
Dascyllus aruanus,0.0415,2.989
Dascyllus reticulatus,0.0311,3.133
Dascyllus trimaculatus,0.0313,3.043
Decapterus macarellus,0.0078,3.14
Dendrochirus brachypterus,0.0129,3.201
Dendrochirus zebra,0.0129,3.201
Diademichthys lineatus,0.0088,3.059
Diagramma labiosum,0.0144,2.988
Diodon holocanthus,0.0219,3
Diodon hystrix,0.532,2.276
Diodon liturosus,0.0219,3
Diploprion bifasciatum,0.0089,3.278
Echidna nebulosa,7e-4,3.218
Ecsenius bicolor,0.0239,2.583
Epibulus insidiator,0.0161,3.081
Epinephelus areolatus,0.0114,3.048
Epinephelus corallicola,0.0138,3.041
Epinephelus daemelii,0.0228,3.021
Epinephelus fasciatus,0.0138,3.041
Epinephelus spp.,0.0138,3.041
Eubalichthys caeruleoguttatus,0.0556,2.877
Eucrossorhinus dasypogon,0.0017,3.145
Fistularia petimba,3e-4,3.158
Forcipiger flavissimus,0.021,3
Girella cyanea,0.0163,3.022
Gnathanodon speciosus,0.0199,2.995
Gomphosus varius,0.0244,2.703
Grammistes sexlineatus,0.0222,2.884
Gymnapistes marmoratus,0.02445,3
Gymnothorax eurostus,4e-4,3.254
Gymnothorax favagineus,4e-4,3.254
Gymnothorax flavimarginatus,4e-4,3.35
Gymnothorax undulatus,0.0016,3
Halichoeres brownfieldi,0.0095,3.131
Halichoeres chrysus,0.0095,3.131
Halichoeres hortulanus,0.0119,3.064
Halichoeres marginatus,0.0053,3.414
Halichoeres trimaculatus,0.0275,2.736
Hemigymnus fasciatus,0.0242,2.923
Hemigymnus melapterus,0.0242,2.923
Heniochus diphreutes,0.022,3.125
Hippocampus angustus,0.004,2.949
Hyperlophus vittatus,0.0124,3.005
Hypoplectrodes wilsoni,0.0152,3.0063
Kyphosus bigibbus,0.0256626,3.055
Kyphosus cinerascens,0.02,3.037
Kyphosus vaigiensis,0.02,3.037
Labracinus lineatus,0.0167,2.863
Labrichthys unilineatus,0.0134,2.939
Labroides bicolor,0.0059,3.231
Lactoria diaphana,0.0275,2.709
Lactoria fornasini,0.0275,2.709
Lethrinus atkinsoni,0.0178,3.057
Lethrinus microdon,0.0294,2.851
Lethrinus miniatus,0.0066,3.277
Lethrinus nebulosus,0.0187,2.996
Lethrinus variegatus,0.0179,2.995
Lutjanus carponotatus,0.0211,2.974
Lutjanus fulviflamma,0.0205,2.96
Lutjanus kasmira,0.0084,3.247
Lutjanus quinquelineatus,0.0146,3.1
Lutjanus sebae,0.0092,3.208
Lutjanus vitta,0.0125,3.075
Macropharyngodon meleagris,0.0134,2.939
Macropharyngodon ornatus,0.0134,2.939
Malacanthus brevirostris,0.0206,2.692
Meiacanthus grammistes,0.0105,3.13
Melichthys niger,0.0281,2.875
Melichthys vidua,0.0281,2.875
Meuschenia spp.,0.0556,2.877
Monotaxis grandoculis,0.023,3.022
Myripristis kuntee,0.0099,3.468
Myripristis murdjan,0.0193,3.034
Naso brevirostris,0.0107,3.243
Nemadactylus douglasii,0.0111,2.997
Neoglyphidodon melas,0.0178,3.182
Neoglyphidodon nigroris,0.0178,3.182
Neoglyphidodon polyacanthus,0.0254,3.054
Neoniphon sammara,0.0049,3.379
Omobranchus spp.,0.0105,3.13
Ophiclinus gracilis,0.0139,2.846
Ophiclinus ningulus,0.0139,2.846
Apogon flavus,0.017,2.95
Apogon norfolcensis,0.0102,3.277
Ostracion meleagris,0.101,2.588
Oxymonacanthus longirostris,0.0256,2.7
Pagrus auratus,0.0199,3
Paracirrhites arcatus,0.0138,3.117
Paracirrhites forsteri,0.0138,3.117
Parapercis clathrata,0.0068,3.157
Parapercis multiplicata,0.0068,3.157
Parma bicolor,0.0179,3.126
Parupeneus barberinoides,0.0192,3.022
Parupeneus ciliatus,0.0122,3.188
Parupeneus cyclostomus,0.0114,3.211
Parupeneus indicus,0.0142,3.114
Parupeneus multifasciatus,0.0114,3.211
Parupeneus spilurus,0.0192,3.022
Pastinachus sephen,0.0739,2.81
Pelates quadrilineatus,0.0134,2.958
Pempheris analis,0.0119,3.026
Pempheris schwenkii,0.0119,3.026
Petroscirtes mitratus,0.0105,3.13
Petroscirtes spp.,0.0105,3.13
Platax batavianus,0.0425,2.975
Platax orbicularis,0.0425,2.975
Platax pinnatus,0.0425,2.975
Platax teira,0.0425,2.975
Plectorhinchus chaetodonoides,0.0173,3.04
Plectorhinchus gibbosus,0.0396,2.761
Plectorhinchus picus,0.0115,3.089
Plectorhinchus polytaenia,0.0173,3.04
Plectroglyphidodon dickii,0.0612,2.635
Plectroglyphidodon johnstonianus,0.0612,2.635
Plectroglyphidodon lacrymatus,0.0612,2.635
Plectropomus leopardus,0.0118,3.06
Plectropomus maculatus,0.0148,3.0187
Pomacanthus imperator,0.0344,2.968
Pomacanthus semicirculatus,0.0344,2.968
Pomacentrid spp.,0.037,2.63
Pomacentrus moluccensis,0.0703,2.646
Priacanthus hamrur,0.03,2.801
Priolepis cincta,0.024,2.719
Prionurus maculatus,0.198,2.504
Pseudanthias rubrizonatus,0.0137,3.149
Pseudobalistes fuscus,0.0726,2.76
Pseudocheilinus hexataenia,0.0134,2.939
Rhabdamia gracilis,0.0072,3.371
Rhinecanthus aculeatus,0.0281,2.875
Rhinecanthus rectangulus,0.0281,2.875
Rhycherus filamentosus,0.0189375,3.0385
Salarias fasciatus,0.0138,2.98
Sargocentron diadema,0.0251,2.955
Sargocentron rubrum,0.188,2.294
Saurida gracilis,0.0062,3.178
Scarus dimidiatus,0.0186,3.0455
Scarus frenatus,0.032,3.06
Scarus longipinnis,0.0186,3.0455
Scarus rivulatus,0.0175,3.074
Scarus spp.,0.0186,3.0455
Scolopsis bilineata,0.0138,3.174
Scorpaena cookii,0.0155,3.298
Scorpaena sumptuosa,0.0155,3.298
Siganus lineatus,0.0219,2.998
Siganus punctatus,0.0095,3.276
Siganus spinus,0.015,3.093
Siganus virgatus,0.0104,3.272
Spratelloides robustus,0.0093,3
Stegastes apicalis,0.0275,2.973
Stegastes fasciolatus,0.0275,2.973
Stethojulis bandanensis,0.0304,2.581
Symphorus nematophorus,0.0303,2.874
Synodus dermatogenys,0.0067,3.201
Taeniura meyeni,0.0848,2.72
Terapon jarbua,0.0132,3.131
Thalassoma purpureum,0.0139,3
Thamnaconus analis,0.0556,2.877
Trachypoma macracanthus,0.0148,3.0187
Triaenodon obesus,0.0015,3.382
Trinorfolkia cristata,0.0064,3.09
Trygonoptera mucosa,0.0072,3.083
Trygonoptera personata,0.0072,3.083
Tylosurus crocodilus,6e-4,3.285
Upeneus tragula,0.0137,3.068
Urolophus orarius,0.0072,3.083
Valenciennea longipinnis,0.0054,3.136
Valenciennea puellaris,0.0087,3
Variola louti,0.0122,3.079
Zebrasoma scopas,0.0291,2.993
Zebrasoma velifer,0.0343,2.866
Zeus faber,0.0548,2.517
Trygonoptera spp.,0.0072,3.083
Monacanthid spp.,0.0256,2.7
Centropogon australis,0.0155,3.298
Amphiprion akindynos,0.0316,2.93
Enneapterygius atrogulare,0.0064,3.09
Chaetodon spp.,0.0318,2.984
Bodianus unimaculatus,0.0119,3.149
Hypoplectrodes sp. [Lord Howe],0.0132,3.031
Notoclinops segmentatus,0.0041,3.246
Decapterus koheru,0.01,3.015
Forsterygion flavonigrum,0.0041,3.229
Pempheris adspersa,0.0078,3.127
Caprodon longimanus,0.0132,3.031
Gymnothorax nubilus,4e-4,3.254
Parma alboscapularis,0.0179,3.126
Pseudolabrus miles,0.0134,2.939
Ruanoho whero,0.0064,3.09
Notolabrus celidotus,0.0047,3.227
Notoclinops yaldwyni,0.0056,3.179
Trinorfolkia clarkei,0.0064,3.09
Pseudocaranx georgianus,0.0135,3.064
Acanthurus bariene,0.0251,3.032
Acanthurus leucocheilus,0.0251,3.032
Acanthurus nigricans,0.0089,3.278
Acanthurus pyroferus,0.0384,3.055
Apolemichthys trimaculatus,0.0344,2.968
Bodianus diana,0.0119,3.149
Bryaninops yongei,0.013,2.882
Cephalopholis cyanostigma,0.0145,3.058
Chaetodon baronessa,0.0318,2.984
Chaetodon vagabundus,0.0278,2.973
Chromis analis,0.0144,3.351
Cirrhitichthys falco,0.0172,2.977
Ctenochaetus binotatus,0.0392,2.875
Ctenochaetus striatus,0.0231,3.063
Dascyllus carneus,0.0311,3.133
Fusigobius sp.,0.0087,3.11
Gorgasia barnesi,2e-4,3.41
Halichoeres prosopeion,0.0095,3.131
Heniochus varius,0.022,3.125
Lutjanus fulvus,0.0211,2.974
Lutjanus gibbus,0.0131,3.138
Macolor macularis,0.0195,2.91
Naso lituratus,0.0107,3.243
Odonus niger,0.0281,2.875
Parapercis millepunctata,0.0068,3.157
Parapercis tetracantha,0.0068,3.157
Plectorhinchus vittatus,0.0173,3.04
Pomacentrus amboinensis,0.123,2.302
Pomacentrus auriventris,0.0439,2.824
Pomacentrus nigromanus,0.0215,3.21
Premnas biaculeatus,0.0537,2.886
Scarus rubroviolaceus,0.0186,3.0455
Scarus tricolor,0.0186,3.0455
Scolopsis affinis,0.0185,2.981
Coris dorsomacula,0.0124,2.946
Amphiprion latezonatus,0.0316,2.93
Apogonid spp.,0.009,3.46
Cheilodipterus macrodon,0.0041,3.577
Arripis georgianus,0.0136,2.899
Petroscirtes breviceps,0.0105,3.13
Pseudocaranx wrighti,0.0271,2.886
Scomberoides commersonnianus,0.0295,2.809
Trachinotus baillonii,0.022,2.73
Trachinotus blochii,0.088,2.572
Chaetodon adiergastos,0.0318,2.984
Chaetodon guentheri,0.0318,2.984
Chaetodon rafflesii,0.0318,2.984
Notocirrhitus splendens,0.0138,3.117
Heteroclinus whiteleggii,0.0168,2.775
Gnathanacanthus goetzeei,0.0189375,3.0385
Cochleoceps spp.,0.0088,3.059
Eviota spp.,0.013,2.882
Nesogobius hinsbyi,0.013,2.882
Tasmanogobius spp.,0.0087,3.11
Valenciennea strigata,0.0054,3.136
Bodianus perditio,0.0119,3.149
Novaculoides macrolepidotus,0.013,2.91
Oxycheilinus bimaculatus,0.02,2.83
Thalassoma jansenii,0.0139,3
Bodianus frenchii,0.0119,3.149
Coris sandeyeri,0.0124,2.946
Halichoeres hartzfeldii,0.0095,3.131
Ophthalmolepis lineolatus,0.0134,2.939
Pseudolabrus guentheri,0.0134,2.939
