Country,Site.Name,sciName,totalCount,family,feeding,trophic,waterColumn,diel,habitatRLS,eat.squid,phylum,method
Australia (VIC),Edwards Point,Acanthaluteres spilomelanurus,4,Monacanthidae,variable,Omnivore,Demersal,Day,sand,0,Chordata,seine
Australia (VIC),Indented Head,Acanthaluteres spilomelanurus,3,Monacanthidae,variable,Omnivore,Demersal,Day,sand,0,Chordata,seine
Australia (VIC),St. Leonards,Acanthaluteres spilomelanurus,2,Monacanthidae,variable,Omnivore,Demersal,Day,sand,0,Chordata,seine
Mexico (ICML),NA,Aluterus scriptus,1,Monacanthidae,NA,NA,NA,NA,NA,0,Chordata,video
Australia (NSW2),Urunga Lagoon 1,Meuschenia trachylepis,3,Monacanthidae,grazing on aquatic plants,benthic herbivore,demersal,night,"rock, seagrass",0,Chordata,seine
Australia (QLD2),Noosa river,Monacanthus chinensis,8,Monacanthidae,grazing on aquatic plants,browsing herbivore,Benthic,day,Seagrass,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Monacanthus chinensis,48,Monacanthidae,grazing on aquatic plants,NA,NA,NA,NA,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Monacanthus chinensis,48,Monacanthidae,grazing on aquatic plants,Browsing herbivore,Demersal,Day,seagrass,0,Chordata,seine
Korea,Koje-Korea,Rudarius ercodes,19,Monacanthidae,hunting macrofauna (predator),Benthic invertivore,pelagic site attached,NA,"rock, sand, seagrass",0,Chordata,seine
USA (NC),NC,Stephanolepis hispidus,7,Monacanthidae,grazing on aquatic plants,Benthic invertivore,demersal,,"sand, seagrass",0,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Monodactylus argenteus,10,Monodactylidae,variable,planktivore,pelagic site attached,day,water column,1,Chordata,seine
Australia (QLD2),Noosa river,Monodactylus argenteus,2,Monodactylidae,variable,planktivore,demersal,day,water column,1,Chordata,seine
Croatia,CR-B-SvetiDuh,Dicentrarchus labrax,2,Moronidae,hunting macrofauna (predator),Higher carnivore including piscivory,demersal,day,"rock, sand, seagrass",1,Chordata,seine
Wales,NA,Dicentrarchus labrax,1,Moronidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Aldrichetta forsteri,1,Mugilidae,variable,omnivore,demersal,day,"seagrass, sand",0,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Liza argentea,3,Mugilidae,variable,omnivore,demersal,day,"seagrass, sand",0,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Liza argentea,48,Mugilidae,variable,omnivore,demersal,day,"sand, seagrass",0,Chordata,seine
Australia (NSW2),Urunga Lagoon 2,Liza argentea,1,Mugilidae,browsing on substrate,Scraping herbivore,demersal,night,"seagrass, sand",0,Chordata,seine
France,Bouzigues,Liza aurata,17,Mugilidae,variable,Omnivore,benthic,,,0,Chordata,seine
France,NA,Liza aurata,1,Mugilidae,variable,NA,NA,NA,NA,0,Chordata,seine
France,NA,Liza sp,1,Mugilidae,NA,NA,NA,NA,NA,0,Chordata,seine
France,Bouzigues,Liza sp.,1,Mugilidae,browsing on substrate,Omnivore,benthic,,,0,Chordata,seine
Australia (QLD2),Noosa river,Mugil cephalus,2,Mugilidae,variable,omnivore,demersal,day,water column,0,Chordata,seine
Croatia,CR-B-SvetiDuh,Mugil cephalus,12,Mugilidae,browsing on substrate (detritus),Omnivore mainly detritus,pelagic non-site attached AND demersal,day,water column,0,Chordata,seine
Chile,NA,Mugil cephalus,5,Mugilidae,variable,NA,NA,NA,NA,0,Chordata,seine
Croatia,NA,Mugil cephalus,8,Mugilidae,variable,NA,NA,NA,NA,0,Chordata,seine
USA (FL),NA,Mugil cephalus,169,Mugilidae,variable,omnivore,benthic,NA,NA,0,Chordata,video
USA (TX),Oso Bay,Mugil curema,4,Mugilidae,grazing on aquatic plants,NA,NA,NA,NA,0,Chordata,seine
USA (FL),NA,Mugil curema,8,Mugilidae,variable,omnivore,benthic,NA,NA,0,Chordata,video
Italy,NA,Mugil sp.,2,Mugilidae,NA,NA,NA,NA,NA,0,Chordata,video
Croatia,CR-B-SvetiDuh,Mullus barbatus,10,Mullidae,hunting macrofauna (predator),Benthic invertivore,demersal,day,"sand, rock",1,Chordata,seine
Italy,NA,Mullus surmuletus,1,Mullidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Australia (QLD2),NA,Parupeneus indicus,13,Mullidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,sand,1,Chordata,seine
Australia (QLD),Bowen,Upeneus tragula,3,Mullidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,"sand, seagrass, rock, coral",1,Chordata,seine
Australia (QLD3),Moreton_Bay,Upeneus tragula,2,Mullidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Upeneus tragula,2,Mullidae,hunting macrofauna (predator),Benthic invertivore,benthic,Night,sand,1,Chordata,seine
Italy,NA,Muraena helena,1,Muraenidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Australia (QLD2),NA,Scolopsis lineata,11,Nemipteridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Scolopsis sp.,136,Nemipteridae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Scolopsis trilineata,1,Nemipteridae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (WA2),False Bay,Hypomesus pretiosus,1,Osmeridae,hunting macrofauna (predator),Omnivore,"Pelagic, benthic",Night,sand,0,Chordata,seine
Mexico (ICML2),NA,Lactophris trigonus,1,Ostraciidae,NA,NA,NA,NA,NA,1,Chordata,video
Mexico (ICML),NA,Lactophrys trigonus,4,Ostraciidae,variable,NA,NA,NA,NA,1,Chordata,video
Mexico (ICML2),NA,Lactophrys trigonus,2,Ostraciidae,variable,NA,NA,NA,NA,1,Chordata,video
Korea,Koje-Korea,Lactoria cornuta,2,Ostraciidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,rock,1,Chordata,seine
Mexico (ICML2),NA,Lactrophrys trigonus,2,Ostraciidae,NA,NA,NA,NA,NA,1,Chordata,video
Chile,Puerto Aldea (Chile),Ovalipes trimaculatus,1,Ovalipidae,hunting macrofauna (predator),benthic invertivore,benthic,Day & Night,sand,1,Arthropoda,seine
Chile,Puerto Aldea (Chile),Pagurus perlatus,20,Paguridae,variable,omnivore,benthic,Day & Night,sand,0,Arthropoda,seine
Croatia,CR-B-SvetiDuh,Palaemon elegans,57,Palaemonidae,variable,omnivore,benthic,,,1,Arthropoda,seine
Wales,"Porthdinllaen, UK",Palaemon serratus,207,Palaemonidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Wales,NA,Palaemon serratus,4,Palaemonidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Australia (QLD3),Moreton_Bay,Palaemon serrifer,25,Palaemonidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Australia (QLD3),Moreton_Bay,Palaemon serrifer,25,Palaemonidae,browsing on substrate,Scraping herbivore,benthic,Night,seagrass/sand,1,Arthropoda,seine
Australia (NSW2),Urunga Lagoon 1,Palaemon sp.,1363,Palaemonidae,browsing on substrate,Scraping herbivore,demersal,night,"seagrass, sand",1,Arthropoda,seine
Australia (NSW2),Urunga Lagoon 2,Palaemon sp.,6,Palaemonidae,browsing on substrate,scraping herbivore,demersal,night,seagrass,1,Arthropoda,seine
France,Bouzigues,Palaemon spp,36,Palaemonidae,selective plankton feeding,Omnivore,benthic,,,1,Arthropoda,seine
USA (DE),"UD Lewes, DE",Palaemonetes pugio,26,Palaemonidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (TX),Aransas Pass,Palaemonetes spp.,220,Palaemonidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (TX),Laguna Madre,Palaemonetes spp.,5,Palaemonidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (TX),Oso Bay,Palaemonetes spp.,2002,Palaemonidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (TX),Laguna Madre,Eurypanopeus turgidus,3,Panopeidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Canada (BC),Choked Pocket,Citharichthys sordidus,31,Paralichthyidae,hunting macrofauna (predator),Higher carnivore,Benthic,,sand,0,Chordata,seine
Canada (BC),Choked Sandspit,Citharichthys sordidus,2,Paralichthyidae,hunting macrofauna (predator),Higher carnivore,Benthic,,sand,0,Chordata,seine
USA (WA),Redondo S-6,Citharichthys stigmaeus,1,Paralichthyidae,hunting macrofauna (predator),Benthic invertivore,demersal,Night,sand,0,Chordata,seine
Brazil,Praia do Engenho,Etropus longimanus,2,Paralichthyidae,hunting macrofauna (predator),"Carnivore (zoobenthivore, mostly polychaetes)",Benthic,-- No information --,sand,0,Chordata,seine
USA (TX),Oso Bay,Paralichthys albigutta,1,Paralichthyidae,NA,NA,NA,NA,NA,0,Chordata,seine
USA (CA),San Diego,Paralichthys californicus,6,Paralichthyidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Chile,Puerto Aldea (Chile),Paralichthys microps,3,Paralichthyidae,hunting macrofauna (predator),benthic invertivore,benthic,Day & Night,sand,0,Chordata,seine
Chile,Puerto Aldea (Chile),Paralichthys sp.,6,Paralichthyidae,hunting macrofauna (predator),benthic invertivore,benthic,Day & Night,sand,0,Chordata,seine
Australia (NSW2),Urunga Lagoon 2,Pseudorhombus arsius,1,Paralichthyidae,hunting macrofauna (predator),higher carnivore,benthic,day,sand,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Pseudorhombus arsius,1,Paralichthyidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Pseudorhombus arsius,1,Paralichthyidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,sand,0,Chordata,seine
Australia (QLD2),NA,Pseudorhombus sp.,1,Paralichthyidae,NA,NA,NA,NA,NA,0,Chordata,seine
USA (NC),NC,Farfantepenaeus aztecus,42,Penaeidae,variable,omnivore,benthic,night,"seagrass, sand",1,Arthropoda,seine
Mexico (BN),Punta Banda Estuary,Farfantepenaeus californiensis,1,Penaeidae,Variable,Omnivore,Benthic,Night,Sand,1,Arthropoda,seine
USA (TX),Aransas Pass,Farfantepenaeus spp.,182,Penaeidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (TX),Laguna Madre,Farfantepenaeus spp.,41,Penaeidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (TX),Oso Bay,Farfantepenaeus spp.,100,Penaeidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (TX),Oso Bay,Farfantepenaus spp.,100,Penaeidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (CA),San Diego,Penaeus californicus,6,Penaeidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Australia (QLD3),Moreton_Bay,Penaeus esculentus,8,Penaeidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Australia (QLD3),Moreton_Bay,Penaeus esculentus,8,Penaeidae,browsing on substrate,Scraping herbivore,benthic,Night,seagrass/sand,1,Arthropoda,seine
Canada (BC),Choked Pocket,Apodichthys flavidus,10,Pholidae,hunting macrofauna (predator),Benthic invertivore,Benthopelagic,,"sand, rock",0,Chordata,seine
USA (WA2),False Bay,Apodichthys flavidus,21,Pholidae,hunting macrofauna (predator),Omnivore,Demersal,"Day, night","rock, sand",0,Chordata,seine
Korea,Koje-Korea,Pholis fangi,7,Pholidae,NA,NA,Demersal,NA,"sand, seagrass",0,Chordata,seine
Norway,NN_Juvika,Pholis gunnellus,1,Pholidae,hunting macrofauna (predator),Benthic invertivore,benthic,,"rock, vegetation",0,Chordata,seine
USA (AK),Sunshine Cove,Pholis laeta,4,Pholidae,hunting macrofauna (predator),invertivore,benthic,,"vegitated, rocky, sand",0,Chordata,seine
USA (WA2),False Bay,Pholis laeta,37,Pholidae,hunting macrofauna (predator),Omnivore,Demersal,Night,"rock, sand",0,Chordata,seine
USA (WA),Redondo S-6,Pholis ornata,3,Pholidae,hunting macrofauna (predator),,,,,0,Chordata,seine
USA (WA2),False Bay,Pholis ornata,17,Pholidae,hunting macrofauna (predator),Omnivore,Demersal,Night,sand,0,Chordata,seine
USA (WA),Redondo N2,Pholis sp.,1,Pholidae,,,,,,0,Chordata,seine
USA (MA),Dorothy Cove,Urophycis regia,2,Phycidae,hunting macrofauna (predator),Benthic invertivore,benthic,,rock,1,Chordata,seine
Australia (QLD),Bowen,Platycephalidae sp.,1,Platycephalidae,hunting macrofauna (predator),Higher carnivore,Demersal,Day,"sand, seagrass",0,Chordata,seine
Australia (VIC),Indented Head,Platycephalus aurimaculatus,1,Platycephalidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,sand,0,Chordata,seine
Australia (VIC),St. Leonards,Platycephalus aurimaculatus,1,Platycephalidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,sand,0,Chordata,seine
Australia (QLD2),Hervey Bay,Platycephalus fuscus,1,Platycephalidae,hunting macrofauna (predator),benthic invertivore,benthic,night,sand,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Platycephalus fuscus,1,Platycephalidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Platycephalus fuscus,1,Platycephalidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,sand,0,Chordata,seine
USA (AK),Sunshine Cove,Lepidopsetta sp.,22,Pleuronectidae,,,benthic,,"vegitated, rocky, sand",0,Chordata,seine
USA (AK),Sunshine Cove,Limanda aspera,5,Pleuronectidae,hunting macrofauna (predator),,,,vegitated,0,Chordata,seine
Wales,"Porthdinllaen, UK",Limanda limanda,2,Pleuronectidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Canada (BC),Choked Pocket,Parophrys vetulus,7,Pleuronectidae,hunting macrofauna (predator),Higher carnivore,Benthic,,"sand, seagrass",0,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Parophrys vetulus,9,Pleuronectidae,hunting macrofauna (predator),,,,,0,Chordata,seine
USA (WA2),False Bay,Parophrys vetulus,1,Pleuronectidae,hunting macrofauna (predator),Omnivore,Benthic,Day,sand,0,Chordata,seine
USA (WA2),False Bay,Parophrys vetulus,21,Pleuronectidae,hunting macrofauna (predator),Omnivore,Demersal,Day,sand,0,Chordata,seine
USA (AK),Sunshine Cove,Platichthys stellatus,1,Pleuronectidae,hunting macrofauna (predator),invertivore,benthic,,"vegitated, sand",0,Chordata,seine
USA (CA),San Diego,Platichthys stellatus,8,Pleuronectidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Wales,"Porthdinllaen, UK",Pleuronectes platessa,11,Pleuronectidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Norway,NA,Pleuronectes platessa,3,Pleuronectidae,NA,NA,NA,NA,NA,0,Chordata,seine
Norway,NN_Juvika,Pleuronectes platessa,25,Pleuronectidae,hunting macrofauna (predator),Benthic invertivore,benthic,Night,sand,0,Chordata,seine
Norway,NA,Pleuronectiformes,1,Pleuronectidae,NA,NA,NA,NA,NA,0,Chordata,seine
Wales,NA,Pleuronectinae,1,Pleuronectidae,NA,NA,NA,NA,NA,0,Chordata,seine
Canada (BC),Choked Sandspit,Psettichthys melanostictus,18,Pleuronectidae,hunting macrofauna (predator),Higher carnivore,Benthic,,sand,0,Chordata,seine
USA (MA),Dorothy Cove,Pseudopleuronectes americanus,5,Pleuronectidae,hunting macrofauna (predator),Benthic invertivore,benthic,day,sand,0,Chordata,seine
Mexico (ICML),NA,Abudefduf saxatilis,1,Pomacentridae,variable,NA,NA,NA,NA,1,Chordata,video
Italy,NA,Chromis chromis,3,Pomacentridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
USA (NC),NC,Arenaeus cribrarius,3,Portunidae,variable,omnivore,benthic,night,sand,1,Arthropoda,seine
Mexico (BN),Punta Banda Estuary,Callinectes arcuatus,3,Portunidae,Hunting macrofauna (predator),Benthic invertivore,Benthic,Night,Sand,1,Arthropoda,seine
Mexico (BN),Punta Banda Estuary,Callinectes arcuatus,17,Portunidae,Hunting macrofauna (predator),Benthic invertivore,Benthic,Night,Sand,1,Arthropoda,seine
Brazil,Praia do Barreiro,Callinectes danae,1,Portunidae,hunting macrofauna (predator),Carnivore,"Benthic, occasionally pelagic",Night,sand / mud; frequently estuarine,1,Arthropoda,seine
Brazil,Praia do Barreiro,Callinectes ornatus,5,Portunidae,hunting macrofauna (predator),Carnivore,"Benthic, occasionally pelagic",Night,sand / mud; rarely estuarine,1,Arthropoda,seine
Brazil,Praia do Engenho,Callinectes ornatus,14,Portunidae,hunting macrofauna (predator),Carnivore,"Benthic, occasionally pelagic",Night,sand / mud; rarely estuarine,1,Arthropoda,seine
USA (DE),"UD Lewes, DE",Callinectes sapidus,3,Portunidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (TX),Aransas Pass,Callinectes sapidus,12,Portunidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (TX),Laguna Madre,Callinectes sapidus,2,Portunidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (TX),Oso Bay,Callinectes sapidus,139,Portunidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (VA),Goodwin Island,Callinectes sapidus,2,Portunidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (NC),NC,Callinectes sapidus,25,Portunidae,variable,omnivore,benthic,"day, night","sand, seagrass, rock ",1,Arthropoda,seine
USA (VA2),,Callinectes sapidus,46,Portunidae,,,,,,1,Arthropoda,seine
Australia (VIC),Edwards Point,Carcinus maenas,31,Cancridae,hunting macrofauna (predator),benthic invertivore,Demersal,Night & Day,"sand, mud, burrowing",1,Arthropoda,seine
Australia (VIC),Indented Head,Carcinus maenas,3,Cancridae,hunting macrofauna (predator),benthic invertivore,Demersal,Night & Day,"sand, mud, burrowing",1,Arthropoda,seine
Australia (VIC),St. Leonards,Carcinus maenas,8,Cancridae,hunting macrofauna (predator),benthic invertivore,Demersal,Night & Day,"sand, mud, burrowing",1,Arthropoda,seine
Norway,NN_Juvika,Carcinus maenas,1,Cancridae,hunting macrofauna (predator),Benthic invertivore,benthic,Night,sand,1,Arthropoda,seine
USA (CA),San Diego,Portunus xantusii,39,Portunidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Australia (QLD2),Noosa river,Scylla serrata,2,Portunidae,hunting macrofauna (predator),Benthic invertivore,benthic,day,sand,1,Arthropoda,seine
Croatia,CR-B-SvetiDuh,Processa canaliculata,12,Processidae,variable,omnivore,benthic,,,0,Arthropoda,seine
Australia (NSW2),Urunga Lagoon 1,Pseudomugil signifer,2,Pseudomugilidae,hunting macrofauna (predator),benthic invertivore,demersal,day,"coral, rock, seagrass, sand",0,Chordata,seine
USA (CA),San Diego,Rhinobatos productus,1,Rhinobatidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Australia (VIC),Edwards Point,Rhombosolea tapirina,3,Rhombosoleidae,hunting macrofauna (predator),Benthic invertivore,benthic,Night,sand,0,NA,seine
Australia (VIC),St. Leonards,Rhombosolea tapirina,1,Rhombosoleidae,hunting macrofauna (predator),Benthic invertivore,benthic,Night,sand,0,NA,seine
Canada (QC),QC_Baie St-Ludger,Mallotus villosus,167,Salangidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Oncorhynchus tshawytscha,2,Salmonidae,hunting macrofauna (predator),,,,,1,Chordata,seine
Norway,NA,Salmo trutta trutta,1,Salmonidae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (NC),NC,Bairdiella chrysoura,1,Sciaenidae,variable,benthic invertivore,demersal,"day, night","sand, seagrass",1,Chordata,seine
USA (TX),Aransas Pass,Bairdiella chrysoura,20,Sciaenidae,variable,NA,NA,NA,NA,1,Chordata,seine
USA (TX),Laguna Madre,Bairdiella chrysoura,7,Sciaenidae,variable,NA,NA,NA,NA,1,Chordata,seine
USA (VA),Goodwin Island,Bairdiella chrysoura,3,Sciaenidae,variable,NA,NA,NA,NA,1,Chordata,seine
USA (TX),Oso Bay,Cynoscion arenarius,1,Sciaenidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (TX),Aransas Pass,Cynoscion nebulosus,13,Sciaenidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (TX),Laguna Madre,Cynoscion nebulosus,1,Sciaenidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (TX),Oso Bay,Cynoscion nebulosus,40,Sciaenidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (NC),NC,Leiostomus xanthurus,3,Sciaenidae,hunting macrofauna (predator),higher carnivore,demersal,"day, night","seagrass, sand",1,Chordata,seine
USA (TX),Oso Bay,Leiostomus xanthurus,8,Sciaenidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (VA2),,Leiostomus xanthurus,12,Sciaenidae,hunting macrofauna (predator),Benthic invertivore,demersal,,,1,Chordata,seine
USA (TX),Aransas Pass,Sciaenops ocellatus,1,Sciaenidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (CA),San Diego,Umbrina roncador,5,Sciaenidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Wales,NA,Scyliorhinus canicula,3,Scyliorhinidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Canada (BC),Choked Pocket,Sebastes caurinus,3,Sebastidae,hunting macrofauna (predator),Higher carnivore,Benthopelagic,,"sand, rock, seagrass, kelp",1,Chordata,seine
Korea,Koje-Korea,Sebastes pachycephalus,1,Sebastidae,NA,higher carnivore,pelagic site attached,NA,"rock, sand ",1,Chordata,seine
Canada (BC),Choked Pocket,Sebastes spp.,302,Sebastidae,hunting macrofauna (predator),Higher carnivore,Pelagic site attached,,"sand, rock, seagrass, kelp",1,Chordata,seine
USA (CA2),Windy Cove,Sebastes spp.,92,Sebastidae,NA,NA,NA,NA,NA,1,Chordata,seine
Korea,Koje-Korea,Sebastiscus marmoratus,4,Sebastidae,NA,higher carnivore,pelagic site attached,NA,"rock, sand ",1,Chordata,seine
France,Bouzigues,Sepia officinalis,1,Sepiidae,hunting macrofauna (predator),Higher carnivore,,,,0,Mollusca,seine
Australia (QLD3),Moreton_Bay,Sepia plangon,1,Sepiidae,NA,NA,NA,NA,NA,0,Mollusca,seine
Australia (QLD3),Moreton_Bay,Sepia plangon,1,Sepiidae,hunting macrofauna (predator),Higher carnivore,Demersal,Night,seagrass/rock,0,Mollusca,seine
Australia (QLD2),Noosa river,Epinephelus coioides,1,Serranidae,hunting macrofauna (predator),higher carnivore,Benthic,day,rock,1,Chordata,seine
Australia (QLD),Bowen,Epinephelus sp.,1,Serranidae,hunting macrofauna (predator),Higher carnivore,Demersal,Day,"coral, rock, seagrass, sand",1,Chordata,seine
Mexico (ICML),NA,Mycteroperca tigris,1,Serranidae,hunting macrofauna (predator),Higher carnivore,Demersal,Day,coral,1,Chordata,video
USA (CA),San Diego,Paralabrax clathratus,4,Serranidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Mexico (BN),Punta Banda Estuary,Paralabrax maculatofasciatus,5,Serranidae,Hunting macrofauna (predator),Benthic invertivore,Benthic,Night,Sand,1,Chordata,seine
USA (CA),San Diego,Paralabrax maculatofasciatus,9,Serranidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Mexico (BN),Punta Banda Estuary,Paralabrax nebulifer,1,Serranidae,Hunting macrofauna (predator),Benthic invertivore,Benthic,Night,Sand,1,Chordata,seine
Mexico (BN),Punta Banda Estuary,Paralabrax nebulifer,6,Serranidae,Hunting macrofauna (predator),Benthic invertivore,Benthic,Night,Sand,1,Chordata,seine
USA (CA),San Diego,Paralabrax nebulifer,189,Serranidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Italy,NA,Serranus scriba,11,Serranidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Australia (QLD),Bowen,Siganus canaliculatus,25,Siganidae,grazing on aquatic plants,Browsing herbivore,Demersal,Day,"seagrass, seaweed",0,Chordata,seine
Australia (QLD3),Moreton_Bay,Siganus canaliculatus,4,Siganidae,grazing on aquatic plants,NA,NA,NA,NA,0,Chordata,seine
Australia (QLD2),Noosa river,Siganus fuscescens,13,Siganidae,grazing on aquatic plants,browsing herbivore,demersal,day,seagrass,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Siganus fuscescens,4,Siganidae,grazing on aquatic plants,Browsing herbivore,Demersal,Day,seagrass,0,Chordata,seine
Australia (QLD),Bowen,Siganus lineatus,346,Siganidae,grazing on aquatic plants,Browsing herbivore,Demersal,Day,"seagrass, seaweed, rock, coral",0,Chordata,seine
Australia (QLD2),NA,Siganus sp.,63,Siganidae,NA,NA,NA,NA,NA,0,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Sillago ciliata,4,Sillaginidae,hunting macrofauna (predator),benthic invertivore,demersal,day,sand,1,Chordata,seine
Australia (QLD),Bowen,Sillago maculata,51,Sillaginidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day/night,"seagrass, sand",1,Chordata,seine
Australia (QLD2),Hervey Bay,Sillago maculata,1,Sillaginidae,hunting macrofauna (predator),benthic invertivore,benthic,day,sand,1,Chordata,seine
Australia (QLD2),Noosa river,Sillago maculata,7,Sillaginidae,hunting macrofauna (predator),benthic invertivore,benthic,day,sand,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Sillago maculata,30,Sillaginidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Sillago maculata,30,Sillaginidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day/Night,sand,1,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Sillago sp.,1,Sillaginidae,hunting macrofauna (predator),benthic invertivore,demersal,day,sand,1,Chordata,seine
Australia (NSW2),Urunga Lagoon 2,Sillago sp.,16,Sillaginidae,hunting macrofauna (predator),benthic invertivore,demersal,day,sand,1,Chordata,seine
Korea,Koje-Korea,Sillago sp.,3,Sillaginidae,NA,NA,NA,NA,NA,1,Chordata,seine
Croatia,CR-B-SvetiDuh,Solea solea,1,Soleidae,hunting macrofauna (predator),Benthic invertivore,benthic,day,sand,0,Chordata,seine
Italy,NA,Solea sp.,3,Soleidae,NA,NA,NA,NA,NA,0,Chordata,video
Australia (NSW),Smiths_Lake_NSW,Acanthopagrus australis,72,Sparidae,hunting macrofauna (predator),benthic invertivore,demersal,day,"rock, seagrass, sand",1,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Acanthopagrus australis,15,Sparidae,hunting macrofauna (predator),benthic invertivore,demersal,day,"rock, seagrass, sand",1,Chordata,seine
Australia (QLD3),NA,Acanthopagrus australis,2,Sparidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,rock,1,Chordata,seine
USA (TX),Oso Bay,Archosargus probatocephalus,1,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (FL),NA,Archosargus probatocephalus,37,Sparidae,hunting macrofauna (predator),benthic invertivore,benthic,NA,NA,1,Chordata,video
Italy,NA,Boops boops,1,Sparidae,selective plankton feeding,NA,NA,NA,NA,1,Chordata,video
Croatia,NA,Diplodus annularis,1,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Italy,NA,Diplodus annularis,9,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
