family,act,feed,troph,watercol,clim,body,notes
Carcinidae,active,hunting macrofauna (predator),benthic invertivore,benthic,tropical;subtropical;temperate,crab,
Chaetodontidae,active,hunting macrofauna (predator),benthic invertivore,demersal,tropical,short and / or deep,
Channidae,active,hunting macrofauna (predator),benthic invertivore,benthic,tropical,,misidentification
Cheilodactylidae,active,hunting macrofauna (predator),benthic invertivore,demersal,temperate,fusiform / normal,
Clinidae,ambush,hunting macrofauna (predator),benthic invertivore,benthic,subtropical;subtropical;temperate,elongated,
Clupeidae,active,filtering plankton;hunting macrofauna (predator);selective plankton feeding,benthic invertivore;omnivore;planktivore,pelagic;pelagic non-site attached;pelagic site attached,subtropical;subtropical;temperate;temperate;tropical,fusiform / normal,
Cottidae,ambush,hunting macrofauna (predator),benthic invertivore;benthic invertivore;higher carnivore;higher carnivore,benthic;demersal,boreal;polar;boreal;polar;subtropical;boreal;polar;temperate;boreal;subtropical;temperate;boreal;temperate;polar;subtropical;temperate;temperate,elongated;fusiform / normal,
Crangonidae,active,hunting macrofauna (predator),benthic invertivore,benthic,subtropical;temperate;boreal,shrimp,
Cyclopteridae,active,hunting macrofauna (predator),benthic invertivore;benthic invertivore;higher carnivore,benthopelagic,temperate,short and / or deep,
Cyprinodontidae,active,grazing on aquatic plants,omnivore,demersal,subtropical;tropical,fusiform / normal;short and / or deep,
Diodontidae,active,hunting macrofauna (predator);variable,benthic invertivore,benthic;demersal,tropical,short and / or deep,
Echeneidae,active,variable,benthic invertivore;higher carnivore,pelagic non-site attached,tropical,elongated,
Eleotridae,ambush,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated,
Elopidae,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal;pelagic non-site attached,tropical,elongated,
Embiotocidae,active,hunting macrofauna (predator);variable,benthic invertivore;planktivore;benthic invertivore,demersal;pelagic non-site attached;pelagic site attached,boreal;subtropical;temperate;boreal;temperate;subtropical;temperate,fusiform / normal;short and / or deep,
Engraulidae,active,filtering plankton,planktivore,pelagic non-site attached,subtropical;temperate;temperate;tropical,elongated,
Epialtidae,active,grazing on aquatic plants,browsing herbivore,benthic,subtropical;temperate;boreal,crab,
Fistulariidae,ambush,hunting macrofauna (predator),higher carnivore,demersal,tropical,elongated,
Fundulidae,active,hunting macrofauna (predator);selective plankton feeding;variable,benthic invertivore;omnivore;planktivore,benthic;demersal,subtropical;subtropical;temperate;subtropical;temperate;tropical;subtropical;tropical;temperate,elongated;fusiform / normal,
Gadidae,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore;higher carnivore;planktivore;higher carnivore,benthopelagic;demersal,polar;polar;temperate;temperate,fusiform / normal,
Gasterosteidae,active,variable,benthic invertivore;planktivore;planktivore;benthic invertivore,benthic;benthopelagic;demersal,temperate,elongated;fusiform / normal,
Gerreidae,active,hunting macrofauna (predator),benthic invertivore,demersal,subtropical;subtropical;tropical;tropical,fusiform / normal,
Gobiesocidae,ambush,hunting macrofauna (predator),benthic invertivore,demersal,subtropical;tropical,elongated,
Gobiidae,ambush,browsing on substrate;hunting macrofauna (predator);selective plankton feeding;variable,benthic invertivore;benthic invertivore;higher carnivore;omnivore;planktivore;benthic invertivore,benthic,subtropical;subtropical;temperate;subtropical;tropical;temperate;tropical,elongated;fusiform / normal,
Haemulidae,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic;demersal,temperate;tropical,fusiform / normal;short and / or deep,
Hemiramphidae,active,hunting macrofauna (predator);selective plankton feeding;variable,higher carnivore;omnivore;planktivore,pelagic site attached,subtropical;temperate;temperate;tropical;tropical,elongated;fusiform / normal,
Hexagrammidae,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthopelagic;demersal,boreal;polar;subtropical;temperate;subtropical;temperate;temperate,elongated;fusiform / normal,
Hippolytidae,active,grazing on aquatic plants,scraping herbivore,benthic,tropical;subtropical,shrimp,
Kyphosidae,active,grazing on aquatic plants,browsing herbivore,demersal,subtropical;temperate,short and / or deep,
Labridae,active,browsing on substrate;hunting macrofauna (predator);picking parasites off a host (cleaner);selective plankton feeding;variable,benthic invertivore;cleaner;higher carnivore;scraping herbivore,benthic;demersal,subtropical;subtropical;temperate;tropical,elongated;fusiform / normal,
Lateolabracidae,ambush,hunting macrofauna (predator),planktivore,pelagic non-site attached,subtropical,fusiform / normal,
Lethrinidae,active,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,
Liparidae,active,hunting macrofauna (predator),benthic invertivore,benthic,temperate;boreal;polar,elongate,
Loliginidae,active,hunting macrofauna (predator),higher carnivore,benthopelagic;demersal,subtropical;temperate,squid,
Lutjanidae,active,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,
Lysmatidae,active,variable,benthic invertivore;cleaner,benthic,tropical;subtropical;temperate,shrimp,
Monacanthidae,active,browsing on substrate;grazing on aquatic plants;variable,benthic invertivore;browsing herbivore;omnivore,demersal;pelagic site attached,subtropical;subtropical;temperate;tropical;tropical,short and / or deep,
Monodactylidae,active,variable,planktivore,demersal;pelagic site attached,tropical,short and / or deep,
Moronidae,active,hunting macrofauna (predator),higher carnivore,demersal,subtropical;temperate,fusiform / normal,
Mugilidae,active,browsing on substrate;variable,omnivore,benthopelagic,subtropical;tropical,fusiform / normal,
Mullidae,active,hunting macrofauna (predator),benthic invertivore,benthic;demersal,subtropical;tropical,fusiform / normal,
Muraenidae,ambush,hunting macrofauna (predator),higher carnivore,benthic,subtropical,eel-like,
Nemipteridae,active,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,
Osmeridae,active,selective plankton feeding,planktivore;benthic invertivore,benthopelagic,boreal;polar;subtropical;temperate;polar,elongated,
Ostraciidae,active,hunting macrofauna (predator);variable,benthic invertivore,demersal,tropical,short and / or deep,
Ovalipidae,active,hunting macrofauna (predator),benthic invertivore,benthic,subtropical;temperate,crab,
Paguridae,active,variable,omnivore,benthic,subtropical;temperate,hermit crab,
Palaemonidae,active,browsing on substrate;selective plankton feeding;variable,omnivore;scraping herbivore,benthic;demersal,polar;subtropical;temperate;tropical;subtropical;subtropical;temperate,shrimp,
Panopeidae,active,browsing on substrate,omnivore;benthic invertivore,benthic,tropical;subtropical;temperate,crab,
Paralichthyidae,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,boreal;subtropical;temperate;polar;subtropical;temperate;temperate;tropical,fusiform / normal;short and / or deep,
Penaeidae,active,browsing on substrate;variable,omnivore;scraping herbivore,benthic,subtropical;tropical,shrimp,
Pholidae,active,browsing on substrate,omnivore,benthic,boreal;polar;subtropical;temperate;boreal;subtropical;temperate;polar;subtropical;subtropical;temperate;temperate,eel-like,
Phycidae,ambush,hunting macrofauna (predator),benthic invertivore,benthic,temperate,fusiform / normal,
Platycephalidae,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic;demersal,subtropical,fusiform / normal,
Pleuronectidae,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,boreal;polar;subtropical;boreal;polar;subtropical;temperate;polar;temperate,short and / or deep,
Pomacentridae,active,hunting macrofauna (predator);variable,omnivore,demersal,subtropical;tropical,fusiform / normal;short and / or deep,
Portunidae,active,hunting macrofauna (predator);variable,benthic invertivore;benthic invertivore;higher carnivore;omnivore,benthic,subtropical;subtropical;tropical;tropical,crab,
Processidae,active,variable,omnivore,benthic,temperate,shrimp,
Pseudomugilidae,active,hunting macrofauna (predator),benthic invertivore,benthopelagic,subtropical,fusiform / normal,
Rhinobatidae,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,subtropical;temperate,other,
Rhombosoleidae,ambush,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,short and / or deep,
Salmonidae,active,hunting macrofauna (predator),planktivore;higher carnivore,pelagic non-site attached,temperate,fusiform / normal,
Sciaenidae,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,subtropical;subtropical;temperate;subtropical;tropical;tropical,fusiform / normal,
Scyliorhinidae,active,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated,
Sebastidae,ambush,hunting macrofauna (predator),higher carnivore,benthopelagic;pelagic site attached,subtropical;subtropical;temperate;temperate,fusiform / normal;short and / or deep,
Sepiidae,active,hunting macrofauna (predator),higher carnivore,demersal,tropical;subtropical,squid,
Serranidae,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic;demersal,subtropical;subtropical;temperate;subtropical;temperate;tropical;tropical,fusiform / normal,
Siganidae,active,grazing on aquatic plants,browsing herbivore,demersal,tropical,fusiform / normal,
Sillaginidae,active,hunting macrofauna (predator),benthic invertivore,benthic;demersal,tropical,elongated;fusiform / normal,
Soleidae,ambush;active,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,short and / or deep,
Sparidae,active,grazing on aquatic plants;hunting macrofauna (predator);selective plankton feeding;variable,benthic invertivore;browsing herbivore;higher carnivore;omnivore,benthic;demersal,subtropical;tropical,fusiform / normal,
Sphyraenidae,active,hunting macrofauna (predator),higher carnivore,demersal;pelagic non-site attached,subtropical;temperate;tropical,elongated,
Stichaeidae,ambush,browsing on substrate,omnivore,benthic,boreal;subtropical;temperate,eel-like,
Syngnathidae,ambush,hunting macrofauna (predator);selective plankton feeding,benthic invertivore;planktivore;planktivore;benthic invertivore,demersal,boreal;subtropical;temperate;subtropical;temperate;tropical,eel-like;other,
Synodontidae,ambush,hunting macrofauna (predator),higher carnivore,benthic,tropical,elongated,
Terapontidae,active,hunting macrofauna (predator),benthic invertivore,benthic;demersal,subtropical;tropical,fusiform / normal,
Tetraodontidae,active,browsing on substrate;hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic;demersal;pelagic non-site attached,subtropical;temperate;tropical,fusiform / normal;short and / or deep,
Tetrarogidae,ambush,hunting macrofauna (predator),benthic invertivore,benthic;demersal,subtropical,fusiform / normal,
Trachinidae,ambush,hunting macrofauna (predator),higher carnivore,benthic,subtropical,elongated,
Trichechidae,active,grazing on aquatic plants,browsing herbivore,benthic,tropical;subtropical,mammal,
Triglidae,ambush,hunting macrofauna (predator),benthic invertivore,benthic;demersal,subtropical;tropical,elongated;fusiform / normal,
Urotrygonidae,ambush;active,hunting macrofauna (predator),benthic invertivore,benthic,tropical,other,
Varunidae,active,variable,omnivore,benthic,temperate,crab,
