act,feed,troph,watercol,body,length,Site,habitat
0,variable,benthic invertivore;planktivore,demersal,elongated,49.32461006965956,QC,Seagrass
0,variable,benthic invertivore;planktivore,demersal,elongated,50.247300668887284,QC,Unvegetated
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,45.75900903224533,QLD2,Seagrass
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,45.42075227233864,QLD2,Unvegetated
1,selective plankton feeding,planktivore,demersal,fusiform / normal,30.999259067655377,QLD3,Seagrass
1,selective plankton feeding,planktivore,demersal,fusiform / normal,26.7614984160527,QLD3,Unvegetated
0,variable,benthic invertivore,demersal,elongated,41.31495577291631,QLD4,Seagrass
0,variable,benthic invertivore;planktivore,pelagic site attached,elongated,48.4260734838424,QLD4,Unvegetated
0,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated,50.48195571271013,TX,Seagrass
0,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated,50.92067818659037,TX,Unvegetated
0,hunting macrofauna (predator),omnivore,benthic,crab,70.07357533724647,VA,Seagrass
0,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated,54.8570837844686,VA2,Seagrass
0,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated,56.8733021708824,VA2,Unvegetated
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal;short and / or deep,52.137633141407655,VIC,Seagrass
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal;short and / or deep,52.93411809360584,VIC,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,68.99436869079257,WA,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,65.30235294117647,WA,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,70.89987879776145,WA2,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,70.95043185768179,WA2,Unvegetated
0,selective plankton feeding,planktivore,benthic,elongated,54.280128040874395,Wales,Seagrass
0,selective plankton feeding,planktivore,benthic,elongated,55.05611430399475,Wales,Unvegetated
