sciName,name,act,feed,troph,watercol,body
Sphoeroides maculatus,Sphomacu,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,pelagic non-site attached,short and / or deep
Sphyraena borealis,Sphybore,active,hunting macrofauna (predator),higher carnivore,demersal,elongated
Sphyraena obtusata,Sphyobtu,active,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,elongated
Spinachia spinachia,Spinspin,active,variable,benthic invertivore;planktivore,demersal,elongated
Sprattus sprattus,Spraspra,active,selective plankton feeding,planktivore,pelagic non-site attached,fusiform / normal
Stephanolepis hispidus,Stephisp,active,grazing on aquatic plants,benthic invertivore,demersal,short and / or deep
Stigmatopora argus,Stigargu,ambush,hunting macrofauna (predator),benthic invertivore,demersal,eel-like
Strongylura exilis,Stroexil,active,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,elongated
Strongylura marina,Stromari,active,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,elongated
Symphodus melops,Sympmelo,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Symphodus ocellatus,Sympocel,active,variable,benthic invertivore,demersal,fusiform / normal
Symphodus tinca,Symptinc,active,hunting macrofauna (predator),higher carnivore,demersal,fusiform / normal
Syngnathus abaster,Syngabas,ambush,selective plankton feeding,benthic invertivore;planktivore,demersal,eel-like
Syngnathus acus,Syngacus,ambush,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,eel-like
Syngnathus floridae,Syngflor,ambush,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,eel-like
Syngnathus fuscus,Syngfusc,ambush,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,eel-like
Syngnathus leptorhynchus,Synglept,ambush,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,eel-like
Syngnathus sp.,Syngsp,ambush,selective plankton feeding,benthic invertivore;planktivore,demersal,eel-like;other
Syngnathus typhle,Syngtyph,ambush,selective plankton feeding,benthic invertivore;planktivore,demersal,eel-like
Synodus foetens,Synofoet,ambush,hunting macrofauna (predator),higher carnivore,benthic,elongated
Synodus myops,Synomyop,ambush,hunting macrofauna (predator),higher carnivore,benthic,elongated
Takifugu niphobles,Takiniph,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal;short and / or deep
Taliepus dentatus,Talident,active,grazing on aquatic plants,omnivore,benthic,crab
Taurulus bubalis,Taurbuba,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,fusiform / normal
Tetractenos glaber,Tetrglab,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal;short and / or deep
Tetractenos hamiltoni,Tetrhami,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,short and / or deep
Torquigener sp.,Torqsp,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal;short and / or deep
Tozeuma carolinense,Tozecaro,active,grazing on aquatic plants,scraping herbivore,benthic,shrimp
Umbrina roncador,Umbrronc,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Upeneus tragula,Upentrag,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Urocampus carinirostris,Uroccari,ambush,selective plankton feeding,planktivore,demersal,eel-like
Urophycis regia,Uropregi,ambush,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal
Xiphister atropurpureus,Xiphatro,ambush,browsing on substrate,omnivore,benthic,eel-like
Zosterisessor ophiocephalus,Zostophi,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,fusiform / normal
