Site.Name,Country,Lat,Long,Seagrass.Unveg,Date,Time,Temp,Sal,Measurement.Number,Notes,Institution,dt
NC,USA (NC),34.69099,-76.62199,Seagrass,2016-08-16,NA,34.1,34,1,,NA,NA
NC,USA (NC),34.69099,-76.62199,Seagrass,2016-08-16,NA,33.9,34,2,,NA,NA
NC,USA (NC),34.69099,-76.62199,Seagrass,2016-08-16,NA,33.1,34,3,,NA,NA
NC,USA (NC),34.69099,-76.62199,Seagrass,2016-08-17,NA,33.4,33,1,,NA,NA
NC,USA (NC),34.69099,-76.62199,Seagrass,2016-08-17,NA,33.5,33,2,,NA,NA
NC,USA (NC),34.69099,-76.62199,Seagrass,2016-08-17,NA,33.8,33,3,,NA,NA
NC,USA (NC),34.69051,-76.62245,Unveg,2016-08-15,NA,33.1,34,1,,NA,NA
NC,USA (NC),34.69051,-76.62245,Unveg,2016-08-15,NA,33.1,34.5,2,,NA,NA
NC,USA (NC),34.69051,-76.62245,Unveg,2016-08-15,NA,33.1,34,3,,NA,NA
NC,USA (NC),34.69051,-76.62245,Unveg,2016-08-16,NA,33,34.5,1,,NA,NA
NC,USA (NC),34.69051,-76.62245,Unveg,2016-08-16,NA,33.1,34.5,2,,NA,NA
NC,USA (NC),34.69051,-76.62245,Unveg,2016-08-16,NA,33,34.5,3,,NA,NA
NC,USA (NC),34.69051,-76.62245,Unveg,2016-08-17,NA,32.9,34,1,,NA,NA
NC,USA (NC),34.69051,-76.62245,Unveg,2016-08-17,NA,33.1,33,2,,NA,NA
NC,USA (NC),34.69051,-76.62245,Unveg,2016-08-17,NA,32.7,34,3,,NA,NA
Juvika,Norway,67.214334,15.007534,Seagrass,2016-07-24,NA,11.5,29.2,1,,NA,NA
Juvika,Norway,67.214334,15.007534,Seagrass,2016-07-24,NA,11.5,29.2,2,,NA,NA
Juvika,Norway,67.214334,15.007534,Seagrass,2016-07-24,NA,11.6,29.1,3,,NA,NA
Juvika,Norway,67.214334,15.007534,Unveg,2016-07-24,NA,11.5,29.01,1,,NA,NA
