,Site.Name,Country,Lat,Long,Seagrass.Unveg,Date,Time,Temp,Sal,Measurment.Number,Notes
96,Dorothy Cove,USA (MA),42.41986,-70.91506,Unveg,20160607,735,15,30,3,
97,Dorothy Cove,USA (MA),42.42026,-70.91574,Seagrass,20160609,840,10.5,31,1,
98,Dorothy Cove,USA (MA),42.42026,-70.91574,Seagrass,20160609,840,11,32,2,
99,Dorothy Cove,USA (MA),42.42026,-70.91574,Seagrass,20160609,840,10.5,32,3,
100,Dorothy Cove,USA (MA),42.42044,-70.91594,Unveg,20160609,845,11,32,1,
101,Dorothy Cove,USA (MA),42.42044,-70.91594,Unveg,20160609,845,11,31,2,
102,Dorothy Cove,USA (MA),42.42044,-70.91594,Unveg,20160609,845,11,31,3,
103,Dorothy Cove,USA (MA),42.42057,-70.91625,Unveg,20160622,715,12.5,30,1,
104,Dorothy Cove,USA (MA),42.42057,-70.91625,Unveg,20160622,715,12,31,2,
105,Dorothy Cove,USA (MA),42.42057,-70.91625,Unveg,20160622,715,12.5,32,3,
106,Dorothy Cove,USA (MA),42.42046,-70.91641,Seagrass,20160622,720,12.5,33,1,
107,Dorothy Cove,USA (MA),42.42046,-70.91641,Seagrass,20160622,720,13,31,2,
108,Dorothy Cove,USA (MA),42.42046,-70.91641,Seagrass,20160622,720,12.5,31,3,
109,Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170308,915,26.4,33.4,1,
110,Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170308,915,26.4,33.6,2,
111,Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170308,915,26.3,33.6,3,
112,Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,20170308,1100,26.1,33.3,1,
113,Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,20170308,1100,26.2,33.4,2,
114,Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,20170308,1100,26.1,33.5,3,
115,Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170309,955,26.8,34.6,1,
116,Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170309,955,26.8,34.5,2,
117,Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170309,955,26.8,34.5,3,
118,Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,20170309,1030,26.9,34,1,
119,Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,20170309,1030,27,34.1,2,
120,Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,20170309,1030,26.8,34,3,
121,Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170310,950,27.3,34.4,1,
122,Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170310,950,27.3,34.4,2,
123,Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170310,950,27.3,34.5,3,
124,Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,20170310,1100,27.8,33.1,1,
125,Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,20170310,1100,27.9,32.9,2,
126,Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,20170310,1100,28,32.7,3,
127,Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,20161115,1030,23.5,28.25,1,Physical data averaged over an hour using a LOBO data sonde
128,Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,1000,23.5,28.25,1,Physical data averaged over an hour using a LOBO data sonde
129,Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,20161117,1130,21.55,27.67,1,Physical data averaged over an hour using a LOBO data sonde
130,Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161117,1100,21.55,27.67,1,Physical data averaged over an hour using a LOBO data sonde
131,Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,20161121,1230,20.5,28.5,1,Physical data averaged over an hour using a LOBO data sonde
132,Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161121,1200,20.5,28.5,1,Physical data averaged over an hour using a LOBO data sonde
133,Oso Bay,USA (TX),27.42443,-97.19447,Unveg,20160707,8:16,28,27,1,
134,Oso Bay,USA (TX),27.42446,-97.19337,Seagrass,20160707,9:30,27,30,1,
135,Oso Bay,USA (TX),27.42443,-97.19447,Unveg,20160714,8:03,27,34,2,
136,Oso Bay,USA (TX),27.42446,-97.19337,Seagrass,20160714,8:42,28,35,2,
137,Oso Bay,USA (TX),27.42443,-97.19447,Unveg,20160720,8:15,30,35,3,
138,Oso Bay,USA (TX),27.42466,-97.19337,Seagrass,20160720,8:15,30,37,3,
139,Laguna Madre,USA (TX),27.37981,-97.17288,Unveg,20160727,8:15,28,37,1,
140,Laguna Madre,USA (TX),27.37951,-97.17278,Seagrass,20160727,8:30,29,39,1,
141,Laguna Madre,USA (TX),27.37983,-97.17288,Unveg,20160803,7:49,29,40,2,
142,Laguna Madre,USA (TX),27.37951,-97.17278,Seagrass,20160803,7:56,28,40,2,
143,Laguna Madre,USA (TX),27.37984,-97.17288,Unveg,20160810,8:35,26,40,3,
144,Laguna Madre,USA (TX),27.37951,-97.17278,Seagrass,20160810,8:35,26,40,3,
145,Aransas Pass,USA (TX),27.53477,-97.06673,Unveg,20160823,7:30,28,36,1,
146,Aransas Pass,USA (TX),27.53467,-97.06697,Seagrass,20160823,7:30,28,35,1,
147,Aransas Pass,USA (TX),27.53477,-97.06673,Unveg,20160901,7:30,28,32,2,
148,Aransas Pass,USA (TX),27.53467,-97.06697,Seagrass,20160901,7:30,28,34,2,
149,Aransas Pass,USA (TX),27.53477,-97.06673,Unveg,20160909,8:30,28,30,3,
150,Aransas Pass,USA (TX),27.53467,-97.06697,Seagrass,20160909,7:30,28,30,3,
151,NC,USA (NC),34.69099,-76.62199,Seagrass,20160815,1510,34.3,34,1,
152,NC,USA (NC),34.69099,-76.62199,Seagrass,20160815,1510,33.8,34,2,
