#YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2016,5,3,19,0,1.28,14.29,9.35,192,17.4
2016,5,3,19,30,1.16,14.29,8.74,185,17.5
2016,5,3,20,0,1.26,14.29,9.41,190,17.5
2016,5,3,20,30,1.12,13.33,8.59,190,17.4
2016,5,3,21,0,1.12,14.29,7.99,190,17.5
2016,5,3,21,30,1.25,14.29,9.01,183,17.8
2016,5,3,22,0,1.17,14.29,9.19,199,18
2016,5,3,22,30,1.27,14.29,9.52,192,18
2016,5,3,23,0,1.13,13.33,9.02,215,17.9
2016,5,3,23,30,1.28,14.29,9.63,187,18
2016,5,4,0,0,1.15,14.29,8.93,204,18.1
2016,5,4,0,30,1.16,12.5,9,209,18.1
2016,5,4,1,0,1.25,13.33,9.46,222,18
2016,5,4,1,30,1.13,14.29,9.01,215,17.9
2016,5,4,2,0,1.18,13.33,9.07,215,17.8
2016,5,4,2,30,1.16,13.33,8.57,221,17.8
2016,5,4,3,0,1.35,12.5,8.97,228,17.8
2016,5,4,3,30,1.3,13.33,8.66,226,17.7
2016,5,4,4,0,1.38,14.29,8.71,243,17.7
2016,5,4,4,30,1.43,13.33,8.75,222,17.7
2016,5,4,5,0,1.44,13.33,8.9,211,17.7
2016,5,4,5,30,1.37,13.33,8.01,219,17.8
2016,5,4,6,0,1.33,13.33,7.93,202,17.8
2016,5,4,6,30,1.3,13.33,8,205,17.8
2016,5,4,7,0,1.43,13.33,8.69,211,17.8
2016,5,4,7,30,1.47,14.29,9.02,215,17.8
2016,5,4,8,0,1.16,14.29,7.38,218,17.9
2016,5,4,8,30,1.25,13.33,8.05,236,17.9
2016,5,4,9,0,1.21,13.33,8.04,235,17.9
2016,5,4,9,30,1.29,13.33,8.51,205,17.9
2016,5,4,10,0,1.26,13.33,8.5,205,17.8
2016,5,4,10,30,1.19,13.33,8.17,195,17.8
2016,5,4,11,0,1.28,13.33,8.73,239,17.8
2016,5,4,11,30,1.38,13.33,9.42,223,17.7
2016,5,4,12,0,1.29,13.33,8.78,249,17.7
2016,5,4,12,30,1.35,13.33,9.35,254,17.7
2016,5,4,13,0,1.28,11.76,8.91,232,17.6
2016,5,4,13,30,1.2,13.33,8.51,216,17.5
2016,5,4,14,0,1.27,14.29,9.14,187,17.4
2016,5,4,14,30,1.15,13.33,9.14,226,17.4
2016,5,4,15,0,1.21,13.33,9.24,240,17.4
2016,5,4,15,30,1.27,13.33,9.59,218,17.5
2016,5,4,16,0,1.4,12.5,10.19,219,17.5
2016,5,4,16,30,1.42,13.33,9.87,215,17.5
2016,5,4,17,0,1.39,13.33,9.2,228,17.5
2016,5,4,17,30,1.27,13.33,8.95,202,17.6
2016,5,4,18,0,1.24,16.67,8.98,214,17.7
2016,5,4,18,30,1.26,12.5,8.97,233,17.7
2016,5,4,19,0,1.19,11.76,9.18,205,17.7
2016,5,4,19,30,1.19,12.5,9.3,219,17.8
2016,5,4,20,0,1.33,13.33,10.24,197,17.8
2016,5,4,20,30,1.22,12.5,10.22,235,17.9
2016,5,4,21,0,1.05,12.5,9.84,237,18
2016,5,4,21,30,1.41,13.33,11.33,215,18
2016,5,4,22,0,1.17,14.29,10.88,194,17.8
2016,5,4,22,30,1.17,13.33,10.79,208,17.8
2016,5,4,23,0,1.15,12.5,10.6,209,17.8
2016,5,4,23,30,1.16,16.67,11,211,17.8
2016,5,5,0,0,1.15,15.38,10.76,184,17.7
2016,5,5,0,30,1.22,13.33,10.87,218,17.7
2016,5,5,1,0,1.16,13.33,10.32,197,17.8
2016,5,5,2,0,1.11,12.5,9.88,205,17.8
2016,5,5,3,0,1.2,15.38,11.06,185,17.9
2016,5,5,3,30,1.04,13.33,10.5,205,17.9
2016,5,5,4,0,1.08,12.5,10.59,216,17.9
2016,5,5,4,30,1.07,12.5,10.72,226,17.9
2016,5,5,5,0,1.06,11.76,10.21,247,17.9
2016,5,5,5,30,1.21,11.76,11.05,235,17.9
2016,5,5,6,0,1.06,12.5,10.02,236,18
2016,5,5,6,30,1.12,15.38,10.35,192,18
2016,5,5,7,0,1.3,11.76,10.92,260,18
2016,5,5,7,30,1.17,12.5,10.42,222,18
2016,5,5,8,0,1.23,14.29,10.81,187,18
2016,5,5,8,30,1.07,11.76,10.33,246,17.9
2016,5,5,9,0,1.1,15.38,10.68,201,17.9
2016,5,5,9,30,1.07,14.29,10.53,183,17.9
2016,5,5,10,0,1.18,12.5,10.58,237,17.9
2016,5,5,10,30,1.09,12.5,10.4,243,17.9
2016,5,5,11,0,1.08,12.5,10.32,243,17.9
2016,5,5,11,30,1.14,15.38,10.66,194,17.9
2016,5,5,12,0,0.97,12.5,10.32,233,17.8
2016,5,5,12,30,1.07,13.33,10.6,185,17.8
2016,5,5,13,0,1.07,15.38,11.29,199,17.8
2016,5,5,14,0,1.14,15.38,11.15,191,17.7
2016,5,5,14,30,1.13,14.29,11.36,170,17.7
2016,5,5,15,0,1.11,12.5,11.11,204,17.7
2016,5,5,15,30,1.1,14.29,11.32,176,17.6
2016,5,5,16,0,1.13,15.38,10.98,204,17.6
2016,5,5,16,30,1.01,14.29,10.71,174,17.6
2016,5,5,17,0,1.06,14.29,10.75,169,17.6
2016,5,5,17,30,0.96,14.29,9.73,187,17.5
2016,5,5,18,0,1.09,14.29,8.86,177,17.5
2016,5,5,18,30,1.1,15.38,8.82,198,17.5
2016,5,5,19,0,0.99,13.33,9.78,185,17.4
2016,5,5,19,30,0.91,14.29,10.27,183,17.4
2016,5,5,20,0,0.87,12.5,8.73,209,17.4
2016,5,5,20,30,1.05,14.29,9.12,185,17.5
2016,5,5,21,0,1.08,14.29,8.87,178,17.6
2016,5,5,21,30,1.05,14.29,8.88,185,17.7
2016,5,5,22,0,1.11,14.29,9.4,178,17.7
2016,5,5,22,30,1.02,15.38,9.53,201,17.8
2016,5,5,23,0,1.08,14.29,9.71,184,18
2016,5,5,23,30,1.12,14.29,9.77,188,18
2016,5,6,0,0,1.11,14.29,10.57,183,17.9
2016,5,6,0,30,1.13,11.11,10.21,259,17.8
2016,5,6,1,0,1.16,13.33,10.41,181,17.8
2016,5,6,1,30,1.1,14.29,10.09,173,17.8
2016,5,6,2,0,1.14,12.5,10.44,188,17.8
2016,5,6,2,30,1.2,12.5,10.23,188,17.7
2016,5,6,3,0,1.34,14.29,10.91,187,17.7
2016,5,6,3,30,1.18,11.11,10.05,257,17.7
2016,5,6,4,0,1.29,13.33,10.34,178,17.8
2016,5,6,4,30,1.29,11.11,10.08,256,17.7
2016,5,6,5,0,1.32,13.33,10.26,185,17.7
2016,5,6,5,30,1.2,10.53,9.29,244,17.7
2016,5,6,6,0,1.17,12.5,8.6,202,17.7
2016,5,6,6,30,1.2,10.53,8.65,264,17.6
2016,5,6,7,0,1.27,11.76,8.77,222,17.6
2016,5,6,7,30,1.27,13.33,8.85,187,17.6
2016,5,6,8,0,1.34,9.88,9.14,266,17.6
2016,5,6,8,30,1.38,9.88,9.07,257,17.6
2016,5,6,9,0,1.24,10.53,8.72,284,17.6
2016,5,6,9,30,1.3,14.29,9.28,195,17.6
2016,5,6,10,0,1.3,10.53,8.64,261,17.6
2016,5,6,10,30,1.24,11.11,8.65,257,17.6
2016,5,6,11,0,1.2,14.29,8.87,202,17.6
2016,5,6,11,30,1.18,13.33,9.22,184,17.5
2016,5,6,12,0,1.09,13.33,8.5,185,17.6
2016,5,6,12,30,1.14,11.11,8.85,243,17.6
2016,5,6,13,0,1.2,15.38,9.12,205,17.6
2016,5,6,14,0,1.06,13.33,9.1,183,17.6
2016,5,6,14,30,1.03,10.53,8.97,253,17.6
2016,5,6,15,0,1.2,13.33,9.35,187,17.6
2016,5,6,15,30,1.04,14.29,8.79,195,17.6
2016,5,6,16,0,1.09,14.29,8.54,201,17.6
2016,5,6,16,30,1.17,13.33,8.86,181,17.6
2016,5,6,17,0,1.08,12.5,8.12,188,17.6
2016,5,6,17,30,1.01,14.29,7.84,197,17.6
2016,5,6,18,0,1.02,13.33,8.06,187,17.6
2016,5,6,18,30,1.1,13.33,8.53,180,17.7
2016,5,6,19,0,1.09,13.33,8.51,183,17.7
2016,5,6,19,30,0.99,13.33,7.59,190,17.8
2016,5,6,20,0,1.04,14.29,7.69,205,17.9
2016,5,6,20,30,1.03,11.76,7.7,206,18
2016,5,6,21,0,1.11,14.29,8.51,202,18.1
2016,5,6,21,30,1.03,13.33,8,191,18
2016,5,6,22,0,1.03,13.33,7.74,187,17.9
2016,5,6,22,30,1.03,12.5,7.82,185,18
2016,5,6,23,0,1.09,14.29,8.05,197,18
2016,5,6,23,30,1.01,13.33,7.66,180,17.9
2016,5,7,0,0,1.02,13.33,7.39,181,17.8
2016,5,7,0,30,1.07,14.29,7.89,185,17.9
2016,5,7,1,0,0.99,14.29,7.39,181,17.9
2016,5,7,1,30,1.07,13.33,7.83,178,17.9
2016,5,7,2,0,1.01,13.33,7.11,184,17.8
2016,5,7,2,30,1.03,13.33,7.32,184,17.8
2016,5,7,3,30,1.09,13.33,7.18,178,17.8
2016,5,7,4,0,1.09,13.33,6.92,192,17.7
2016,5,7,4,30,1.13,14.29,7.12,194,17.7
2016,5,7,5,0,1.05,14.29,6.76,198,17.7
2016,5,7,5,30,1.21,13.33,7.42,190,17.7
2016,5,7,6,0,1.12,13.33,7.11,192,17.6
2016,5,7,6,30,1.11,12.5,7.24,176,17.6
2016,5,7,7,0,1.13,13.33,7.17,198,17.6
2016,5,7,7,30,1.13,13.33,7.3,194,17.6
2016,5,7,8,0,1.13,13.33,6.95,192,17.6
2016,5,7,8,30,1.19,12.5,7.35,198,17.6
2016,5,7,9,0,1.23,14.29,7.52,208,17.6
2016,5,7,9,30,1.2,12.5,7.51,195,17.6
2016,5,7,10,0,1.22,12.5,7.45,195,17.6
2016,5,7,10,30,1.13,13.33,7.3,194,17.6
2016,5,7,11,0,1.16,12.5,7.64,188,17.6
2016,5,7,11,30,1.15,14.29,7.56,204,17.5
2016,5,7,12,0,1.17,13.33,7.39,195,17.5
2016,5,7,12,30,1.19,12.5,7.73,192,17.5
2016,5,7,13,0,1.14,14.29,7.52,204,17.5
2016,5,7,13,30,1.13,12.5,7.43,195,17.5
2016,5,7,14,0,1.12,14.29,7.39,216,17.5
2016,5,7,14,30,1.06,11.76,7.42,201,17.5
2016,5,7,15,0,1.09,12.5,7.37,197,17.5
2016,5,7,15,30,1.15,9.88,7.44,253,17.6
2016,5,7,16,0,1.14,12.5,7.54,191,17.6
2016,5,7,16,30,1.09,14.29,7.16,233,17.6
2016,5,7,17,0,1.1,15.38,7.25,263,17.6
2016,5,7,17,30,1.1,12.5,7.17,192,17.8
2016,5,7,18,0,1.04,14.29,7.21,215,17.9
2016,5,7,18,30,1.02,15.38,6.97,263,18.1
2016,5,7,19,0,1.04,12.5,7,192,18.5
2016,5,7,19,30,1.02,9.09,6.98,270,18.6
2016,5,7,20,0,1.06,13.33,7.72,211,19
2016,5,7,20,30,1.11,15.38,8.22,281,19.5
2016,5,7,21,0,0.92,15.38,7.19,275,19.8
2016,5,7,21,30,1,15.38,7.62,274,19.9
2016,5,7,22,0,1.06,14.29,7.97,215,19.6
2016,5,7,22,30,1.1,14.29,8.39,251,19.2
2016,5,7,23,0,1,15.38,7.64,280,18.6
2016,5,7,23,30,1.01,12.5,7.58,188,18.6
2016,5,8,0,0,1.05,15.38,7.84,278,18.4
2016,5,8,0,30,0.99,14.29,6.83,230,18.5
2016,5,8,1,0,0.92,15.38,6.16,270,18.3
2016,5,8,1,30,0.99,15.38,6.68,267,18.3
2016,5,8,2,0,0.99,15.38,6.62,271,18.2
2016,5,8,2,30,0.97,15.38,6.32,253,18.2
2016,5,8,3,0,0.89,15.38,6.45,251,18.2
2016,5,8,3,30,0.97,15.38,7.02,271,18.4
2016,5,8,4,0,0.92,14.29,6.95,250,18.2
2016,5,8,4,30,1.02,14.29,7.57,240,18
2016,5,8,5,0,0.98,14.29,7.25,236,17.9
2016,5,8,5,30,0.86,12.5,6.98,195,17.9
2016,5,8,6,0,0.89,14.29,7.1,257,17.8
