idCollectionEvent,PROJECT,SOURCE,SAMPLE_DATETIME,STATION,WATER_BODY,CBSEG_2003,SONDE,LATITUDE,LONGITUDE,DEPTH,LAYER,TOTAL_DEPTH,TOTAL_DEPTH_UNITS,TOTAL_DEPTH_A,BATT,BATT_A,WTEMP,WTEMP_UNITS,WTEMP_A,WTEMP_QUALIFIER,WTEMP_METHOD,SPCOND,SPCOND_UNITS,SPCOND_A,SPCOND_QUALIFIER,SPCOND_METHOD,SALINITY,SALINITY_UNITS,SALINITY_A,SALINITY_QUALIFIER,SALINITY_METHOD,DO_SAT,DO_SAT_UNITS,DO_SAT_A,DO_SAT_QUALIFIER,DO_SAT_METHOD,DO,DO_UNITS,DO_A,DO_QUALIFIER,DO_METHOD,PH,PH_UNITS,PH_A,PH_QUALIFIER,PH_METHOD,TURB_NTU,TURB_NTU_UNITS,TURB_NTU_A,TURB_NTU_QUALIFIER,TURB_NTU_METHOD,FLUOR,FLUOR_UNITS,FLUOR_A,FLUOR_QUALIFIER,FLUOR_METHOD,TCHL_PRE_CAL,TCHL_PRE_CAL_UNITS,TCHL_PRE_CAL_A,TCHL_PRE_CAL_QUALIFIER,TCHL_PRE_CAL_METHOD,CHLA,CHLA_UNITS,CHLA_A,CHLA_QUALIFIER,CHLA_METHOD,BGA_PE,BGA_PE_UNITS,BGA_PE_A,BGA_PE_QUALIFIER,BGA_PE_METHOD,BGA_PE_RFU,BGA_PE_RFU_UNITS,BGA_PE_RFU_A,BGA_PE_RFU_QUALIFIER,BGA_PE_RFU_METHOD,COMMENTS
8695,CMON,VIMS,8/11/2016 5:00:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.1820,M,,11.9000,,28.7100,DEG C,,,F01,35008.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,114.7000,PCT,,,F04,7.8500,MG/L,,,F04,8.2500,SU,,,F01,3.4000,NTU,,,F01,1.2000,%FS,,,F01,4.6000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 5:15:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.1530,M,,11.8000,,28.6800,DEG C,,,F01,35000.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,113.9000,PCT,,,F04,7.8000,MG/L,,,F04,8.2400,SU,,,F01,3.3000,NTU,,,F01,1.2000,%FS,,,F01,4.5000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 5:30:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.1350,M,,11.9000,,28.6500,DEG C,,,F01,35000.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,113.0000,PCT,,,F04,7.7500,MG/L,,,F04,8.2400,SU,,,F01,3.6000,NTU,,,F01,1.2000,%FS,,,F01,4.8000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 5:45:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.1150,M,,11.9000,,28.6100,DEG C,,,F01,34999.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,112.5000,PCT,,,F04,7.7200,MG/L,,,F04,8.2400,SU,,,F01,3.2000,NTU,,,F01,1.1000,%FS,,,F01,4.1000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 6:00:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.0790,M,,11.9000,,28.5800,DEG C,,,F01,34998.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,111.5000,PCT,,,F04,7.6500,MG/L,,,F04,8.2400,SU,,,F01,3.1000,NTU,,,F01,1.2000,%FS,,,F01,4.7000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 6:15:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.0640,M,,11.9000,,28.5600,DEG C,,,F01,34994.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,111.2000,PCT,,,F04,7.6300,MG/L,,,F04,8.2300,SU,,,F01,3.4000,NTU,,,F01,1.2000,%FS,,,F01,4.4000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 6:30:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.0330,M,,11.9000,,28.5600,DEG C,,,F01,34996.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,109.0000,PCT,,,F04,7.4800,MG/L,,,F04,8.2300,SU,,,F01,3.6000,NTU,,,F01,1.1000,%FS,,,F01,4.3000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 6:45:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.0050,M,,11.9000,,28.5300,DEG C,,,F01,34991.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,106.9000,PCT,,,F04,7.3400,MG/L,,,F04,8.2100,SU,,,F01,3.4000,NTU,,,F01,1.0000,%FS,,,F01,3.8000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 7:00:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9900,M,,11.9000,,28.5300,DEG C,,,F01,34994.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,105.8000,PCT,,,F04,7.2600,MG/L,,,F04,8.2100,SU,,,F01,3.2000,NTU,,,F01,1.1000,%FS,,,F01,4.2000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 7:15:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9770,M,,11.9000,,28.5600,DEG C,,,F01,34992.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,107.8000,PCT,,,F04,7.4000,MG/L,,,F04,8.2200,SU,,,F01,3.1000,NTU,,,F01,1.1000,%FS,,,F01,4.2000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 7:30:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9630,M,,11.9000,,28.6100,DEG C,,,F01,34997.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,108.6000,PCT,,,F04,7.4500,MG/L,,,F04,8.2200,SU,,,F01,3.7000,NTU,,,F01,1.1000,%FS,,,F01,4.2000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 7:45:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9520,M,,11.9000,,28.6500,DEG C,,,F01,34997.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,111.3000,PCT,,,F04,7.6300,MG/L,,,F04,8.2400,SU,,,F01,3.7000,NTU,,,F01,0.8000,%FS,,,F01,3.2000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 8:00:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9380,M,,11.9000,,28.7100,DEG C,,,F01,34997.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,112.4000,PCT,,,F04,7.7000,MG/L,,,F04,8.2400,SU,,,F01,2.8000,NTU,,,F01,0.9000,%FS,,,F01,3.4000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 8:15:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9310,M,,11.9000,,28.7600,DEG C,,,F01,35000.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,113.4000,PCT,,,F04,7.7500,MG/L,,,F04,8.2400,SU,,,F01,3.1000,NTU,,,F01,0.9000,%FS,,,F01,3.5000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 8:30:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9290,M,,11.9000,,28.8300,DEG C,,,F01,34998.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,114.4000,PCT,,,F04,7.8200,MG/L,,,F04,8.2400,SU,,,F01,4.7000,NTU,,,F01,0.9000,%FS,,,F01,3.5000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 8:45:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9300,M,,11.9000,,28.9200,DEG C,,,F01,35006.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,116.4000,PCT,,,F04,7.9400,MG/L,,,F04,8.2400,SU,,,F01,6.1000,NTU,,,F01,0.7000,%FS,,,F01,2.9000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 9:00:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9370,M,,11.9000,,28.9900,DEG C,,,F01,35013.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,117.7000,PCT,,,F04,8.0200,MG/L,,,F04,8.2500,SU,,,F01,4.5000,NTU,,,F01,0.9000,%FS,,,F01,3.4000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 9:15:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9390,M,,11.9000,,29.0600,DEG C,,,F01,35007.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,118.5000,PCT,,,F04,8.0700,MG/L,,,F04,8.2500,SU,,,F01,4.6000,NTU,,,F01,0.9000,%FS,,,F01,3.5000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 9:30:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,0.9470,M,,11.9000,,29.1200,DEG C,,,F01,35010.0000,UMHOS/CM,,,F01,21.9300,PPT,,,F01,119.1000,PCT,,,F04,8.1000,MG/L,,,F04,8.2500,SU,,,F01,6.9000,NTU,,,F01,0.9000,%FS,,,F01,3.3000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
