Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,Turbidity FNU,TSS mg/L,ODO % sat,ODO mg/L,pH,pH mV,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,Chlorophyll RFU,Chlorophyll µg/L,BGA-PE RFU,BGA-PE µg/L,fDOM RFU,fDOM QSU,Press psi a,Depth m
16-09-20,8:17:49,0,Default Site,0,5.8,12.1,0.43,0,108.7,6.9,8.11,-108.1,29.197,56291.3,52113.5,34.18,51654.6,33874,0.54,2.53,0.45,1.95,2.04,6.12,1.347,0.921
16-09-20,8:23:49,0,Default Site,0,5.8,12.1,0.35,0,108.6,6.89,8.11,-108,29.2,56292.7,52112.6,34.18,51653.4,33873,0.54,2.57,0.53,2.24,2.04,6.12,1.355,0.927
16-09-20,8:29:49,0,Default Site,0,5.8,12.1,0.45,0,108.4,6.88,8.11,-108,29.206,56297.9,52111.6,34.18,51651.7,33873,0.67,3.19,0.79,3.16,1.72,5.14,1.368,0.935
16-09-20,8:35:49,0,Default Site,0,5.8,12.1,0.42,0,109.2,6.93,8.11,-108.1,29.208,56301.8,52113.5,34.18,51653.3,33874,0.61,2.92,0.69,2.82,1.21,3.62,1.376,0.941
16-09-20,8:41:49,0,Default Site,0,5.8,12.1,0.49,0,109.1,6.92,8.11,-108.1,29.214,56306.3,52112.1,34.18,51651.3,33873,0.65,3.09,0.71,2.87,1.56,4.66,1.389,0.95
16-09-20,8:47:49,0,Default Site,0,5.8,12.1,0.72,0,109.3,6.93,8.11,-108.1,29.223,56315.2,52111.6,34.17,51649.8,33873,0.53,2.52,0.53,2.23,1.41,4.23,1.403,0.96
16-09-20,8:53:49,0,Default Site,0,5.8,12.1,0.65,0,109.4,6.94,8.11,-108.2,29.227,56319,52111.9,34.17,51649.6,33873,0.49,2.31,0.39,1.74,1.17,3.49,1.408,0.963
16-09-20,8:59:49,0,Default Site,0,5.8,12.2,0.45,0,107.8,6.84,8.1,-107.9,29.229,56322,52112.6,34.18,51650,33873,0.54,2.55,0.45,1.96,1.46,4.37,1.42,0.971
16-09-20,9:05:49,0,Default Site,0,5.8,12.2,0.38,0,108,6.85,8.1,-107.9,29.236,56327.3,52111.2,34.17,51647.8,33872,0.45,2.09,0.38,1.73,1.49,4.46,1.422,0.973
16-09-20,9:11:49,0,Default Site,0,5.8,12.1,0.43,0,108.1,6.85,8.1,-107.9,29.245,56334.6,52109.6,34.17,51645.2,33871,0.42,1.96,0.3,1.42,1.49,4.45,1.427,0.976
16-09-20,9:17:49,0,Default Site,0,5.8,12.2,0.63,0,108.7,6.9,8.11,-108.1,29.253,56346.9,52113.3,34.17,51647.9,33874,0.37,1.68,0.24,1.23,1.12,3.36,1.434,0.981
16-09-20,9:23:49,0,Default Site,0,5.8,12.2,0.38,0,109.9,6.97,8.11,-108.1,29.259,56355,52115.5,34.18,51649.4,33875,0.34,1.53,0.16,0.95,1.18,3.53,1.435,0.982
16-09-20,9:29:49,0,Default Site,0,5.8,12.1,0.44,0,109.1,6.92,8.11,-108.1,29.262,56354.1,52112.2,34.17,51645.9,33873,0.42,1.93,0.29,1.38,1.24,3.72,1.452,0.993
16-09-20,9:35:49,0,Default Site,0,5.8,12.2,0.35,0,109.9,6.97,8.11,-108.2,29.272,56366.5,52114.7,34.18,51647.2,33875,0.39,1.78,0.23,1.2,1.22,3.65,1.462,1
16-09-20,9:41:49,0,Default Site,0,5.8,12.2,0.47,0,110.2,6.98,8.11,-108.3,29.28,56374.4,52114.6,34.17,51646.2,33874,0.35,1.58,0.22,1.13,0.9,2.69,1.465,1.003
16-09-20,9:47:49,0,Default Site,0,5.8,12.2,0.43,0,111.3,7.05,8.11,-108.5,29.293,56391,52117.5,34.18,51647.4,33876,0.32,1.44,0.12,0.79,1.06,3.17,1.469,1.006
16-09-20,9:53:49,0,Default Site,0,5.8,12.2,0.39,0,111.6,7.07,8.11,-108.4,29.301,56400.6,52118.9,34.18,51647.9,33877,0.23,0.97,0.06,0.57,1.37,4.1,1.475,1.01
16-09-20,9:59:49,0,Default Site,0,5.8,12.2,0.45,0,112.2,7.11,8.12,-108.6,29.31,56408.3,52117.5,34.18,51645.5,33876,0.37,1.71,0.16,0.94,1.19,3.54,1.486,1.017
16-09-20,10:05:49,0,Default Site,0,5.8,12.2,0.47,0,111.4,7.06,8.11,-108.5,29.313,56410.4,52116.7,34.18,51644.3,33876,0.34,1.53,0.31,1.46,1.37,4.1,1.485,1.016
16-09-20,10:11:49,0,Default Site,0,5.8,12.1,0.8,0,111.9,7.09,8.12,-108.5,29.318,56417.3,52118.8,34.18,51645.9,33877,0.42,1.93,0.21,1.1,1.22,3.66,1.488,1.019
16-09-20,10:17:49,0,Default Site,0,5.8,12.1,0.6,0,111.1,7.03,8.11,-108.4,29.324,56421.8,52117.8,34.18,51644.3,33877,0.31,1.39,0.1,0.72,1.84,5.5,1.495,1.023
16-09-20,10:23:49,0,Default Site,0,5.8,12.1,0.56,0,109.6,6.94,8.11,-108.1,29.332,56425.3,52113.5,34.17,51639.1,33874,0.31,1.41,0.05,0.55,1,3,1.506,1.031
16-09-20,10:29:49,0,Default Site,0,5.8,12.1,0.47,0,107.9,6.83,8.1,-107.8,29.34,56430.9,52111.3,34.17,51635.9,33872,0.37,1.69,-0.04,0.24,0.94,2.82,1.506,1.031
16-09-20,10:35:49,0,Default Site,0,5.8,12.1,0.49,0,109.1,6.91,8.11,-108,29.344,56432.2,52108.9,34.17,51633.1,33871,0.43,2,0.14,0.87,1.06,3.16,1.503,1.029
16-09-20,10:41:49,0,Default Site,0,5.8,12.1,0.58,0,108.8,6.89,8.11,-108.1,29.349,56440.9,52112.5,34.17,51636.1,33873,0.29,1.27,-0.08,0.08,0.69,2.07,1.507,1.032
16-09-20,10:47:49,0,Default Site,0,5.8,12.1,0.54,0,109.8,6.95,8.11,-108.1,29.358,56451.1,52113.3,34.17,51635.8,33874,0.39,1.78,0.17,0.98,0.59,1.77,1.514,1.037
16-09-20,10:53:49,0,Default Site,0,5.8,12.1,0.49,0,106.1,6.71,8.1,-107.7,29.374,56472.9,52118.4,34.17,51639,33877,0.4,1.85,0.42,1.85,0.49,1.45,1.507,1.032
16-09-20,10:59:49,0,Default Site,0,5.8,12.1,0.47,0,107.5,6.8,8.1,-107.7,29.383,56478.8,52116.1,34.17,51635.7,33875,0.47,2.19,0.07,0.63,0.7,2.08,1.506,1.031
16-09-20,11:05:49,0,Default Site,0,5.8,12.1,0.46,0,105.9,6.7,8.1,-107.6,29.382,56475.9,52114,34.17,51633.7,33874,1.18,5.76,0.08,0.64,0.39,1.15,1.509,1.033
16-09-20,11:11:49,0,Default Site,0,5.8,12,0.69,0,104.7,6.63,8.1,-107.5,29.38,56476.7,52116.4,34.17,51636.2,33876,0.3,1.33,-0.02,0.31,0.42,1.25,1.528,1.046
16-09-20,11:17:49,0,Default Site,0,5.8,12.1,0.51,0,102.4,6.48,8.09,-107.1,29.386,56482.6,52117,34.17,51636.2,33876,0.44,2.02,0.09,0.69,0.46,1.37,1.514,1.037
16-09-20,11:23:49,0,Default Site,0,5.8,12,0.6,0,103.5,6.55,8.09,-107.3,29.387,56482.3,52115.5,34.17,51634.6,33875,0.8,3.84,0.21,1.11,0.36,1.08,1.508,1.033
16-09-20,11:29:49,0,Default Site,0,5.8,12.1,0.4,0,105.1,6.65,8.1,-107.6,29.387,56484.8,52118.1,34.17,51637.3,33877,0.21,0.91,0.89,3.5,0.97,2.9,1.513,1.036
16-09-20,11:35:49,0,Default Site,0,5.8,12,0.54,0,108.2,6.84,8.11,-108,29.385,56481.6,52116.9,34.17,51636.3,33876,1.18,5.79,1.26,4.82,0.87,2.6,1.525,1.044
16-09-20,11:41:49,0,Default Site,0,5.8,12,0.55,0,106.8,6.76,8.1,-107.7,29.387,56483,52115.7,34.17,51634.8,33875,0.34,1.52,-0.01,0.35,1.01,3.03,1.527,1.046
16-09-20,11:47:49,0,Default Site,0,5.8,12,0.48,0,106.9,6.76,8.1,-107.9,29.387,56479.5,52113.1,34.17,51632.2,33873,0.3,1.36,0.08,0.66,0.97,2.9,1.511,1.034
16-09-20,11:53:49,0,Default Site,0,5.8,12,0.6,0,105.6,6.68,8.1,-107.5,29.389,56487,52118.4,34.17,51637.3,33877,1.28,6.28,0.44,1.92,0.89,2.66,1.518,1.039
16-09-20,11:59:49,0,Default Site,0,5.8,11.9,0.38,0,103,6.52,8.09,-107.4,29.387,56482.5,52115.8,34.17,51634.9,33875,0.33,1.47,0.38,1.7,1.1,3.29,1.519,1.04
16-09-20,12:05:49,0,Default Site,0,5.8,11.9,0.32,0,107,6.77,8.1,-107.9,29.376,56468.3,52112.8,34.17,51633.3,33873,0.36,1.65,0.18,1.01,1.07,3.18,1.514,1.036
16-09-20,12:11:49,0,Default Site,0,5.8,11.9,0.4,0,101.8,6.44,8.09,-107.2,29.377,56474.6,52117.8,34.17,51638.1,33877,0.34,1.56,0.16,0.95,0.85,2.55,1.5,1.027
16-09-20,12:17:49,0,Default Site,0,5.8,11.9,0.36,0,106,6.71,8.1,-107.9,29.367,56465.8,52118.6,34.18,51640,33877,0.73,3.48,0.43,1.9,0.75,2.24,1.502,1.028
16-09-20,12:23:49,0,Default Site,0,5.8,11.9,0.53,0,102.7,6.5,8.09,-107.2,29.371,56469.9,52118.5,34.17,51639.4,33877,0.34,1.53,0.07,0.6,0.57,1.68,1.512,1.035
16-09-20,12:29:49,0,Default Site,0,5.8,11.9,0.52,0,105.4,6.67,8.1,-107.5,29.371,56469.8,52118.3,34.17,51639.2,33877,0.68,3.25,0.54,2.27,0.77,2.3,1.497,1.025
16-09-20,12:35:49,0,Default Site,0,5.8,11.9,0.36,0,103.3,6.54,8.09,-107.4,29.368,56466.9,52118.3,34.17,51639.5,33877,0.84,4.05,0.95,3.72,0.85,2.53,1.489,1.019
16-09-20,12:41:49,0,Default Site,0,5.8,11.8,0.39,0,103.4,6.54,8.09,-107.1,29.366,56466,52119.4,34.18,51640.9,33878,0.65,3.12,0.68,2.78,0.97,2.9,1.497,1.025
16-09-20,12:47:49,0,Default Site,0,5.8,11.8,0.33,0,99.6,6.3,8.08,-106.8,29.367,56466,52118.7,34.18,51640.1,33877,0.26,1.15,-0.1,0.04,1.05,3.13,1.489,1.019
16-09-20,12:53:49,0,Default Site,0,5.8,11.8,0.36,0,101.5,6.42,8.09,-107.2,29.366,56466.4,52120.5,34.18,51642.1,33878,0.57,2.72,0.75,3.03,0.6,1.78,1.479,1.012
16-09-20,12:59:49,0,Default Site,0,5.8,11.8,0.57,0,101.6,6.43,8.09,-107.2,29.364,56464.8,52120.9,34.18,51642.7,33879,0.94,4.54,0.9,3.56,0.73,2.17,1.454,0.995
16-09-20,13:05:49,0,Default Site,0,5.8,11.8,0.3,0,103.3,6.54,8.08,-106.6,29.36,56459.2,52119.1,34.18,51641.3,33877,0.83,4,0.56,2.34,0.82,2.43,1.46,0.999
16-09-20,13:11:49,0,Default Site,0,5.8,11.8,0.41,0,100.9,6.39,8.09,-106.9,29.355,56455.4,52120.3,34.18,51643.1,33878,0.58,2.73,0.45,1.97,0.88,2.63,1.455,0.996
16-09-20,13:17:49,0,Default Site,0,5.8,11.8,0.44,0,103.9,6.58,8.09,-107.4,29.352,56451.4,52119.4,34.18,51642.6,33878,0.46,2.16,1,3.9,0.54,1.6,1.435,0.982
16-09-20,13:23:49,0,Default Site,0,5.8,11.8,0.43,0,100.7,6.38,8.08,-106.5,29.344,56441.4,52117.6,34.18,51641.7,33876,0.35,1.6,0.39,1.75,0.65,1.95,1.425,0.975
16-09-20,13:29:49,0,Default Site,0,5.8,11.8,0.47,0,102.3,6.48,8.09,-107.4,29.339,56439.1,52120.1,34.18,51644.8,33878,0.48,2.26,0.34,1.57,0.91,2.72,1.409,0.964
16-09-20,13:35:49,0,Default Site,0,5.8,11.8,0.27,0,102.1,6.46,8.09,-107.3,29.339,56437.8,52118.7,34.18,51643.3,33877,0.41,1.9,0.41,1.83,1.01,3.01,1.41,0.965
16-09-20,13:41:49,0,Default Site,0,5.8,11.8,0.37,0,104.9,6.64,8.1,-107.7,29.333,56433.1,52119.7,34.18,51645.1,33878,0.45,2.08,0.42,1.86,0.85,2.54,1.388,0.95
16-09-20,13:47:49,0,Default Site,0,5.8,11.8,1.34,0,102.8,6.51,8.09,-107.4,29.328,56427.9,52119.1,34.18,51645,33877,0.53,2.5,0.49,2.11,0.7,2.08,1.373,0.939
16-09-20,13:53:49,0,Default Site,0,5.8,11.8,1.08,0,105.9,6.71,8.1,-107.5,29.329,56428.1,52118.6,34.18,51644.4,33877,0.9,4.36,0.77,3.07,0.39,1.17,1.369,0.936
16-09-20,13:59:49,0,Default Site,0,5.8,11.8,17.73,0,103.1,6.53,8.09,-107.3,29.329,56428.5,52119.3,34.18,51645.1,33878,0.73,3.51,0.57,2.37,0.38,1.14,1.361,0.931
16-09-20,14:05:49,0,Default Site,0,5.8,11.8,19.72,0,102.2,6.47,8.1,-107.6,29.321,56424.2,52122.9,34.18,51649.7,33880,0.74,3.57,1.16,4.46,0.38,1.12,1.342,0.918
16-09-20,14:11:49,0,Default Site,0,5.8,11.7,7.1,0,100.6,6.37,8.09,-107.3,29.322,56422.8,52120.6,34.18,51647.2,33878,0.71,3.4,0.73,2.93,0.4,1.19,1.321,0.903
16-09-20,14:17:49,0,Default Site,0,5.8,11.7,0.38,0,105,6.65,8.1,-107.6,29.318,56420.1,52121.6,34.18,51648.7,33879,0.59,2.81,0.62,2.54,0.79,2.37,1.317,0.9
16-09-20,14:23:49,0,Default Site,0,5.8,11.8,0.29,0,107.9,6.84,8.1,-107.9,29.316,56413.9,52117.4,34.18,51644.7,33876,0.74,3.58,0.7,2.85,0.52,1.55,1.305,0.892
16-09-20,14:29:49,0,Default Site,0,5.8,11.8,7.96,0,103.9,6.58,8.1,-107.6,29.316,56419.7,52123.4,34.18,51650.7,33880,0.61,2.92,0.75,3.03,0.47,1.41,1.285,0.878
16-09-20,14:35:49,0,Default Site,0,5.8,11.7,36.42,0,104,6.59,8.1,-107.6,29.314,56417.9,52122.6,34.18,51650.1,33880,0.48,2.25,0.55,2.31,0.7,2.09,1.269,0.867
16-09-20,14:41:49,0,Default Site,0,5.8,11.7,736.99,0,92,5.83,8.09,-107.2,29.31,56415.5,52124.1,34.18,51652,33881,0.53,2.52,0.63,2.6,0.49,1.46,1.263,0.863
16-09-20,14:47:49,0,Default Site,0,5.8,11.7,37.95,0,100.4,6.36,8.09,-107.2,29.313,56419,52125.3,34.18,51652.9,33881,0.49,2.32,0.43,1.89,0.47,1.4,1.253,0.856
16-09-20,14:53:49,0,Default Site,0,5.8,11.7,56.23,0,82.5,5.23,8.09,-107.4,29.303,56407.6,52123.6,34.18,51652.4,33880,0.72,3.45,1.16,4.45,0.51,1.52,1.231,0.841
16-09-20,14:59:49,0,Default Site,0,5.8,11.7,47.02,0,88.7,5.62,8.09,-107.4,29.304,56404.3,52119.5,34.18,51648.1,33878,0.67,3.22,1.01,3.92,0.51,1.53,1.209,0.826
16-09-20,15:05:49,0,Default Site,0,5.8,11.7,40.42,0,104.9,6.65,8.11,-108.3,29.302,56402.6,52119.6,34.18,51648.4,33878,1.04,5.08,1.44,5.46,0.54,1.62,1.21,0.827
16-09-20,15:11:49,0,Default Site,0,5.8,11.7,2.66,0,84.8,5.37,8.11,-108.1,29.299,56395.6,52116.3,34.18,51645.6,33876,0.84,4.07,1.61,6.06,0.68,2.04,1.199,0.819
16-09-20,15:17:49,0,Default Site,0,5.8,11.7,1.54,0,109.2,6.92,8.11,-108.1,29.296,56394.6,52117.8,34.18,51647.4,33877,1.03,5,0.94,3.69,0.58,1.72,1.185,0.809
16-09-20,15:23:49,0,Default Site,0,5.8,11.7,4.77,0,111.1,7.04,8.12,-108.6,29.293,56392.1,52118.8,34.18,51648.7,33877,0.7,3.37,0.95,3.73,0.51,1.53,1.165,0.795
16-09-20,15:29:49,0,Default Site,0,5.8,11.7,0.8,0,107.7,6.83,8.1,-107.9,29.297,56392.7,52115.8,34.18,51645.4,33875,0.32,1.46,0.24,1.21,0.57,1.69,1.157,0.79
16-09-20,15:35:49,0,Default Site,0,5.8,11.7,0.4,0,111.3,7.05,8.12,-108.6,29.287,56386.4,52119.1,34.18,51649.8,33877,0.69,3.29,0.74,2.99,0.61,1.81,1.143,0.78
16-09-20,15:41:49,0,Default Site,0,5.8,11.7,0.28,0,113.1,7.17,8.12,-108.8,29.287,56385,52117.6,34.18,51648.3,33876,0.51,2.38,0.71,2.86,0.54,1.62,1.128,0.77
16-09-20,15:47:49,0,Default Site,0,5.8,11.7,0.47,0,112.1,7.11,8.12,-108.7,29.288,56385.9,52117.3,34.18,51647.9,33876,0.57,2.72,0.78,3.12,1.08,3.24,1.124,0.767
16-09-20,15:53:49,0,Default Site,0,5.8,11.7,0.44,0,110.8,7.02,8.11,-108.4,29.284,56385,52120,34.18,51650.9,33878,0.66,3.16,0.73,2.94,0.98,2.91,1.119,0.764
16-09-20,15:59:49,0,Default Site,0,5.8,11.7,0.32,0,108,6.85,8.11,-108.3,29.283,56384.3,52120.8,34.18,51651.9,33879,0.51,2.39,0.48,2.05,1.01,3.02,1.113,0.759
16-09-20,16:05:49,0,Default Site,0,5.8,11.7,0.29,0,109.1,6.92,8.11,-108.2,29.278,56380.8,52122.4,34.18,51654.1,33880,0.59,2.79,0.65,2.67,0.89,2.66,1.103,0.753
16-09-20,16:11:49,0,Default Site,0,5.8,11.7,0.56,0,109.1,6.91,8.11,-108.2,29.269,56366.8,52117.6,34.18,51650.4,33876,0.55,2.62,0.86,3.41,1.02,3.04,1.088,0.742
16-09-20,16:17:49,0,Default Site,0,5.8,11.7,0.31,0,108.3,6.86,8.11,-108.1,29.27,56374.2,52122.9,34.18,51655.4,33880,0.49,2.31,0.6,2.48,1.24,3.72,1.091,0.744
16-09-20,16:23:49,0,Default Site,0,5.8,11.7,0.4,0,103.5,6.56,8.1,-107.5,29.273,56380.6,52125.9,34.18,51658,33882,0.41,1.89,0.38,1.73,0.73,2.19,1.088,0.742
16-09-20,16:29:49,0,Default Site,0,5.8,11.7,0.48,0,106,6.72,8.1,-107.9,29.272,56375.4,52122.8,34.18,51655.2,33880,0.85,4.1,1.14,4.38,0.82,2.45,1.076,0.734
16-09-20,16:35:49,0,Default Site,0,5.8,11.7,0.77,0,108.1,6.85,8.11,-108.2,29.271,56371.6,52119.8,34.18,51652.3,33878,0.82,3.94,0.92,3.63,0.89,2.67,1.063,0.725
16-09-20,16:41:49,0,Default Site,0,5.8,11.7,0.39,0,106.7,6.76,8.1,-107.8,29.271,56377.5,52125.5,34.18,51657.9,33882,0.61,2.91,0.71,2.86,0.97,2.91,1.053,0.718
16-09-20,16:47:49,0,Default Site,0,5.8,11.7,0.32,0,103.5,6.56,8.09,-107.3,29.269,56373.6,52123.4,34.18,51656.1,33880,0.76,3.66,0.66,2.71,0.94,2.8,1.051,0.717
16-09-20,16:53:49,0,Default Site,0,5.8,11.7,0.53,0,105.1,6.66,8.1,-107.5,29.26,56362.6,52121.8,34.18,51655.6,33879,0.57,2.7,0.69,2.8,0.69,2.06,1.039,0.708
16-09-20,16:59:49,0,Default Site,0,5.8,11.7,0.48,0,107.4,6.81,8.1,-107.7,29.258,56362.4,52123.8,34.18,51657.8,33880,0.78,3.76,0.91,3.58,0.73,2.17,1.044,0.712
16-09-20,17:05:49,0,Default Site,0,5.8,11.7,6.09,0,100.8,6.39,8.09,-107.2,29.259,56366.3,52126,34.18,51659.9,33882,0.62,2.94,1.06,4.12,0.55,1.65,1.028,0.701
16-09-20,17:11:49,0,Default Site,0,5.8,11.6,5.54,0,100.8,6.39,8.1,-107.5,29.257,56360.3,52122,34.18,51656.1,33879,0.75,3.61,1.82,6.79,0.55,1.65,1.03,0.702
16-09-20,17:17:49,0,Default Site,0,5.8,11.7,5.79,0,95.8,6.07,8.1,-107.7,29.249,56354.1,52123.7,34.18,51658.7,33880,0.66,3.14,1.32,5.01,0.52,1.54,1.028,0.701
