#,Date,"Time, GMT+05:30","Temp, °C",End Of File
328,7/1/2016,0:00:00,29.352,
329,7/1/2016,0:30:00,29.252,
330,7/1/2016,1:00:00,29.252,
331,7/1/2016,1:30:00,29.252,
332,7/1/2016,2:00:00,29.252,
333,7/1/2016,2:30:00,29.252,
334,7/1/2016,3:00:00,29.152,
335,7/1/2016,3:30:00,29.152,
336,7/1/2016,4:00:00,29.152,
337,7/1/2016,4:30:00,29.053,
338,7/1/2016,5:00:00,29.053,
339,7/1/2016,5:30:00,29.053,
340,7/1/2016,6:00:00,29.053,
341,7/1/2016,6:30:00,29.152,
342,7/1/2016,7:00:00,28.953,
343,7/1/2016,7:30:00,28.953,
344,7/1/2016,8:00:00,29.053,
345,7/1/2016,8:30:00,29.252,
346,7/1/2016,9:00:00,29.452,
347,7/1/2016,9:30:00,29.552,
348,7/1/2016,10:00:00,29.752,
349,7/1/2016,10:30:00,30.054,
350,7/1/2016,11:00:00,30.154,
351,7/1/2016,11:30:00,30.558,
352,7/1/2016,12:00:00,30.862,
353,7/1/2016,12:30:00,31.064,
354,7/1/2016,13:00:00,31.268,
355,7/1/2016,13:30:00,31.472,
356,7/1/2016,14:00:00,31.472,
357,7/1/2016,14:30:00,31.472,
358,7/1/2016,15:00:00,31.37,
359,7/1/2016,15:30:00,31.268,
360,7/1/2016,16:00:00,30.963,
361,7/1/2016,16:30:00,30.659,
362,7/1/2016,17:00:00,30.255,
363,7/1/2016,17:30:00,30.255,
364,7/1/2016,18:00:00,30.054,
365,7/1/2016,18:30:00,29.953,
366,7/1/2016,19:00:00,29.953,
367,7/1/2016,19:30:00,29.853,
368,7/1/2016,20:00:00,29.853,
369,7/1/2016,20:30:00,29.853,
370,7/1/2016,21:00:00,29.853,
371,7/1/2016,21:30:00,29.853,
372,7/1/2016,22:00:00,29.853,
373,7/1/2016,22:30:00,29.853,
374,7/1/2016,23:00:00,29.853,
375,7/1/2016,23:30:00,29.752,
376,8/1/2016,0:00:00,29.752,
377,8/1/2016,0:30:00,29.652,
378,8/1/2016,1:00:00,29.752,
379,8/1/2016,1:30:00,29.752,
380,8/1/2016,2:00:00,29.752,
381,8/1/2016,2:30:00,29.752,
382,8/1/2016,3:00:00,29.252,
383,8/1/2016,3:30:00,29.152,
384,8/1/2016,4:00:00,29.053,
385,8/1/2016,4:30:00,29.053,
386,8/1/2016,5:00:00,29.053,
387,8/1/2016,5:30:00,29.053,
388,8/1/2016,6:00:00,29.053,
389,8/1/2016,6:30:00,28.953,
390,8/1/2016,7:00:00,28.953,
391,8/1/2016,7:30:00,28.853,
392,8/1/2016,8:00:00,28.953,
393,8/1/2016,8:30:00,29.053,
394,8/1/2016,9:00:00,29.152,
395,8/1/2016,9:30:00,29.152,
396,8/1/2016,10:00:00,29.552,
397,8/1/2016,10:30:00,29.452,
398,8/1/2016,11:00:00,29.552,
399,8/1/2016,11:30:00,29.752,
400,8/1/2016,12:00:00,30.154,
401,8/1/2016,12:30:00,30.659,
402,8/1/2016,13:00:00,30.558,
403,8/1/2016,13:30:00,30.154,
404,8/1/2016,14:00:00,31.166,
405,8/1/2016,14:30:00,30.356,
406,8/1/2016,15:00:00,31.064,
407,8/1/2016,15:30:00,30.862,
408,8/1/2016,16:00:00,30.659,
409,8/1/2016,16:30:00,30.356,
410,8/1/2016,17:00:00,30.054,
411,8/1/2016,17:30:00,29.752,
412,8/1/2016,18:00:00,29.752,
413,8/1/2016,18:30:00,29.752,
414,8/1/2016,19:00:00,29.652,
415,8/1/2016,19:30:00,29.652,
416,8/1/2016,20:00:00,29.552,
417,8/1/2016,20:30:00,29.652,
418,8/1/2016,21:00:00,29.552,
